strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url	MuV_genotype
Missouri.USA/15.17/FH134/G	mumps	Fred_Hutch_seq_134	2017-04-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/27.16/2/G	mumps	MF965208	2016-07-12	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965208	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/17.16/4/G	mumps	MF965247	2016-04-26	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965247	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/8.16/1/G	mumps	MF965240	2016-02-24	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965240	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/25.17/5/G	mumps	MG986401	2017-06-21	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986401	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/28.16/1/G	mumps	BCCDC94	2016-07-11	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/11.16/2/G	mumps	MF965220	2016-03-15	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965220	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/19.16/1/G	mumps	BCCDC70	2016-05-10	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/24.17/3/G	mumps	MG986464	2017-06-17	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986464	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/6.17/FH12/G	mumps	Fred_Hutch_seq_12	2017-02-08	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Zhejiang.CHN/16.08/2	mumps	KF170918	2008-04-18	China	China	Zhejiang	Zhejiang	genbank	genome	He et al	https://www.ncbi.nlm.nih.gov/nuccore/KF170918	Mumps epidemiology and molecular charicterisation of mumps virus circulating in Zhejiang province, China during the period of 2005-2010	Unpublished	?	?
Massachusetts.USA/8.16/5/G	mumps	MF965268	2016-02-25	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965268	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/19.16/7/G	mumps	MF965203	2016-05-10	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965203	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Leeds.GBR/9.04/J	mumps	KF878079	2004-03-04	Europe	United Kingdom	England	Leeds	genbank	genome	Jin et al	https://www.ncbi.nlm.nih.gov/nuccore/KF878079	Genomic diversity of mumps virus and global distribution of the 12 genotypes	Rev. Med. Virol. (2014) In press	https://www.ncbi.nlm.nih.gov/pubmed/25424978	J
Massachusetts.USA/11.16/3/G	mumps	MF965291	2016-03-16	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965291	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Wisconsin.USA/16.14/FH110/G	mumps	Fred_Hutch_seq_110	2014-04-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
BritishColumbia.CAN/27.16/7/G	mumps	BCCDC93	2016-07-09	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/9.17/G	mumps	MG986468	2017-02-27	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986468	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/22.17/6/G	mumps	MG986467	2017-05-31	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986467	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Wisconsin.USA/20.14/FH111/G	mumps	Fred_Hutch_seq_111	2014-05-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Ontario.CAN/08.17/1/G	mumps	Ontario_outbreak_10	2017-02-21	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Texas.USA/27.17/G	mumps	MG986380	2017-07-03	North America	Usa	Texas	Texas	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986380	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
31170187	mumps	LC325485	2017-XX-XX	Japan Korea	Japan	Japan	Japan	genbank	genome	Hasegawa et al	https://www.ncbi.nlm.nih.gov/nuccore/LC325485	Detection of Mumps rubulavirus Tokyo, Japan	Unpublished	?	?
Massachusetts.USA/19.16/9/G	mumps	MF965230	2016-05-13	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965230	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/52.16/FH28/G	mumps	Fred_Hutch_seq_28	2016-12-31	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/16.16/7/G	mumps	MF965259	2016-04-21	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965259	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Ontario.CAN/37.09/G	mumps	KY006856	2009-09-13	North America	Canada	Ontario	Ontario	genbank	genome	Eshaghi et al	https://www.ncbi.nlm.nih.gov/nuccore/KY006856	A Review of Laboratory Testing During a Mumps Outbreak in Ontario, Canada	Unpublished	?	G
Zhejiang.CHN/11.06/1	mumps	KF170917	2006-03-16	China	China	Zhejiang	Zhejiang	genbank	genome	He et al	https://www.ncbi.nlm.nih.gov/nuccore/KF170917	Mumps epidemiology and molecular charicterisation of mumps virus circulating in Zhejiang province, China during the period of 2005-2010	Unpublished	?	?
Arkansas.USA/46.16/G	mumps	MK585581	2016-11-10	North America	Usa	Arkansas	Arkansas	genbank	genome	Alkam et al	https://www.ncbi.nlm.nih.gov/nuccore/MK585581	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	?	G
Massachusetts.USA/23.17/2/G	mumps	MG986444	2017-06-07	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986444	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Arkansas.USA/43.16/G	mumps	MK585590	2016-10-18	North America	Usa	Arkansas	Arkansas	genbank	genome	Alkam et al	https://www.ncbi.nlm.nih.gov/nuccore/MK585590	Genomic characterization of mumps viruses from a large-scale mumps outbreak in Arkansas, 2016	Unpublished	?	G
BritishColumbia.CAN/21.16/2/G	mumps	BCCDC33	2016-05-23	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Wisconsin.USA/15.17/FH89/G	mumps	Fred_Hutch_seq_89	2017-04-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/19.16/2/G	mumps	MF965309	2016-05-09	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965309	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/24.17/G	mumps	MG986443	2017-06-14	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986443	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
New_York.USA/40.09/4	mumps	JX287391	2009-10-08	North America	Usa	New York	New York	genbank	genome	Kirkness et al	https://www.ncbi.nlm.nih.gov/nuccore/JX287391	Direct Submission	Submitted (12-JUN-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?	?
Massachusetts.USA/18.16/3/G	mumps	MF965249	2016-05-05	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965249	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/14.17/2/G	mumps	MG986397	2017-04-10	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986397	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/46.16/7/G	mumps	MF965308	2016-11-17	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965308	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
SBL	mumps	D00663	?	?	?	?	?	genbank	genome	Elliott et al	https://www.ncbi.nlm.nih.gov/nuccore/D00663	Nucleotide sequence of the matrix, fusion and putative SH protein genes of mumps virus and their deduced amino acid sequences	Virus Res. 12 (1), 61-75 (1989)	https://www.ncbi.nlm.nih.gov/pubmed/2718625	?
BritishColumbia.CAN/26.16/1/G	mumps	BCCDC85	2016-06-27	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Missouri.USA/24.17/FH165/G	mumps	Fred_Hutch_seq_165	2017-06-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/45.16/7/G	mumps	MF965271	2016-11-15	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965271	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/22.17/4/G	mumps	MG986399	2017-05-31	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986399	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/18.17/FH147/G	mumps	Fred_Hutch_seq_147	2017-05-04	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Ontario.CAN/06.17/2/G	mumps	Ontario_outbreak_22	2017-02-07	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Alabama.USA/7.17/FH164/G	mumps	Fred_Hutch_seq_164	2017-02-XX	North America	Usa	Alabama	Alabama	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/46.16/4/G	mumps	MF965217	2016-11-15	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965217	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/2.17/FH23/G	mumps	Fred_Hutch_seq_23	2017-01-13	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
BritishColumbia.CAN/28.16/3/G	mumps	BCCDC86	2016-07-12	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/46.16/6/G	mumps	MF965204	2016-11-20	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965204	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
NewJersey.USA/16.14/2/G	mumps	MG986442	2014-04-28	North America	Usa	New Jersey	New Jersey	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986442	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/13.16/4/G	mumps	MF965213	2016-04-01	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965213	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/8.16/6/G	mumps	MF965235	2016-02-27	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965235	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/6.17/FH105/G	mumps	Fred_Hutch_seq_105	2017-02-10	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/17.16/9/G	mumps	MF965289	2016-04-29	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965289	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
31170186	mumps	LC325484	2017-XX-XX	Japan Korea	Japan	Japan	Japan	genbank	genome	Hasegawa et al	https://www.ncbi.nlm.nih.gov/nuccore/LC325484	Detection of Mumps rubulavirus Tokyo, Japan	Unpublished	?	?
BritishColumbia.CAN/19.16/5/G	mumps	BCCDC32	2016-05-10	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Missouri.USA/7.17/FH129/G	mumps	Fred_Hutch_seq_129	2017-02-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
Manitoba.CAN/43.16/5/G	mumps	BCCDC22	2016-10-25	North America	Canada	Manitoba	Manitoba	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Massachusetts.USA/13.16/3/G	mumps	MF965292	2016-03-31	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965292	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
RS-12	mumps	JQ388690	?	West Asia	Iran	Iran	Iran	genbank	genome	Alirezaie et al	https://www.ncbi.nlm.nih.gov/nuccore/JQ388690	Wild and attenuated vaccine RS-12 strains of mumps virus exhibit differences in amino acid sequences of their proteins	Acta Virol. 58 (3), 287-291 (2014)	https://www.ncbi.nlm.nih.gov/pubmed/25283866	?
Massachusetts.USA/16.16/9/G	mumps	MF965251	2016-04-21	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965251	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/21.17/2/G	mumps	MG986437	2017-05-30	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986437	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/17.16/8/G	mumps	MF965224	2016-04-26	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965224	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
California.USA/50.07/1	mumps	JX287386	2007-12-12	North America	Usa	California	California	genbank	genome	Kirkness et al	https://www.ncbi.nlm.nih.gov/nuccore/JX287386	Direct Submission	Submitted (12-JUN-2012) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	?	?
Hoshino_vaccine	mumps	AB470486	?	?	?	?	?	genbank	genome	Ninomiya et al	https://www.ncbi.nlm.nih.gov/nuccore/AB470486	Amino acid substitution at position 464 in the haemagglutinin-neuraminidase protein of a mumps virus Urabe strain enhanced the virus growth in neuroblastoma SH-SY5Y cells	Vaccine 27 (44), 6160-6165 (2009)	https://www.ncbi.nlm.nih.gov/pubmed/19712764	?
Massachusetts.USA/16.16/15/G	mumps	MF965233	2016-04-22	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965233	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/5.17/FH27/G	mumps	Fred_Hutch_seq_27	2017-01-30	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/13.17/2/G	mumps	MG986393	2017-03-28	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986393	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/10.16/14/G	mumps	MF965248	2016-03-15	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965248	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/33.16/3/G	mumps	BCCDC96	2016-08-19	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
BritishColumbia.CAN/21.16/3/G	mumps	BCCDC84	2016-05-24	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
BritishColumbia.CAN/13.16/G	mumps	BCCDC15	2016-04-01	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
BritishColumbia.CAN/24.16/1/G	mumps	BCCDC69	2016-06-13	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
Ontario.CAN/38.09/2/G	mumps	KY680537	2009-09-17	North America	Canada	Ontario	Ontario	genbank	genome	Eshaghi et al	https://www.ncbi.nlm.nih.gov/nuccore/KY680537	Mumps Outbreak in Ontario, Canada 2009-2010	Unpublished	?	G
London.GBR/27.14/A	mumps	KX223397	2014-07-10	Europe	United Kingdom	England	London	genbank	genome	Morfopoulou et al	https://www.ncbi.nlm.nih.gov/nuccore/KX223397	Deep sequencing reveals persistence of cell-associated mumps vaccine virus in chronic encephalitis	Acta Neuropathol. 133 (1), 139-147 (2017)	https://www.ncbi.nlm.nih.gov/pubmed/27770235	A
Ohio.USA/13.14/10/G	mumps	MG986451	2014-03-30	North America	Usa	Ohio	Ohio	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986451	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/4.17/FH71/G	mumps	Fred_Hutch_seq_71	2017-01-30	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Ontario.CAN/08.17/3/G	mumps	Ontario_outbreak_11	2017-02-24	North America	Canada	Ontario	Ontario	Ontario-public-health-lab	genome	Stapleton et al	?	Unpublished	?	?	G
Massachusetts.USA/15.16/2/G	mumps	MF965228	2016-04-14	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965228	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Wisconsin.USA/24.14/FH112/G	mumps	Fred_Hutch_seq_112	2014-06-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/45.16/4/G	mumps	MF965201	2016-11-11	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965201	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/16.16/5/G	mumps	MF965209	2016-04-20	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965209	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/28.17/FH151/G	mumps	Fred_Hutch_seq_151	2017-07-12	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Wisconsin.USA/37.06/FH93/G	mumps	Fred_Hutch_seq_93	2006-09-XX	North America	Usa	Wisconsin	Wisconsin	fh	genome	Moncla et al	?	Unpublished	?	?	G
87_1005	mumps	AF314562	?	?	?	?	?	genbank	genome	Amexis et al	https://www.ncbi.nlm.nih.gov/nuccore/AF314562	Correlation of genetic variability with safety of mumps vaccine Urabe AM9 strain	Virology 287 (1), 234-241 (2001)	https://www.ncbi.nlm.nih.gov/pubmed/11504558	?
Massachusetts.USA/18.17/G	mumps	MG986384	2017-05-04	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986384	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Washington.USA/51.16/FH41/G	mumps	Fred_Hutch_seq_41	2016-12-21	North America	Usa	Washington	Washington	fh	genome	Moncla et al	?	Unpublished	?	?	G
Missouri.USA/33.17/FH155/G	mumps	Fred_Hutch_seq_155	2017-08-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
Indiana.USA/1.17/G	mumps	MG986453	2017-01-06	North America	Usa	Indiana	Indiana	genbank	genome	Bankamp et al	https://www.ncbi.nlm.nih.gov/nuccore/MG986453	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Massachusetts.USA/9.16/4/G	mumps	MF965197	2016-03-08	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965197	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
Missouri.USA/32.16/FH88/G	mumps	Fred_Hutch_seq_88	2016-08-XX	North America	Usa	Missouri	Missouri	fh	genome	Moncla et al	?	Unpublished	?	?	G
Massachusetts.USA/20.16/2/G	mumps	MF965312	2016-05-20	North America	Usa	Massachusetts	Massachusetts	genbank	genome	Byrne et al	https://www.ncbi.nlm.nih.gov/nuccore/MF965312	Mumps rubulavirus sample sequencing from the 2016-2017 outbreak in Massachusetts	Unpublished	?	G
BritishColumbia.CAN/18.17/2/G	mumps	BCCDC3	2017-05-05	North America	Canada	British Columbia	British Columbia	bccdc	genome	Gardy et al	?	Unpublished	?	?	G
