strain	strain_name	date	country
KF530081	Human coronavirus OC43 OC43/human/USA/991-5/1999	1999-01-07	USA
KF530070	Human coronavirus OC43 OC43/human/USA/991-19/1999	1999-01-15	USA
KF530069	Human coronavirus OC43 OC43/human/USA/982-4/1998	1998-02-05	USA
KF530063	Human coronavirus OC43 OC43/human/USA/9612-48/1996	1996-12-30	USA
KF530099	Human coronavirus OC43 OC43/human/USA/971-5/1997	1997-01-02	USA
KF530071	Human coronavirus OC43 OC43/human/USA/925-1/1992	1992-05-04	USA
KF530088	Human coronavirus OC43 OC43/human/USA/901-54/1990	1990-01-23	USA
KF530076	Human coronavirus OC43 OC43/human/USA/911-11/1991	1991-01-03	USA
KF530091	Human coronavirus OC43 OC43/human/USA/911-58/1991	1991-01-24	USA
KF530082	Human coronavirus OC43 OC43/human/USA/912-11/1991	1991-02-07	USA
KF530094	Human coronavirus OC43 OC43/human/USA/912-36/1991	1991-02-22	USA
KF530089	Human coronavirus OC43 OC43/human/USA/911-66/1991	1991-01-29	USA
KF530079	Human coronavirus OC43 OC43/human/USA/913-29/1991	1991-03-14	USA
KF530067	Human coronavirus OC43 OC43/human/USA/912-10/1991	1991-02-07	USA
KF530095	Human coronavirus OC43 OC43/human/USA/912-6/1991	1991-02-05	USA
KF530096	Human coronavirus OC43 OC43/human/USA/911-38/1991	1991-01-15	USA
KF530084	Human coronavirus OC43 OC43/human/USA/951-18/1995	1995-01-12	USA
KF530098	Human coronavirus OC43 OC43/human/USA/965-6/1996	1996-05-10	USA
MH828490	Human coronavirus OC43 vzcorona-b1	2015-04-17	Viet Nam
OK391229	Human coronavirus OC43 OC43/China/44/2019	2019-07-30	China
KF923888	Human coronavirus OC43 2145A/2010	2010-07-XX	China
KF923887	Human coronavirus OC43 1997A/2010	2010-04-XX	China
KF923889	Human coronavirus OC43 1926/2006	2006-03-XX	China
KF923886	Human coronavirus OC43 1908A/2010	2010-03-XX	China
KF923898	Human coronavirus OC43 3184A/2012	2012-03-XX	China
MN306043	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC0841/2019	2019-XX-XX	USA
MW052042	Human coronavirus OC43 2019_0536	2019-XX-XX	USA
OK073089	Human coronavirus OC43 H49	2015-XX-XX	China
OK073091	Human coronavirus OC43 R67	2015-XX-XX	China
OK073092	Human coronavirus OC43 R125	2016-XX-XX	China
MN310476	Human coronavirus OC43 HCoV_OC43/Seattle/USA/SC9428/2018	2019-XX-XX	USA
MT118668	Human coronavirus OC43 2018_0004	2018-XX-XX	USA
OK391226	Human coronavirus OC43 OC43/China/36/2019	2019-05-04	China
OK391225	Human coronavirus OC43 OC43/China/32/2019	2019-02-24	China
OK391223	Human coronavirus OC43 OC43/China/29/2019	2019-01-23	China
OK391224	Human coronavirus OC43 OC43/China/31/2019	2019-02-20	China
OK391222	Human coronavirus OC43 OC43/China/26/2019	2019-01-10	China
OK391221	Human coronavirus OC43 OC43/China/23/2019	2018-12-15	China
OK391230	Human coronavirus OC43 OC43/China/P43/2021	2021-04-01	China
KF572819	oc43/KF572819/039A_07/2007	2007-04-XX	China
KF572820	oc43/KF572820/079A_07/2007	2007-06-XX	China
KF572821	oc43/KF572821/10108_10/2010	2010-05-XX	China
KF572822	oc43/KF572822/10285_10/2010	2010-07-XX	China
KF572823	oc43/KF572823/10290_10/2010	2010-07-XX	China
KF572824	oc43/KF572824/1034A_08/2008	2008-11-XX	China
KF572825	oc43/KF572825/10574_10/2010	2010-09-XX	China
KF572826	oc43/KF572826/1081A_08/2008	2008-11-XX	China
KF572827	oc43/KF572827/1135A_08/2008	2008-12-XX	China
KF572828	oc43/KF572828/1157A_08/2008	2008-12-XX	China
KF572830	oc43/KF572830/1216A_08/2008	2008-12-XX	China
KF572831	oc43/KF572831/12689_12/2012	2012-05-XX	China
KF572832	oc43/KF572832/12691_12/2012	2012-05-XX	China
KF572833	oc43/KF572833/12694_12/2012	2012-05-XX	China
KF572834	oc43/KF572834/1357A_09/2009	2009-02-XX	China
KF572835	oc43/KF572835/1382A_09/2009	2009-02-XX	China
KF572836	oc43/KF572836/1591A_09/2009	2009-08-XX	China
KF572837	oc43/KF572837/1593A_09/2009	2009-08-XX	China
KF572838	oc43/KF572838/2134A_10/2010	2010-07-XX	China
KF572839	oc43/KF572839/2151A_10/2010	2010-07-XX	China
KF572816	oc43/KF572816/229_05/2005	2005-06-XX	China
KF572841	oc43/KF572841/3269A_12/2012	2012-06-XX	China
KF572817	oc43/KF572817/3582_06/2006	2006-09-XX	China
KF572818	oc43/KF572818/3647_06/2006	2006-10-XX	China
KF572842	oc43/KF572842/4795_07/2007	2007-03-XX	China
KF572843	oc43/KF572843/4954_07/2007	2007-03-XX	China
KF572844	oc43/KF572844/5240_07/2007	2007-03-XX	China
KF572845	oc43/KF572845/5331_07/2007	2007-03-XX	China
KF572846	oc43/KF572846/5345_07/2007	2007-03-XX	China
KF572847	oc43/KF572847/5352_07/2007	2007-03-XX	China
KF572848	oc43/KF572848/5370_07/2007	2007-03-XX	China
KF572849	oc43/KF572849/5414_07/2007	2007-06-XX	China
KF572850	oc43/KF572850/5442_07/2007	2007-06-XX	China
KF572851	oc43/KF572851/5445_07/2007	2007-06-XX	China
KF572852	oc43/KF572852/5472_07/2007	2007-06-XX	China
KF572853	oc43/KF572853/5479_07/2007	2007-06-XX	China
KF572854	oc43/KF572854/5484_07/2007	2007-06-XX	China
KF572855	oc43/KF572855/5485_07/2007	2007-06-XX	China
KF572856	oc43/KF572856/5508_07/2007	2007-06-XX	China
KF572857	oc43/KF572857/5517_07/2007	2007-06-XX	China
KF572858	oc43/KF572858/5519_07/2007	2007-06-XX	China
KF572859	oc43/KF572859/5566_07/2007	2007-06-XX	China
KF572860	oc43/KF572860/5595_07/2007	2007-07-XX	China
KF572861	oc43/KF572861/5617_07/2007	2007-07-XX	China
KF572862	oc43/KF572862/5625_07/2007	2007-07-XX	China
KF572863	oc43/KF572863/5656_07/2007	2007-07-XX	China
KF572864	oc43/KF572864/69A_07/2007	2007-05-XX	China
KF572865	oc43/KF572865/8099_09/2009	2009-02-XX	China
KF572866	oc43/KF572866/8164_09/2009	2009-03-XX	China
KF572867	oc43/KF572867/8375_09/2009	2009-04-XX	China
KF572868	oc43/KF572868/892A_08/2008	2008-10-XX	China
KF572870	oc43/KF572870/9001_09/2009	2009-08-XX	China
KF572871	oc43/KF572871/9138_09/2009	2009-10-XX	China
KF572872	oc43/KF572872/978A_08/2008	2008-10-XX	China
KF963231	oc43/KF963231/HCoV_OC43/FRA_EPI/Caen/2001/02/2001	2001-02-07	France
KF963232	oc43/KF963232/HCoV_OC43/FRA_EPI/Caen/2002/03/2002	2002-03-12	France
KF963235	oc43/KF963235/HCoV_OC43/FRA_EPI/Caen/2004/06/2004	2004-02-20	France
KF963240	oc43/KF963240/HCoV_OC43/FRA_EPI/Caen/2009/11/2009	2009-11-02	France
KF963242	oc43/KF963242/HCoV_OC43/FRA_EPI/Caen/2011/13/2011	2011-11-20	France
KF963243	oc43/KF963243/HCoV_OC43/FRA_EPI/Caen/2012/14/2012	2012-03-30	France
KF963244	oc43/KF963244/HCoV_OC43/FRA_EPI/Caen/2013/15/2013	2013-03-18	France
