strain	strain_name	segment	date	host	country	ORF2_type	ORF1_type
AB933735	Hu/GII.4/Iwate4/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4	GII.P4
AB933757	Hu/GII.4/Saga4/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4	GII.P4
KC409254	Hu/GII/20153/2009/VNM	NA	2009-09-15	Human	Vietnam	GII.4	GII.P4
AB933656	Hu/GII.4/Miyazaki1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4	GII.P4
KM198551	Hu/GII/20108/2009/VNM	NA	2009-08-20	Human	Vietnam	GII.4	GII.P4
KM198518	Hu/GII/10182/2009/VNM	NA	2009-09-17	Human	Vietnam	GII.4	GII.P4
KC175374	Hu/Norwalk/10223/2009/VNM	NA	2009-11-05	Human	Vietnam	GII.4	GII.P4
KC175367	Hu/Norwalk/10182/2009/VNM	NA	2009-09-16	Human	Vietnam	GII.4	GII.P4
KC175370	Hu/Norwalk/10199/2009/VNM	NA	2009-10-19	Human	Vietnam	GII.4	GII.P4
KC409267	Hu/GII/20184/2009/VNM	NA	2009-10-04	Human	Vietnam	GII.4	GII.P4
KC409245	Hu/GII/20048/2009/VNM	NA	2009-06-21	Human	Vietnam	GII.4	GII.P4
KC175408	Hu/Norwalk/20139/2009/VNM	NA	2009-09-08	Human	Vietnam	GII.4	GII.P4
KM198574	Hu/GII/10183/2009/VNM	NA	2009-09-22	Human	Vietnam	GII.4	GII.P4
KC175368	Hu/Norwalk/10183/2009/VNM	NA	2009-09-22	Human	Vietnam	GII.4	GII.P4
AB933739	Hu/GII.4/Fukui1/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4	GII.P4
KC409266	Hu/GII/20182/2009/VNM	NA	2009-10-04	Human	Vietnam	GII.4	GII.P4
KC409315	Hu/GII/30211/2009/VNM	NA	2009-10-05	Human	Vietnam	GII.4	GII.P4
KC409314	Hu/GII/30207/2009/VNM	NA	2009-10-01	Human	Vietnam	GII.4	GII.P4
KC409287	Hu/GII/20271/2009/VNM	NA	2009-11-16	Human	Vietnam	GII.4	GII.P4
KC175379	Hu/Norwalk/10255/2009/VNM	NA	2009-12-14	Human	Vietnam	GII.4	GII.P4
KC409257	Hu/GII/20159/2009/VNM	NA	2009-09-17	Human	Vietnam	GII.4	GII.P4
AB933683	Hu/GII.4/Sakai3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4	GII.P4
KC960616	Hu/GII.4/20406/2010/VNM	NA	2010-01-24	Human	Vietnam	GII.4	GII.P4
KC409244	Hu/GII/10420/2010/VNM	NA	2010-04-27	Human	Vietnam	GII.4	GII.P4
KC810023	B	NA	2010-07-23	Human	United_Kingdom	GII.4	GII.P4
KC175382	Hu/Norwalk/10313/2010/VNM	NA	2010-02-22	Human	Vietnam	GII.4	GII.P4
AB933662	Hu/GII.4/Chiba3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4	GII.P4
AB933685	Hu/GII.4/Ehime3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4	GII.P4
AB933664	Hu/GII.4/Nagano1/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4	GII.P4
KF429782	Hu/GII.4/NIHIC1.3/2010/USA	NA	2010-09-28	Human	USA	GII.4	GII.P4
AB933676	Hu/GII.4/Niigata2/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4	GII.P4
MF140649	Norovirus/GII/Hu/NL/2010/GII.P4__GII.4/Rotterdam/E7800012_p13_d0	NA	2010-12-22	Human	Netherlands	GII.4	GII.P4
MF140664	Norovirus/GII/Hu/NL/2010/GII.P4__GII.4/Rotterdam/E7800014_p16_d0	NA	2010-06-18	Human	Netherlands	GII.4	GII.P4
AB933682	Hu/GII.4/Nagano3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4	GII.P4
JX439815	Hu/GII/Seoul1055/KOR/2010	NA	2010-04-27	Human	South_Korea	GII.4	GII.P4
KC175385	Hu/Norwalk/10368/2010/VNM	NA	2010-03-17	Human	Vietnam	GII.4	GII.P4
MF140635	Norovirus/GII/Hu/NL/2010/GII.P4__GII.4/Rotterdam/E7800016_p1_d716	NA	2010-12-24	Human	Netherlands	GII.4	GII.P4
JN400625	UNKNOWN_JN400625	NA	2010-03-01	Human	Taiwan	GII.4	GII.P4
MF140660	Norovirus/GII/Hu/NL/2010/GII.P4__GII.4/Rotterdam/E1300267_p15_d215	NA	2010-01-05	Human	Netherlands	GII.4	GII.P4
KJ685414	Hu/GII/BG1C0004/2010/BGD	NA	2010-08-21	Human	Bangladesh	GII.4	GII.P4
JX989073	Hu/GII.4/GZ2010_L26/Guangzhou/CHN/2010	NA	2010-11-26	Human	China	GII.4	GII.P4
AB933677	Hu/GII.4/Niigata3/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4	GII.P4
KC409240	Hu/GII/10370/2010/VNM	NA	2010-03-17	Human	Vietnam	GII.4	GII.P4
KM198507	Hu/GII/C2007/2010/VNM	NA	2010-04-02	Human	Vietnam	GII.4	GII.P4
KM198555	Hu/GII/C2035/2010/VNM	NA	2010-06-28	Human	Vietnam	GII.4	GII.P4
JX445164	Hu/GII.4/AlbertaEI045/2010/CA	NA	2010-02-XX	Human	Canada	GII.4	GII.P4
KJ196287	Shimada/ASC96	NA	2010-XX-XX	Human	Japan	GII.4	GII.P4
KC810025	B	NA	2010-07-27	Human	United_Kingdom	GII.4	GII.P4
AB933663	Hu/GII.4/Chiba5/2010/JP	NA	2010-XX-XX	Human	Japan	GII.4	GII.P4
KM198516	Hu/GII/10285/2010/VNM	NA	2010-01-18	Human	Vietnam	GII.4	GII.P4
KC810022	B	NA	2010-07-19	Human	United_Kingdom	GII.4	GII.P4
MF140682	Norovirus/GII/Hu/NL/2011/GII.P4__GII.4/Rotterdam/E1300320_p6_d18	NA	2011-12-09	Human	Netherlands	GII.4	GII.P4
KJ685417	Hu/GII/BG1C0270/2011/BGD	NA	2011-11-03	Human	Bangladesh	GII.4	GII.P4
AB933726	Hu/GII.4/Ehime4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
JX459905	Hu/GII.4/Randwick/NSW938K/2011/AU	NA	2011-08-XX	Human	Australia	GII.4	GII.P4
AB933722	Hu/GII.4/Ehime3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
JX445167	Hu/GII.4/AlbertaEI065/2011/CA	NA	2011-01-XX	Human	Canada	GII.4	GII.P4
AB933705	Hu/GII.4/Ehime2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
AB933708	Hu/GII.4/Hiroshimacity3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
AB933724	Hu/GII.4/Aichi3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
KJ710245	GII/Hu/ZAF/2011/GII.P4_GII.4/CapeTown/6745	NA	2011-01-07	Human	South_Africa	GII.4	GII.P4
AB933763	Hu/GII.4/Osaka2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
MT929247	EMC0002	NA	2011-01-21	Human	Netherlands	GII.4	GII.P4
AB933764	Hu/GII.4/Osaka1/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
MF140666	Norovirus/GII/Hu/NL/2011/GII.P4__GII.4/Rotterdam/E1300289_p16_d202	NA	2011-01-06	Human	Netherlands	GII.4	GII.P4
AB933706	Hu/GII.4/Saga1/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
AB933693	Hu/GII.4/Sakai7/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
AB933707	Hu/GII.4/Saga2/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
AB933759	Hu/GII.4/Nagano26/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
KJ685403	Hu/GII/BG1C0204/2011/BGD	NA	2011-07-27	Human	Bangladesh	GII.4	GII.P4
KM198568	Hu/GII/C2H_62/2011/VNM	NA	2011-12-14	Human	Vietnam	GII.4	GII.P4
KJ685405	Hu/GII/BG1C0282/2011/BGD	NA	2011-08-26	Human	Bangladesh	GII.4	GII.P4
AB933702	Hu/GII.4/Osaka3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
KM198578	Hu/GII/C2H_52/2011/VNM	NA	2011-11-24	Human	Vietnam	GII.4	GII.P4
AB933715	Hu/GII.4/Iwate4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
AB933727	Hu/GII.4/Chiba10/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
MF140668	Norovirus/GII/Hu/NL/2011/GII.P4__GII.4/Rotterdam/E7800022_p16_d451	NA	2011-09-12	Human	Netherlands	GII.4	GII.P4
AB933769	Hu/GII.4/Nagano4/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
KM198486	Hu/GII/C2H_18/2011/VNM	NA	2011-08-30	Human	Vietnam	GII.4	GII.P4
KC962462	GII/Hu/ZAF/2011/GII.P4_GII.4/Empangeni/8491	NA	2011-11-XX	Human	South_Africa	GII.4	GII.P4
AB933770	Hu/GII.4/Niigata3/2011/JP	NA	2011-XX-XX	Human	Japan	GII.4	GII.P4
AB933728	Hu/GII.4/Akita5/2009/JP	NA	2009-XX-XX	Human	Japan	GII.4	GII.P12
AB985437	Hu/GII/2_37/Tokyo/1987/JPN	NA	1987-XX-XX	Human	Japan	GII.4	Could not assign
KY424335	Hu/GII.4/MD104_8/1987/US	NA	1987-11-XX	Human	USA	GII.4	GII.P4
KY424337	Hu/GII.4/MD143_4/1987/US	NA	1987-12-XX	Human	USA	GII.4	GII.P4
JX289821	Hu/GII.4/MD120_12/1987/USA	NA	1987-01-12	Human	USA	GII.4	GII.P4
KY424333	Hu/GII.4/MD104_5/1987/US	NA	1987-11-XX	Human	USA	GII.4	GII.P4
KY424338	Hu/GII.4/MD143_7/1987/US	NA	1987-12-XX	Human	USA	GII.4	GII.P4
AB985442	Hu/GII/2_46/Tokyo/1987/JPN	NA	1987-XX-XX	Human	Japan	GII.4	GII.P4
KY424334	Hu/GII.4/MD104_7/1987/US	NA	1987-11-XX	Human	USA	GII.4	GII.P4
KY424336	Hu/GII.4/MD104_9/1987/US	NA	1987-11-XX	Human	USA	GII.4	GII.P4
FJ537137	Hu/GII.4/CHDC4108/1987/US	NA	1987-XX-XX	Human	USA	GII.4	GII.P4
KY424332	Hu/GII.4/MD104_2/1987/US	NA	1987-11-XX	Human	USA	GII.4	GII.P4
MF140653	Norovirus/GII/Hu/NL/2008/GII.P4__GII.4/Rotterdam/E1300305_p14_d39	NA	2008-03-10	Human	Netherlands	GII.4	GII.P4
GQ845367	Hu/GII.4/Orange/NSW001P/2008/AU	NA	2008-XX-XX	Human	Australia	GII.4	GII.P4
GU991353	Hu/GII/Shanghai/SH2/2008/CHN	NA	2008-12-XX	Human	China	GII.4	GII.P4
GQ845366	Hu/GII.4/NSW3639/2008/AU	NA	2008-XX-XX	Human	Australia	GII.4	GII.P4
HQ009513	Hu/GII.4/JB_15/KOR/2008	NA	2008-XX-XX	Human	South_Korea	GII.4	GII.P4
JX445159	Hu/GII.4/AlbertaEI009/2008/CA	NA	2008-01-XX	Human	Canada	GII.4	GII.P4
FJ514242	Hu/GII_4/CUK_3/2008/KR	NA	2008-XX-XX	Human	South_Korea	GII.4	GII.P4
JX445160	Hu/GII.4/AlbertaEI102/2008/CA	NA	2008-02-XX	Human	Canada	GII.4	GII.P4
JX445161	Hu/GII.4/AlbertaEI210/2008/CA	NA	2008-04-XX	Human	Canada	GII.4	GII.P4
JX445162	Hu/GII.4/AlbertaEI425/2008/CA	NA	2008-11-XX	Human	Canada	GII.4	GII.P4
MF140652	Norovirus/GII/Hu/NL/2008/GII.P4__GII.4/Rotterdam/E7800015_p14_d0	NA	2008-01-31	Human	Netherlands	GII.4	GII.P4
JN400616	UNKNOWN_JN400616	NA	2008-10-03	Human	Taiwan	GII.4	GII.P4
MF140654	Norovirus/GII/Hu/NL/2008/GII.P4__GII.4/Rotterdam/E7800023_p14_d109	NA	2008-05-19	Human	Netherlands	GII.4	GII.P4
MH413070	0859	NA	2008-05-08	Human	USA	GII.4	GII.P4
MK907799	G19_035	NA	2008-10-01	Human	France	GII.4	GII.P4
FJ537134	Hu/GII.4/CHDC5191/1974/US	NA	1974-XX-XX	Human	USA	GII.4	GII.P39 (GII.P1)
JX023286	Hu/GII.4/CHDC5191/1974/USA	NA	1974-07-10	Human	USA	GII.4	GII.P39 (GII.P1)
FJ537135	Hu/GII.4/CHDC2094/1974/US	NA	1974-XX-XX	Human	USA	GII.4	GII.PNA3
FJ537136	Hu/GII.4/CHDC3967/1988/US	NA	1988-XX-XX	Human	USA	GII.4	GII.P4
KY424339	Hu/GII.4/MD04_1A/1988/US	NA	1988-01-XX	Human	USA	GII.4	GII.P4
KY424340	Hu/GII.4/MD04_7A/1988/US	NA	1988-01-XX	Human	USA	GII.4	GII.P4
FJ537138	Hu/GII.4/CHDC4871/1977/US	NA	1977-XX-XX	Human	USA	GII.4	GII.P39 (GII.P1)
GQ845368	Hu/GII.4/NSW505G/2007/AU	NA	2007-XX-XX	Human	Australia	GII.4	Could not assign
GQ845369	Hu/GII.4/NSW390I/2008/AU	NA	2008-XX-XX	Human	Australia	GII.4	GII.P31 (GII.Pe)
KT152148	Hu/GII.P4_GII.4/Minerva/2006/USA	NA	2006-XX-XX	Human	USA	GII.4	GII.P4
JX445153	Hu/GII.4/AlbertaEI142/2006/CA	NA	2006-03-XX	Human	Canada	GII.4	GII.P4
JN400605	UNKNOWN_JN400605	NA	2006-10-23	Human	Taiwan	GII.4	GII.P4
KC631815	Hu/GII.4/MI002/2011/USA	NA	2006-XX-XX	Human	USA	GII.4	GII.P4
JN400609	UNKNOWN_JN400609	NA	2006-11-05	Human	Taiwan	GII.4	GII.P4
JN400603	UNKNOWN_JN400603	NA	2006-10-12	Human	Taiwan	GII.4	GII.P4
JX445156	Hu/GII.4/AlbertaEI498/2006/CA	NA	2006-12-XX	Human	Canada	GII.4	GII.P4
JN400606	UNKNOWN_JN400606	NA	2006-10-31	Human	Taiwan	GII.4	GII.P4
JN400601	UNKNOWN_JN400601	NA	2006-10-10	Human	Taiwan	GII.4	GII.P4
JN400608	UNKNOWN_JN400608	NA	2006-11-18	Human	Taiwan	GII.4	GII.P4
JN400602	UNKNOWN_JN400602	NA	2006-10-18	Human	Taiwan	GII.4	GII.P4
JN400599	UNKNOWN_JN400599	NA	2006-01-13	Human	Taiwan	GII.4	GII.P4
JX445154	Hu/GII.4/AlbertaEI190/2006/CA	NA	2006-05-XX	Human	Canada	GII.4	GII.P4
JX445155	Hu/GII.4/AlbertaEI438/2006/CA	NA	2006-11-XX	Human	Canada	GII.4	GII.P4
JN400604	UNKNOWN_JN400604	NA	2006-10-17	Human	Taiwan	GII.4	GII.P4
JN400600	UNKNOWN_JN400600	NA	2006-10-12	Human	Taiwan	GII.4	GII.P4
JX445158	Hu/GII.4/AlbertaEI603/2006/CA	NA	2006-12-XX	Human	Canada	GII.4	GII.P4
JN400607	UNKNOWN_JN400607	NA	2006-11-05	Human	Taiwan	GII.4	GII.P4
JX445157	Hu/GII.4/AlbertaEI513/2006/CA	NA	2006-12-XX	Human	Canada	GII.4	GII.P4
JQ798158	Hu/GII.4/5M/USA/2004	NA	2004-XX-XX	Human	USA	GII.4	GII.P4
JX445152	Hu/GII.4/AlbertaEI131/2004/CA	NA	2004-07-XX	Human	Canada	GII.4	GII.P4
KC013592	Hu/GII.4/HS191/2004/USA	NA	2004-XX-XX	Human	USA	GII.4	GII.P4
KF429776	Hu/GII.4/NIHIC17.1/2012/USA	NA	2012-02-17	Human	USA	GII.4	GII.P4
KC463910	684	NA	2012-XX-XX	Human	USA	GII.4	GII.P4
MT448670	963_2	NA	2012-04-11	Human	USA	GII.4	GII.P4
JX459902	Hu/GII.4/Berowra/NSW767L/2012/AU	NA	2012-03-XX	Human	Australia	GII.4	GII.P4
MF140669	Norovirus/GII/Hu/NL/2012/GII.P4__GII.4/Rotterdam/E1300296_p2_d0	NA	2012-03-06	Human	Netherlands	GII.4	GII.P4
KF429771	Hu/GII.4/NIHIC22/2012/USA	NA	2012-02-28	Human	USA	GII.4	GII.P4
KJ685411	Hu/GII/BG1C0398/2012/BGD	NA	2012-10-21	Human	Bangladesh	GII.4	GII.P4
KF429777	Hu/GII.4/NIHIC27.1/2012/USA	NA	2012-03-19	Human	USA	GII.4	GII.P4
KF712505	Hu/GII.4/NIHIC17.4/2012/USA	NA	2012-07-24	Human	USA	GII.4	GII.P4
KF712501	Hu/GII.4/NIHIC17.6/2012/USA	NA	2012-09-18	Human	USA	GII.4	GII.P4
KF429787	Hu/GII.4/NIHIC28.5/2012/USA	NA	2012-08-10	Human	USA	GII.4	GII.P4
KF429768	Hu/GII.4/NIHIC1.13/2012/USA	NA	2012-10-20	Human	USA	GII.4	GII.P4
KC517365	Hu/GII_4/Taoyuan/CGMH55/2012/TW	NA	2012-02-19	Human	Taiwan	GII.4	GII.P4
JX445169	Hu/GII.4/AlbertaEI003/2012/CA	NA	2012-01-XX	Human	Canada	GII.4	GII.P4
KF712497	Hu/GII.4/NIHIC27.2/2012/USA	NA	2012-04-06	Human	USA	GII.4	GII.P4
KC517369	Hu/GII_4/Taoyuan/CGMH59/2012/TW	NA	2012-04-23	Human	Taiwan	GII.4	GII.P4
KF429778	Hu/GII.4/NIHIC18.1/2012/USA	NA	2012-02-18	Human	USA	GII.4	GII.P4
KF429779	Hu/GII.4/NIHIC28.1/2012/USA	NA	2012-02-04	Human	USA	GII.4	GII.P4
KF712499	Hu/GII.4/NIHIC1.16/2012/USA	NA	2012-10-25	Human	USA	GII.4	GII.P4
KP784695	GII/Hu/ZAF/2012/GII.P4_GII.4/Empangeni/9693	NA	2012-XX-XX	Human	South_Africa	GII.4	GII.P4
KU311162	SP1	NA	2012-12-XX	Human	Canada	GII.4	GII.P4
KJ407073	Hu/GII.4/HS292/2012/USA	NA	2012-05-19	Human	USA	GII.4	GII.P4
KF429788	Hu/GII.4/NIHIC20/2012/USA	NA	2012-02-22	Human	USA	GII.4	GII.P4
KF429790	Hu/GII.4/NIHIC17.5/2012/USA	NA	2012-05-09	Human	USA	GII.4	GII.P4
KF429792	Hu/GII.4/NIHIC1.6/2012/USA	NA	2012-01-14	Human	USA	GII.4	GII.P4
KF712506	Hu/GII.4/NIHIC1.12/2012/USA	NA	2012-10-16	Human	USA	GII.4	GII.P4
KF712493	Hu/GII.4/NIHIC1.10/2012/USA	NA	2012-08-28	Human	USA	GII.4	GII.P4
KJ196289	Taipei/109	NA	2012-XX-XX	Human	Taiwan	GII.4	GII.P4
KF712507	Hu/GII.4/NIHIC1.11/2012/USA	NA	2012-10-15	Human	USA	GII.4	GII.P4
MF140683	Norovirus/GII/Hu/NL/2012/GII.P4__GII.4/Rotterdam/E1300321_p6_d204	NA	2012-06-12	Human	Netherlands	GII.4	GII.P4
KJ196279	Fukuyama/3	NA	2012-XX-XX	Human	Japan	GII.4	GII.P31 (GII.Pe)
MT474051	Hu/GII.Pe_GII.4/JH5/2012/PA/BRA	NA	2012-06-06	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MH702272	Hu/BT/2012/GII.Pe_GII.4_Sydney_2012/ETR_NV_183	NA	2012-12-04	Human	Bhutan	GII.4	GII.P31 (GII.Pe)
KC517378	Hu/GII_4/New_Taipei/CGMH68/2012/TW	NA	2012-09-07	Human	Taiwan	GII.4	GII.P31 (GII.Pe)
KC517361	Hu/GII_4/Taoyuan/CGMH51/2012/TW	NA	2012-01-10	Human	Taiwan	GII.4	GII.P31 (GII.Pe)
KP784696	GII/Hu/ZAF/2012/GII.P4_GII.4/CapeTown/9772	NA	2012-XX-XX	Human	South_Africa	GII.4	GII.P31 (GII.Pe)
KJ196280	Fukuyama/2	NA	2012-XX-XX	Human	Japan	GII.4	GII.P31 (GII.Pe)
KJ196293	Fukuyama/1	NA	2012-XX-XX	Human	Japan	GII.4	GII.P31 (GII.Pe)
MH702271	Hu/BT/2012/GII.Pe_GII.4_Sydney_2012/ETR_NV_181	NA	2012-11-29	Human	Bhutan	GII.4	GII.P31 (GII.Pe)
MT474044	Hu/GII.Pe_GII.4/JH2/2012/AM/BRA	NA	2012-10-05	Human	Brazil	GII.4	GII.P31 (GII.Pe)
KC631827	Hu/GII.4/Hong_Kong/CUHK6080/2012/CHN	NA	2012-12-10	Human	Hong_Kong	GII.4	GII.P31 (GII.Pe)
KC517376	Hu/GII_4/Taoyuan/CGMH66/2012/TW	NA	2012-08-18	Human	Taiwan	GII.4	GII.P31 (GII.Pe)
MH702274	Hu/BT/2012/GII.Pe_GII.4_Sydney_2012/ETR_NV_185	NA	2012-12-05	Human	Bhutan	GII.4	GII.P31 (GII.Pe)
KY424329	Hu/GII.4/RockvilleD7/2012/US	NA	2012-01-XX	Human	USA	GII.4	GII.P31 (GII.Pe)
KY424330	Hu/GII.4/RockvilleD14/2012/US	NA	2012-01-XX	Human	USA	GII.4	GII.P31 (GII.Pe)
JX459908	Hu/GII.4/Sydney/NSW0514/2012/AU	NA	2012-03-XX	Human	Australia	GII.4	GII.P31 (GII.Pe)
KJ196283	Taipei/106	NA	2012-XX-XX	Human	Taiwan	GII.4	GII.P31 (GII.Pe)
KJ196296	Taipei/105	NA	2012-XX-XX	Human	Taiwan	GII.4	GII.P31 (GII.Pe)
KY496327	Hu/USA/2012/GII.Pe_GII.4_Sydney/WI2138	NA	2012-11-20	Human	USA	GII.4	GII.P31 (GII.Pe)
KY424331	Hu/GII.4/RockvilleD21/2012/US	NA	2012-02-XX	Human	USA	GII.4	GII.P31 (GII.Pe)
KJ955492	JB031230054/Luohu/OB/12/2012/SZ/CHN	NA	2012-12-XX	Human	China	GII.4	GII.P31 (GII.Pe)
KJ955493	JB031230049/Nanshan/OB/12/2012/SZ/CHN	NA	2012-12-XX	Human	China	GII.4	GII.P31 (GII.Pe)
KM258128	12_BA_1/2012/GII.Pe/GII.4_Sydney	NA	2012-03-XX	Human	Taiwan	GII.4	GII.P31 (GII.Pe)
KC517364	Hu/GII_4/New_Taipei/CGMH54/2012/TW	NA	2012-01-25	Human	Taiwan	GII.4	GII.P31 (GII.Pe)
KM272334	Hu/GII.4/gg_12_08_04/2012/KR	NA	2012-08-04	Human	South_Korea	GII.4	GII.P31 (GII.Pe)
KF509946	Hu/GII.4/AlbertaEI063/2012/CA	NA	2012-01-XX	Human	Canada	GII.4	GII.P31 (GII.Pe)
MH702270	Hu/BT/2012/GII.Pe_GII.4_Sydney_2012/ETR_NV_180	NA	2012-11-29	Human	Bhutan	GII.4	GII.P31 (GII.Pe)
KC175323	Hu/GII.4/Hong_Kong/CUHK3630/2012/CHN	NA	2012-08-XX	Human	Hong_Kong	GII.4	GII.P31 (GII.Pe)
MT474052	Hu/GII.Pe_GII.4/JH6/2012/PA/BRA	NA	2012-06-04	Human	Brazil	GII.4	GII.P31 (GII.Pe)
KJ196281	Fukuyama/5	NA	2012-XX-XX	Human	Japan	GII.4	GII.P31 (GII.Pe)
KC576913	Hu/GII.4/C110/1978/GUF	NA	1978-04-04	Human	French_Guiana	GII.4	Could not assign
KC576915	Hu/GII.4/KL45/1978/MYS	NA	1978-03-23	Human	Malaysia	GII.4	GII.P39 (GII.P1)
MF140637	Norovirus/GII/Hu/NL/2013/GII.Pe__GII.4/Rotterdam/E1300285_p10_d316	NA	2013-12-06	Human	Netherlands	GII.4	GII.P31 (GII.Pe)
MH702258	Hu/NP/2013/GII.Pe_GII.4_Sydney_2012/ETR_NV_080	NA	2013-03-07	Human	Nepal	GII.4	GII.P31 (GII.Pe)
KF306214	Hu/GII.4/Jingzhou/2013403/CHN	NA	2013-04-XX	Human	China	GII.4	GII.P31 (GII.Pe)
MF140671	Norovirus/GII/Hu/NL/2013/GII.Pe__GII.4/Rotterdam/E1300301_p3_d0	NA	2013-04-29	Human	Netherlands	GII.4	GII.P31 (GII.Pe)
MF140673	Norovirus/GII/Hu/NL/2013/GII.Pe__GII.4/Rotterdam/E1300303_p3_d122	NA	2013-08-29	Human	Netherlands	GII.4	GII.P31 (GII.Pe)
MG733285	Hu/GII.4/WZ320/2013/CHN	NA	2013-06-06	Human	China	GII.4	GII.P31 (GII.Pe)
KM245075	13_Z_2/2013/GII.Pe/GII.4_Sydney	NA	2013-02-XX	Human	Taiwan	GII.4	GII.P31 (GII.Pe)
MK752948	Walworth0399	NA	2013-11-24	Human	USA	GII.4	GII.P31 (GII.Pe)
MK753019	HoodRiver0382	NA	2013-12-11	Human	USA	GII.4	GII.P31 (GII.Pe)
MT474032	Hu/GII.Pe_GII.4/JH11/2013/PA/BRA	NA	2013-08-07	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MT474048	Hu/GII.Pe_GII.4/JH37/2013/AM/BRA	NA	2013-03-14	Human	Brazil	GII.4	GII.P31 (GII.Pe)
MF140636	Norovirus/GII/Hu/NL/2013/GII.Pe__GII.4/Rotterdam/E7800008_p10_d0	NA	2013-01-24	Human	Netherlands	GII.4	GII.P31 (GII.Pe)
MG733284	Hu/GII.4/WZ198/2013/CHN	NA	2013-07-08	Human	China	GII.4	GII.P31 (GII.Pe)
MG733286	Hu/GII.4/WZ700/2013/CHN	NA	2013-08-12	Human	China	GII.4	GII.P31 (GII.Pe)
MG733287	Hu/GII.4/WZ785/2013/CHN	NA	2013-07-18	Human	China	GII.4	GII.P31 (GII.Pe)
KJ649705	GII/Hu/HKG/2013/GII.4/CUHK_NS_141	NA	2013-02-25	Human	Hong_Kong	GII.4	GII.P31 (GII.Pe)
KT202793	Hu/Guangzhou/GZ2013_L10/CHN/2013	NA	2013-11-05	Human	China	GII.4	GII.P31 (GII.Pe)
