strain	strain_name	date	country
MW587037	Human coronavirus 229E S0970XLQ	2016-XX-XX	China
MW587038	Human coronavirus 229E S0959FBW	2016-XX-XX	China
OK073077	Human coronavirus 229E R2	2018-XX-XX	China
OK073078	Human coronavirus 229E R10	2017-XX-XX	China
OK073079	Human coronavirus 229E R22	2018-XX-XX	China
OK073082	Human coronavirus 229E R41	2018-XX-XX	China
OK073083	Human coronavirus 229E RS15	2017-XX-XX	China
OK073084	Human coronavirus 229E P42	2017-XX-XX	China
MW532104	229E/China/04/2017	2017-08-02	China
MT797634	Human coronavirus 229E HK20-42	2020-01-XX	Hong Kong
MW532103	229E/China/03/2017	2017-05-02	China
MN369046	Human coronavirus 229E HCoV_229E/Seattle/USA/SC9724/2018	2018-XX-XX	USA
LC654445	None	2020-XX-XX	Japan
KY369912	Human coronavirus 229E HCoV_229E/Seattle/USA/SC9731/2016	2016-XX-XX	USA
KY369914	Human coronavirus 229E HCoV_229E/Seattle/USA/SC9773/2016	2016-XX-XX	USA
MW587035	Human coronavirus 229E S0677SP	2016-XX-XX	China
MW587036	Human coronavirus 229E S1004CFR	2016-XX-XX	China
ON791801	Human coronavirus 229E LC22	2022-XX-XX	USA
JX503060	Human coronavirus 229E 0349	2010-XX-XX	Netherlands
KY996417	229E/UF-1/2016	2016-11-23	USA
MW532106	229E/China/01/2009	2009-06-09	China
MW532107	229E/China/02/2009	2009-04-15	China
AB691767	None	2008-XX-XX	Japan
OK073080	Human coronavirus 229E R35	2018-XX-XX	China
OK073081	Human coronavirus 229E R39	2018-XX-XX	China
MT438700	Human coronavirus 229E HCoV-229E/USA/UAMS_DID_0108/2017	2017-01-27	USA
KY674919	Human coronavirus 229E N08-434B	2016-XX-XX	USA
KY369910	Human coronavirus 229E HCoV_229E/Seattle/USA/SC1143/2016	2016-XX-XX	USA
KY369911	Human coronavirus 229E HCoV_229E/Seattle/USA/SC1212/2016	2016-XX-XX	USA
MT438696	Human coronavirus 229E HCoV-229E/USA/UNM_0186/2016	2016-02-09	USA
MH828489	Human coronavirus 229E vzcorona-a3	2013-10-22	Viet Nam
JX503061	Human coronavirus 229E J0304	2009-XX-XX	Italy
KF514429	Human coronavirus 229E 229E/human/USA/892-11/1989	1989-02-07	USA
KF514430	Human coronavirus 229E 229E/human/USA/933-50/1993	1993-03-18	USA
KF514432	Human coronavirus 229E 229E/human/USA/932-72/1993	1993-02-22	USA
KF514433	Human coronavirus 229E 229E/human/USA/933-40/1993	1993-03-11	USA
KF514431	Human coronavirus 229E 229E/human/USA/953-49/1995	1995-03-23	USA
AB691764	None	2004-XX-XX	Japan
AB691765	None	2004-XX-XX	Japan
AB691766	None	2004-XX-XX	Japan
MW039392	Human coronavirus 229E HCoV 229E/human/ITA/TE5146/2020	2020-03-18	Italy
KM055531	229e/KM055531/11949_2011/2011	2011-XX-XX	China
KM055560	229e/KM055560/1424A_2009/2009	2009-XX-XX	China
KM055553	229e/KM055553/1482A_2009/2009	2009-XX-XX	China
KM055532	229e/KM055532/1512A_2009/2009	2009-XX-XX	China
KM055533	229e/KM055533/1518A_2009/2009	2009-XX-XX	China
KM055534	229e/KM055534/1546A_2009/2009	2009-XX-XX	China
KM055535	229e/KM055535/1649A_2009/2009	2009-XX-XX	China
KM055536	229e/KM055536/1658A_2009/2009	2009-XX-XX	China
KM055537	229e/KM055537/1667A_2009/2009	2009-XX-XX	China
KM055538	229e/KM055538/1761A_2010/2010	2010-XX-XX	China
KM055539	229e/KM055539/1781A_2010/2010	2010-XX-XX	China
KM055540	229e/KM055540/1782A_2010/2010	2010-XX-XX	China
KM055541	229e/KM055541/1827A_2010/2010	2010-XX-XX	China
KM055542	229e/KM055542/1829A_2010/2010	2010-XX-XX	China
KM055543	229e/KM055543/1990A_2010/2010	2010-XX-XX	China
KF285480	229e/KF285480/229E/NA	NA	Thailand
KM055544	229e/KM055544/2764A_2011/2011	2011-XX-XX	China
KM055548	229e/KM055548/2861A_2011/2011	2011-XX-XX	China
KM055549	229e/KM055549/2961A_2011/2011	2011-XX-XX	China
KM055550	229e/KM055550/2981A_2011/2011	2011-XX-XX	China
KM055551	229e/KM055551/359A_2007/2007	2007-XX-XX	China
KM055552	229e/KM055552/423A_2007/2007	2007-XX-XX	China
KM055554	229e/KM055554/494A_2008/2008	2008-XX-XX	China
KM055555	229e/KM055555/507A_2008/2008	2008-XX-XX	China
KM055556	229e/KM055556/693A_2008/2008	2008-XX-XX	China
KM055557	229e/KM055557/748_2005/2005	2005-XX-XX	China
KM055545	229e/KM055545/8339_2009/2009	2009-XX-XX	China
KM055558	229e/KM055558/8348_2009/2009	2009-XX-XX	China
KM055546	229e/KM055546/8373_2009/2009	2009-XX-XX	China
KM055547	229e/KM055547/8425_2009/2009	2009-XX-XX	China
KM055559	229e/KM055559/857_2005/2005	2005-XX-XX	China
