strain	strain_name	segment	date	host	country	subtype	virus_species	hpiv_subtype
JQ268855	FLI5219	NA	2010-10-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
KT595233	HPIV2i/Zagreb.HR/42.12_2995_	NA	2012-10-05	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
KJ939327	UNKNOWN_KJ939327	NA	2013-10-23	Human	India	2	Human_parainfluenza_virus_2	HPIV2
JQ268839	FLU6790	NA	2007-06-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
JF416794	KPIV_06_26	NA	2006-02-26	Human	South_Korea	2	Human_parainfluenza_virus_2	HPIV2
KT315667	HPIV2i/Zagreb.HR/47.14_1688_	NA	2014-11-22	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
KT315663	HPIV2i/Zagreb.HR/50.12_3257_	NA	2012-11-29	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
JQ268845	FLA1668	NA	2008-04-XX	Human	Argentina	NA	Human_parainfluenza_virus_2	HPIV2
JQ268859	FLU6466	NA	2007-05-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
JQ268842	FLA0072	NA	2007-10-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
JQ268856	FLE5586	NA	2009-08-XX	Human	Nicaragua	NA	Human_parainfluenza_virus_2	HPIV2
JQ268849	FLI2888	NA	2010-05-XX	Human	Ecuador	NA	Human_parainfluenza_virus_2	HPIV2
KT315658	HPIV2i/Zagreb.HR/49.11_16971_	NA	2011-11-09	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
JQ268851	FLE9660	NA	2010-03-XX	Human	Argentina	NA	Human_parainfluenza_virus_2	HPIV2
JQ268841	FLU8980	NA	2007-08-XX	Human	Bolivia	NA	Human_parainfluenza_virus_2	HPIV2
KT595234	HPIV2i/Zagreb.HR/44.12_3036_	NA	2012-10-15	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
KT315665	HPIV2i/Zagreb.HR/51.12_3316_	NA	2012-12-06	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
KT315664	HPIV2i/Zagreb.HR/50.12_3263_	NA	2012-11-29	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
GU187338	hPIV_2/Lyon/27640/2009-XX-XX	NA	2009-XX-XX	Human	France	NA	Human_parainfluenza_virus_2	HPIV2
JQ268857	FLU6365	NA	2007-05-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
JQ268852	FLA2356	NA	2008-05-XX	Human	Argentina	NA	Human_parainfluenza_virus_2	HPIV2
JQ268858	FLI5864	NA	2010-11-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
KT315660	HPIV2i/Zagreb.HR/28.12_2706_	NA	2012-06-27	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
KT595232	HPIV2i/Zagreb.HR/29.12_2725_	NA	2012-07-04	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
KT315662	HPIV2i/Zagreb.HR/41.12_2950_	NA	2012-09-27	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
KT315656	HPIV2i/Zagreb.HR/47.11_16475_	NA	2011-10-30	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
JF912196	Oklahoma/3955/2005-XX-XX	NA	2005-XX-XX	Human	USA	NA	Human_parainfluenza_virus_2	HPIV2
JQ268840	FLA5191	NA	2008-05-XX	Human	Colombia	NA	Human_parainfluenza_virus_2	HPIV2
KT315661	HPIV2i/Zagreb.HR/38.12_2858_	NA	2012-09-03	Human	Croatia	NA	Human_parainfluenza_virus_2	HPIV2
JQ268853	CFI00226	NA	2009-11-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
JQ268861	FLI2684	NA	2009-11-XX	Human	Colombia	NA	Human_parainfluenza_virus_2	HPIV2
JQ268854	FLE8253	NA	2010-01-XX	Human	Peru	NA	Human_parainfluenza_virus_2	HPIV2
MW654468	GER/0539/16_17	NA	2016-11-15	Human	Germany	NA	NA	HPIV2
LC486579	HPIV2s/SaitamaC.JPN/12_197	NA	2012-XX-XX	Human	Japan	NA	NA	HPIV2
MW654470	GER/1164/16_17	NA	2016-12-14	Human	Germany	NA	NA	HPIV2
MZ576389	NUH_PF2_11/Nottingham/2015	NA	2015-11-25	Human	United_Kingdom	NA	NA	HPIV2
MW654472	GER/4782/16_17	NA	2017-04-04	Human	Germany	NA	NA	HPIV2
MZ576396	NUH_PF2_19/Nottingham/2015	NA	2015-12-18	Human	United_Kingdom	NA	NA	HPIV2
LC486580	HPIV2s/SaitamaC.JPN/12_198	NA	2012-XX-XX	Human	Japan	NA	NA	HPIV2
LC486599	HPIV2s/SaitamaC.JPN/17_730	NA	2017-XX-XX	Human	Japan	NA	NA	HPIV2
MZ576398	NUH_PF2_21/Nottingham/2015	NA	2015-12-26	Human	United_Kingdom	NA	NA	HPIV2
MH828711	vzhpiv22	NA	2014-05-12	Human	Viet_Nam	NA	NA	HPIV2
LC486596	HPIV2s/SaitamaC.JPN/17_609	NA	2017-XX-XX	Human	Japan	NA	NA	HPIV2
LC720866	PIV2_Fukushima_O739_2019-XX-XX	NA	2019-XX-XX	Human	Japan	NA	NA	HPIV2
LC486581	HPIV2s/SaitamaC.JPN/12_251	NA	2012-XX-XX	Human	Japan	NA	NA	HPIV2
MW654454	GER/0661/18_19	NA	2018-11-26	Human	Germany	NA	NA	HPIV2
MW654464	GER/0438/14_15	NA	2014-11-10	Human	Germany	NA	NA	HPIV2
MW654467	GER/0424/16_17	NA	2016-11-07	Human	Germany	NA	NA	HPIV2
MW654480	GER/0264/18_19	NA	2018-10-31	Human	Germany	NA	NA	HPIV2
MZ576394	NUH_PF2_16/Nottingham/2015	NA	2015-12-17	Human	United_Kingdom	NA	NA	HPIV2
LC720868	PIV2_Fukushima_O836_2019-XX-XX	NA	2019-XX-XX	Human	Japan	NA	NA	HPIV2
LC050829	HPIV2/20140925	NA	2014-09-25	Human	Japan	NA	NA	HPIV2
LC486584	HPIV2s/SaitamaC.JPN/14_455	NA	2014-XX-XX	Human	Japan	NA	NA	HPIV2
MW654451	GER/0589/16_17	NA	2016-11-17	Human	Germany	NA	NA	HPIV2
MW654461	GER/0637/18_19	NA	2018-11-15	Human	Germany	NA	NA	HPIV2
MZ576382	NUH_PF2_2/Nottingham/2015	NA	2015-06-16	Human	United_Kingdom	NA	NA	HPIV2
LC720870	PIV2_Fukushima_OR331_2021-XX-XX	NA	2021-XX-XX	Human	Japan	NA	NA	HPIV2
LC486592	HPIV2s/SaitamaC.JPN/16_621	NA	2016-XX-XX	Human	Japan	NA	NA	HPIV2
LC486598	HPIV2s/SaitamaC.JPN/17_652	NA	2017-XX-XX	Human	Japan	NA	NA	HPIV2
MZ576401	NUH_PF2_26/Nottingham/2017	NA	2017-01-26	Human	United_Kingdom	NA	NA	HPIV2
LC486589	HPIV2s/SaitamaC.JPN/14_711	NA	2014-XX-XX	Human	Japan	NA	NA	HPIV2
MW654463	GER/1015/16_17	NA	2016-12-06	Human	Germany	NA	NA	HPIV2
MZ576390	NUH_PF2_12/Nottingham/2015	NA	2015-12-08	Human	United_Kingdom	NA	NA	HPIV2
LC486586	HPIV2s/SaitamaC.JPN/14_605	NA	2014-XX-XX	Human	Japan	NA	NA	HPIV2
LC486587	HPIV2s/SaitamaC.JPN/14_616	NA	2014-XX-XX	Human	Japan	NA	NA	HPIV2
MZ576383	NUH_PF2_3/Nottingham/2015	NA	2015-10-06	Human	United_Kingdom	NA	NA	HPIV2
MW654475	GER/0566/18_19	NA	2018-11-22	Human	Germany	NA	NA	HPIV2
MZ576393	NUH_PF2_15/Nottingham/2015	NA	2015-12-14	Human	United_Kingdom	NA	NA	HPIV2
MZ576400	NUH_PF2_24/Nottingham/2016	NA	2016-01-08	Human	United_Kingdom	NA	NA	HPIV2
MW654477	GER/0737/18_19	NA	2018-11-30	Human	Germany	NA	NA	HPIV2
MZ576391	NUH_PF2_13/Nottingham/2015	NA	2015-12-08	Human	United_Kingdom	NA	NA	HPIV2
MW654456	GER/2771/16_17	NA	2017-01-30	Human	Germany	NA	NA	HPIV2
MW654479	GER/1637/18_19	NA	2019-01-23	Human	Germany	NA	NA	HPIV2
MT118675	2018-XX-XX_9783	NA	2018-XX-XX	Human	USA	NA	NA	HPIV2
MW654460	GER/0361/18_19	NA	2018-11-06	Human	Germany	NA	NA	HPIV2
MW654469	GER/0926/16_17	NA	2016-11-29	Human	Germany	NA	NA	HPIV2
MH828712	vzhpiv23	NA	2015-09-25	Human	Viet_Nam	NA	NA	HPIV2
LC486593	HPIV2s/SaitamaC.JPN/16_625	NA	2016-XX-XX	Human	Japan	NA	NA	HPIV2
MW654476	GER/0712/18_19	NA	2018-11-30	Human	Germany	NA	NA	HPIV2
MZ576384	NUH_PF2_5/Nottingham/2015	NA	2015-10-28	Human	United_Kingdom	NA	NA	HPIV2
OL519582	xz023_orthorubulavirus_2	NA	2018-XX-XX	Human	China	NA	NA	HPIV2
MT832141	PSH00001	NA	2018-XX-XX	Human	Malaysia	NA	NA	HPIV2
KY986646	HPIV2/Seattle/USA/SC3002/2015-XX-XX	NA	2015-XX-XX	Human	USA	NA	NA	HPIV2
LC720864	PIV2_Fukushima_O13_2018-XX-XX	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV2
MT118669	2018-XX-XX_0072	NA	2018-XX-XX	Human	USA	NA	NA	HPIV2
LC486582	HPIV2s/SaitamaC.JPN/12_268	NA	2012-XX-XX	Human	Japan	NA	NA	HPIV2
LC486595	HPIV2s/SaitamaC.JPN/17_386	NA	2017-XX-XX	Human	Japan	NA	NA	HPIV2
MW654466	GER/0271/16_17	NA	2016-10-26	Human	Germany	NA	NA	HPIV2
MW654450	GER/0469/16_17	NA	2016-11-08	Human	Germany	NA	NA	HPIV2
MZ576386	NUH_PF2_7/Nottingham/2015	NA	2015-11-09	Human	United_Kingdom	NA	NA	HPIV2
MZ576388	NUH_PF2_9/Nottingham/2015	NA	2015-11-16	Human	United_Kingdom	NA	NA	HPIV2
OM451136	ZJ_MO2	NA	2019-XX-XX	Unknown	China	NA	NA	HPIV2
MZ576392	NUH_PF2_14/Nottingham/2015	NA	2015-12-14	Human	United_Kingdom	NA	NA	HPIV2
LC486588	HPIV2s/SaitamaC.JPN/14_705	NA	2014-XX-XX	Human	Japan	NA	NA	HPIV2
MW654471	GER/1668/16_17	NA	2017-01-02	Human	Germany	NA	NA	HPIV2
KY986645	HPIV2/Seattle/USA/SC2761/2015-XX-XX	NA	2015-XX-XX	Human	USA	NA	NA	HPIV2
LC486583	HPIV2s/SaitamaC.JPN/14_423	NA	2014-XX-XX	Human	Japan	NA	NA	HPIV2
LC486585	HPIV2s/SaitamaC.JPN/14_564	NA	2014-XX-XX	Human	Japan	NA	NA	HPIV2
MW654452	GER/0595/18_19	NA	2018-11-23	Human	Germany	NA	NA	HPIV2
MW654459	GER/0324/18_19	NA	2018-11-06	Human	Germany	NA	NA	HPIV2
MH828710	vzhpiv21	NA	2014-05-27	Human	Viet_Nam	NA	NA	HPIV2
MW654465	GER/0705/14_15	NA	2014-11-24	Human	Germany	NA	NA	HPIV2
MZ576399	NUH_PF2_23/Nottingham/2016	NA	2016-01-04	Human	United_Kingdom	NA	NA	HPIV2
LC720867	PIV2_Fukushima_O78_2018-XX-XX	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV2
LC720865	PIV2_Fukushima_O33_2018-XX-XX	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV2
LC486591	HPIV2s/SaitamaC.JPN/16_372	NA	2016-XX-XX	Human	Japan	NA	NA	HPIV2
MW654457	GER/5668/16_17	NA	2017-09-04	Human	Germany	NA	NA	HPIV2
MW654473	GER/1398/17_18	NA	2017-12-20	Human	Germany	NA	NA	HPIV2
MZ576387	NUH_PF2_8/Nottingham/2015	NA	2015-11-10	Human	United_Kingdom	NA	NA	HPIV2
MZ576397	NUH_PF2_20/Nottingham/2015	NA	2015-12-23	Human	United_Kingdom	NA	NA	HPIV2
LC720869	PIV2_Fukushima_O861_2019-XX-XX	NA	2019-XX-XX	Human	Japan	NA	NA	HPIV2
MW654458	GER/1535/16_17	NA	2017-01-02	Human	Germany	NA	NA	HPIV2
MW654474	GER/0393/18_19	NA	2018-11-08	Human	Germany	NA	NA	HPIV2
MW654478	GER/1008/18_19	NA	2018-12-13	Human	Germany	NA	NA	HPIV2
LC486594	HPIV2s/SaitamaC.JPN/17_368	NA	2017-XX-XX	Human	Japan	NA	NA	HPIV2
MW654453	GER/0635/18_19	NA	2018-11-15	Human	Germany	NA	NA	HPIV2
MW654455	GER/0987/18_19	NA	2018-12-13	Human	Germany	NA	NA	HPIV2
MW654462	GER/1053/18_19	NA	2018-12-17	Human	Germany	NA	NA	HPIV2
MZ576385	NUH_PF2_6/Nottingham/2015	NA	2015-11-05	Human	United_Kingdom	NA	NA	HPIV2
LC486597	HPIV2s/SaitamaC.JPN/17_637	NA	2017-XX-XX	Human	Japan	NA	NA	HPIV2
OM451137	ZJ_MO3	NA	2019-XX-XX	Unknown	China	NA	NA	HPIV2
MT118716	2019-XX-XX_2885	NA	2019-XX-XX	Human	USA	NA	NA	HPIV2
MZ576395	NUH_PF2_18/Nottingham/2015	NA	2015-12-18	Human	United_Kingdom	NA	NA	HPIV2
LC486590	HPIV2s/SaitamaC.JPN/14_837	NA	2014-XX-XX	Human	Japan	NA	NA	HPIV2
