strain	virus	accession	date	region	country	division	city	db	segment	authors	url	title	journal	paper_url
DENV_1/China/YN/YNH22_2013_	dengue	KY672944	2013-10-08	China	China	China	China	genbank	genome	Hu et al	https://www.ncbi.nlm.nih.gov/nuccore/KY672944	Molecular characteristics of the full-length genome of dengue serotype 1 virus strains isolated from dengue fever cases in Sino-Myanmar border region in Yunnan province, China	Unpublished	?
SGEHI_D1_18736Y13	dengue	KM403607	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403607	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
DS06_210505	dengue	EU179860	2005-XX-XX	Southeast Asia	Brunei	Brunei	Brunei	genbank	genome	Osman et al	https://www.ncbi.nlm.nih.gov/nuccore/EU179860	Genetic characterization of dengue virus type 1 isolated in Brunei in 2005-2006	J. Gen. Virol. 90 (PT 3), 678-686 (2009)	https://www.ncbi.nlm.nih.gov/pubmed/19218214
SGEHI_D1_19711Y13	dengue	KM403581	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403581	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
Wenzhou_1	dengue	KR024708	2014-XX-XX	China	China	China	China	genbank	genome	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/KR024708	Reemergence and Autochthonous Transmission of Dengue Virus, Eastern China, 2014	Emerging Infect. Dis. 21 (9), 1670-1673 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/26292098
V49862	dengue	MF033205	2012-12-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033205	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
GZ/13986/D1/2015	dengue	KT827378	2015-XX-XX	China	China	China	China	genbank	genome	?	?	?	?	?
TM301	dengue	KX452066	2014-01-XX	Southeast Asia	Malaysia	Malaysia	Malaysia	genbank	genome	?	?	?	?	?
SGEHI_D1_40115Y13	dengue	KM403635	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403635	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
SGEHI_D1_19725Y13	dengue	KM403608	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403608	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
SGEHI_D1_05722Y13	dengue	KM403584	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403584	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
SG_EHI_D1/09106Y11	dengue	JN544409	2011-03-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Lo et al	https://www.ncbi.nlm.nih.gov/nuccore/JN544409	Envelope gene sequences of Dengue viruses in Singapore	Unpublished	?
SGEHI_D1_40160Y13	dengue	KM403621	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403621	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
T28_S69	dengue	MH822959	2012-XX-XX	South Asia	India	India	India	genbank	genome	Kar et al	https://www.ncbi.nlm.nih.gov/nuccore/MH822959	Isolation and molecular characterization of Dengue virus clinical isolates from pediatric patients in New Delhi	Int. J. Infect. Dis. (2018) In press	https://www.ncbi.nlm.nih.gov/pubmed/30528666
SGEHI_D1_09119Y13	dengue	KM403587	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403587	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
RGCB592	dengue	JN903581	2009-04-06	South Asia	India	India	India	genbank	genome	Anoop et al	https://www.ncbi.nlm.nih.gov/nuccore/JN903581	Complete genome sequencing and evolutionary analysis of dengue virus serotype 1 isolates from an outbreak in Kerala, South India	Virus Genes 45 (1), 1-13 (2012)	https://www.ncbi.nlm.nih.gov/pubmed/22729802
DENV1/CN/GZDF876/2014	dengue	KT187561	2014-XX-XX	China	China	China	China	genbank	genome	Zhan et al	https://www.ncbi.nlm.nih.gov/nuccore/KT187561	Direct Submission	Submitted (17-JUN-2015) Department of Microbiology, Zhongshan School of Medicine, Sun Yat-Sen University, Key Laboratory of Tropical Disease Control, Ministry of Education, W1334, Science & Technology Building, 74 Zhongshan Road Ii, Guangzhou, Guangdong 510080, China	?
V22125	dengue	MF033237	2015-06-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033237	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
V6038	dengue	MF033229	2015-02-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033229	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
V31460	dengue	MF033256	2016-08-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033256	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
SGEHI_D1_44259Y12	dengue	KM403575	2012-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403575	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
V31808	dengue	MF033255	2016-08-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033255	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
SGEHI_D1_10152Y13	dengue	KM403592	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403592	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
SGEHI_D1_23018Y13	dengue	KM403619	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KM403619	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	https://www.ncbi.nlm.nih.gov/pubmed/26940650
SG_EHI_D1/18640Y12	dengue	MG097875	2012-05-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MG097875	Transmission success of dengue virus is highly selective despite repeated introduction of different viral strains with similar evolutionary rate	Unpublished	?
GZ8_44/S/Tianhe/2014/DEV1	dengue	KX459389	2014-XX-XX	China	China	China	China	genbank	genome	Zhao et al	https://www.ncbi.nlm.nih.gov/nuccore/KX459389	Direct Submission	Submitted (29-JUN-2016) Institute of Infectious Disease, Guangzhou Eighth People's Hospital, 627 East Dongfeng Road, Guangzhou, Guangdong 231567, China	?
GZ8_2/S/Yuexiu/2014/DEV1	dengue	KX225483	2015-XX-XX	China	China	China	China	genbank	genome	Zhao et al	https://www.ncbi.nlm.nih.gov/nuccore/KX225483	Complete genome sequencing of dengue virus isolate in Guangzhou, China	Unpublished	?
TM242	dengue	KU666943	2014-02-XX	Southeast Asia	Malaysia	Malaysia	Malaysia	genbank	genome	?	?	?	?	?
SG_EHI_D1/50903Y13	dengue	KJ806950	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Ng et al	https://www.ncbi.nlm.nih.gov/nuccore/KJ806950	2013 Dengue Outbreaks in Singapore and Malaysia Caused by Different Viral Strains	Am. J. Trop. Med. Hyg. (2015) In press	https://www.ncbi.nlm.nih.gov/pubmed/25846296
SG_EHI_D1/0091Y09	dengue	JF960211	2009-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Lee et al	https://www.ncbi.nlm.nih.gov/nuccore/JF960211	Dengue virus surveillance in Singapore reveals high viral diversity through multiple introductions and in situ evolution	Infect. Genet. Evol. 12 (1), 77-85 (2012)	https://www.ncbi.nlm.nih.gov/pubmed/22036707
D1/SG/CT16/2012	dengue	KX380800	2012-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Sung et al	https://www.ncbi.nlm.nih.gov/nuccore/KX380800	Extended evaluation of virological, immunological and pharmacokinetic endpoints of CELADEN: a randomized, placebo-controlled trial of celgosivir in dengue fever patients	PLoS Negl Trop Dis (2016)	?
V5538	dengue	MF033213	2014-02-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033213	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
V3720	dengue	MF033243	2016-01-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033243	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
V30014	dengue	MF033242	2015-07-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033242	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
V50458	dengue	MF033212	2013-12-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033212	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
Wuhan_1	dengue	KR024705	2014-XX-XX	China	China	China	China	genbank	genome	Wang et al	https://www.ncbi.nlm.nih.gov/nuccore/KR024705	Reemergence and Autochthonous Transmission of Dengue Virus, Eastern China, 2014	Emerging Infect. Dis. 21 (9), 1670-1673 (2015)	https://www.ncbi.nlm.nih.gov/pubmed/26292098
SG_EHI_D1/15834Y11	dengue	JN544407	2011-04-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Lo et al	https://www.ncbi.nlm.nih.gov/nuccore/JN544407	Envelope gene sequences of Dengue viruses in Singapore	Unpublished	?
SGEHI_D1_50688Y13	dengue	KM403625	2013-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	?	?	?	?	?
V3329	dengue	MF033227	2015-01-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Koo et al	https://www.ncbi.nlm.nih.gov/nuccore/MF033227	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	?
DV1E/China/GDgz/14243/2014	dengue	MH271406	2014-XX-XX	China	China	China	China	genbank	genome	Zou et al	https://www.ncbi.nlm.nih.gov/nuccore/MH271406	Virulence difference of five type I dengue viruses and the intrinsic molecular mechanism	PLoS Negl Trop Dis 13 (3), e0007202 (2019)	https://www.ncbi.nlm.nih.gov/pubmed/30830907
DENV1/CN/GZDF780/2014	dengue	KT187559	2014-XX-XX	China	China	China	China	genbank	genome	Li et al	https://www.ncbi.nlm.nih.gov/nuccore/KT187559	Direct Submission	Submitted (17-JUN-2015) Department of Microbiology, Zhongshan School of Medicine, Sun Yat-Sen University, Key Laboratory of Tropical Disease Control, Ministry of Education, W1334, Science & Technology Building, 74 Zhongshan Road Ii, Guangzhou, Guangdong 510080, China	?
GZ_4/M/GZ/2014/DEV1	dengue	KX621249	2014-XX-XX	China	China	China	China	genbank	genome	?	?	?	?	?
GZ/33206/D1/2014	dengue	KT827377	2014-XX-XX	China	China	China	China	genbank	genome	Bai et al	https://www.ncbi.nlm.nih.gov/nuccore/KT827377	Direct Submission	Submitted (25-SEP-2015) Department of Virology & Immunology, Guangzhou Center for Diseases Control and Prevention, 1 Qide Road, Baiyun District, Guangzhou, Guangdong 510440, China	?
DV1D/China/GDfs/14264/2014	dengue	MH271405	2014-XX-XX	China	China	China	China	genbank	genome	Zou et al	https://www.ncbi.nlm.nih.gov/nuccore/MH271405	Virulence difference of five type I dengue viruses and the intrinsic molecular mechanism	PLoS Negl Trop Dis 13 (3), e0007202 (2019)	https://www.ncbi.nlm.nih.gov/pubmed/30830907
D1/SG/CT17/2012	dengue	KX380801	2012-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Sung et al	https://www.ncbi.nlm.nih.gov/nuccore/KX380801	Extended evaluation of virological, immunological and pharmacokinetic endpoints of CELADEN: a randomized, placebo-controlled trial of celgosivir in dengue fever patients	PLoS Negl Trop Dis (2016)	?
V3083	dengue	KX618706	2014-XX-XX	South Asia	India	India	India	genbank	genome	?	?	?	?	?
SG_EHI_D1/03329Y15	dengue	KY921903	2015-01-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	Hapuarachchi et al	https://www.ncbi.nlm.nih.gov/nuccore/KY921903	Dengue virus diversity in Singapore	Unpublished	?
D1/SG/CT1/2012	dengue	KX380796	2012-XX-XX	Southeast Asia	Singapore	Singapore	Singapore	genbank	genome	?	?	?	?	?
