Accession	Virus	Strain	Author	Publication_Title	Journal	Database
MK989723	Enterovirus D68	20692_25_EV-D68	Agoti, C., Phan, M., et al	Genomic analysis of respiratory syncytial virus infections in households and utility in inferring who infects the infant		Genbank
MK989726	Enterovirus D68	20692_88_EV-D68	Agoti, C., Phan, M., et al	Genomic analysis of respiratory syncytial virus infections in households and utility in inferring who infects the infant		Genbank
KY348862	Enterovirus D68	T202	Essaidi-Laziosi,M., Brito,F., Benaoudia,S., Royston,L., Cagno,V., Fernandes-Rocha,M., Piuz,I., Zdobnov,E., Huang,S., Constant,S., Boldi,M.O., Kaiser,L. and Tapparel,C.	Propagation of respiratory viruses in human airway epithelia reveals persistent virus-specific signatures		Genbank
MN240492	Enterovirus D68	USA/AL/2007-23110	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
MN240494	Enterovirus D68	USA/AK/2008-23112	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
KM892500	Enterovirus D68	CA/RESP/10-786	Chiu,C.Y., Yu,G., Naccache,S.N., Clayton,A., Yagi,S. and Glaser,C.	Whole-genome deep sequencing of enterovirus D68 strains in cases of acute flaccid paralysis in California		Genbank
MN240515	Enterovirus D68	USA/MD/2009-23242	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
KP455260	Enterovirus D68	CAN07-137	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
MN240512	Enterovirus D68	USA/KS/2007-23239	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
KT231899	Enterovirus D68	4310901348_RD2	Baggen,J., Thibaut,H.J., Staring,J., Jae,L.T., Liu,Y., Guo,H., Slager,J.J., de Bruin,J.W., van Vliet,A.L., Blomen,V.A., Overduin,P., Sheng,J., de Haan Xander,C.A., de Vries,E., Meijer,A., Rossmann,M.G., Brummelkamp,T.R. and van Kuppeveld,F.J.	Enterovirus D68 receptor requirements unveiled by haploid genetics		Genbank
JX101846	Enterovirus D68	NYC403	Tokarz,R., Firth,C., Madhi,S.A., Howie,S.R., Wu,W., Sall,A.A., Haq,S., Briese,T. and Lipkin,W.I.	Worldwide emergence of multiple clades of enterovirus 68		Genbank
MN240516	Enterovirus D68	USA/MD/2009-23243	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
KP455253	Enterovirus D68	CAN09-74	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
KP455251	Enterovirus D68	CAN09-140	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
KP455252	Enterovirus D68	CAN10-37	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
KP455254	Enterovirus D68	CAN09-79	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
KP455255	Enterovirus D68	CAN10-65	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
KX261824	Enterovirus D68	EV-D68/Homosapiens/USA/MO94/2009	Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.	Direct Submission		Genbank
MN240505	Enterovirus D68	USA/MD/2009-23229	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
KX255409	Enterovirus D68	EV-D68/Homosapiens/USA/U2752/2009	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX261804	Enterovirus D68	EV-D68/Homosapiens/USA/MO67/2009	Das,S.R., Halpin,R.A., Lin,X., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Katzel,D., Schobel,S., Shrivastava,S. and Selvarangan,R.	Direct Submission		Genbank
MN240495	Enterovirus D68	USA/MD/2009-23114	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
MN240518	Enterovirus D68	USA/WI/2009-23247	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
KX255355	Enterovirus D68	EV-D68/Homosapiens/USA/U2737/2009	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
JX070222	Enterovirus D68	NZ-2010-541	Todd,A.K., Hall,R.J., Wang,J., Peacey,M., McTavish,S., Rand,C.J., Stanton,J.A., Taylor,S. and Huang,Q.S.	Detection and whole genome sequence analysis of an enterovirus 68 cluster		Genbank
KX255374	Enterovirus D68	EV-D68/Homosapiens/USA/U2704/2009	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX255360	Enterovirus D68	EV-D68/Homosapiens/USA/U2705/2009	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
MN240506	Enterovirus D68	USA/WI/2009-23230	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
MN240519	Enterovirus D68	USA/WI/2009-23248	Ng,T.F.F., Chern,S.-W.W., Reynolds,E., Castro,C.J. and Nix,W.A.	Whole genomes and evolutionary history of Enterovirus D68 (EV-D68)		Genbank
KP455256	Enterovirus D68	CAN10-264	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
KP455257	Enterovirus D68	CAN10-248	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
KT231905	Enterovirus D68	4311000670_tMK3RD1	Baggen,J., Thibaut,H.J., Staring,J., Jae,L.T., Liu,Y., Guo,H., Slager,J.J., de Bruin,J.W., van Vliet,A.L., Blomen,V.A., Overduin,P., Sheng,J., de Haan Xander,C.A., de Vries,E., Meijer,A., Rossmann,M.G., Brummelkamp,T.R. and van Kuppeveld,F.J.	Enterovirus D68 receptor requirements unveiled by haploid genetics		Genbank
KT231907	Enterovirus D68	4311000742_tMK3RD1	Baggen,J., Thibaut,H.J., Staring,J., Jae,L.T., Liu,Y., Guo,H., Slager,J.J., de Bruin,J.W., van Vliet,A.L., Blomen,V.A., Overduin,P., Sheng,J., de Haan Xander,C.A., de Vries,E., Meijer,A., Rossmann,M.G., Brummelkamp,T.R. and van Kuppeveld,F.J.	Enterovirus D68 receptor requirements unveiled by haploid genetics		Genbank
KX789259	Enterovirus D68	TTa-11-Ph224	Chaimongkol,N., Okamoto,M., Furuse,Y., Nishimura,H. and Oshitani,H.	Evolution and Genetic variability of human enterovirus D68: population dynamic in Asia		Genbank
LC629437	Enterovirus D68	TTa-11-Ph272	Okamoto,M., Sakamoto,M., Dapat,C., Saito,M., Saito-Obata,M., Tamaki,R., Lupisan,S.P., Quiambao,B.P. and Oshitani,H.	Complete Genome Sequences of Enterovirus D68 in the Philippines		Genbank
KX255376	Enterovirus D68	EV-D68/Homosapiens/USA/C7245/2011	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KP455259	Enterovirus D68	CAN12-106	McDermid,A.K., Grudeski,E., Wilcox,M., Mandes,R. and Booth,T.F.	Genetic Analysis of Enterovirus D68 strains from a North American outbreak		Genbank
KX255380	Enterovirus D68	EV-D68/Homosapiens/USA/O527a/2012	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX255404	Enterovirus D68	EV-D68/Homosapiens/USA/O685a/2012	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX255358	Enterovirus D68	EV-D68/Homosapiens/USA/O1312a/2012	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX255369	Enterovirus D68	EV-D68/Homosapiens/USA/O541a/2012	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX255392	Enterovirus D68	EV-D68/Homosapiens/USA/C7396/2012	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX255359	Enterovirus D68	EV-D68/Homosapiens/USA/O979a/2012	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX255396	Enterovirus D68	EV-D68/Homosapiens/USA/O980a/2012	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX255381	Enterovirus D68	EV-D68/Homosapiens/USA/O433a/2012	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX255361	Enterovirus D68	EV-D68/Homosapiens/USA/O1261a/2012	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX255386	Enterovirus D68	EV-D68/Homosapiens/USA/O593a/2012	Das,S.R., Halpin,R.A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KX433162	Enterovirus D68	EV-D68/Homosapiens/USA/C7429/2012	Das,S.R., Fedorova,N., Puri,V., Stockwell,T., Shrivastava,S., Amedeo,P., Shabman,R., Jackson,D.J. and Gern,J.E.	Direct Submission		Genbank
KT347280	Enterovirus D68	EVD68/Homosapiens/USA/N0051U5/2012	Das,S.R., Halpin,R.A., Lin,X., Simenauer,A., Akopov,A., Fedorova,N., Puri,V., Stockwell,T., Amedeo,P., Bishop,B., Katzel,D., Schobel,S., Shrivastava,S., Chappell,J. and Hartert,T.	Direct Submission		Genbank
LC068709	Enterovirus D68	705-OsakaCity-JPN-2013	Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	Reemergence of enterovirus D68 in 2013, Osaka City, Japan		Genbank
LC068708	Enterovirus D68	692-OsakaCity-JPN-2013	Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	Reemergence of enterovirus D68 in 2013, Osaka City, Japan		Genbank
LC068710	Enterovirus D68	726-OsakaCity-JPN-2013	Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	Reemergence of enterovirus D68 in 2013, Osaka City, Japan		Genbank
LC068711	Enterovirus D68	727-OsakaCity-JPN-2013	Kaida,A., Yamamoto,S.P., Iritani,N., Togawa,M., Amo,K., Kohdera,U., Nishigaki,T., Kageyama,T. and Kubo,H.	Reemergence of enterovirus D68 in 2013, Osaka City, Japan		Genbank
KU242683	Enterovirus D68	BJ24	Wang,Y., Zhao,Y., Lu,R., Li,Y. and Tan,W.	Direct Submission		Genbank
MF045421	Enterovirus D68	EVD68/Homosapiens/VNM/VN9/2010	Nguyen,N.N.	Direct Submission		Genbank
KF726085	Enterovirus D68	BCH895A	Xiang,Z., Li,L., Lei,X., Zhou,H., Zhou,Z., He,B. and Wang,J.	Enterovirus 68 3C Protease Cleaves TRIF To Attenuate Antiviral Responses Mediated by Toll-Like Receptor 3		Genbank
LC629436	Enterovirus D68	TTa-08-Ph561	Okamoto,M., Sakamoto,M., Dapat,C., Saito,M., Saito-Obata,M., Tamaki,R., Lupisan,S.P., Quiambao,B.P. and Oshitani,H.	Complete Genome Sequences of Enterovirus D68 in the Philippines		Genbank
MK105978	Enterovirus D68	14ISO0020050	Bal, A. et al.	Emergence of enterovirus D68 clade D1, France, August to November 2018		Genbank
LC629438	Enterovirus D68	TOp-12-Ph146	Okamoto,M., Sakamoto,M., Dapat,C., Saito,M., Saito-Obata,M., Tamaki,R., Lupisan,S.P., Quiambao,B.P. and Oshitani,H.	Complete Genome Sequences of Enterovirus D68 in the Philippines		Genbank
MT791934	Enterovirus D68	CF125132-FRA-2016	Duval,M., Bailly,J.-L. and Mirand,A.	Clinical and molecular epidemiology of Enterovirus D68 infections, Clermont-Ferrand, France, 2014-2018		Genbank
MK105979	Enterovirus D68	14ISO0120062	Bal, A. et al.	Emergence of enterovirus D68 clade D1, France, August to November 2018		Genbank
MK105976	Enterovirus D68	14ISO0043	Bal, A. et al.	Emergence of enterovirus D68 clade D1, France, August to November 2018		Genbank
MK105977	Enterovirus D68	14ISO18022	Bal, A. et al.	Emergence of enterovirus D68 clade D1, France, August to November 2018		Genbank
KM851231	Enterovirus D68	US/KY/14-18953	Brown,B.A., Nix,W.A., Sheth,M., Frace,M. and Oberste,M.S.	Seven Strains of Enterovirus D68 Detected in the United States during the 2014 Severe Respiratory Disease Outbreak		Genbank
LC629439	Enterovirus D68	TEv-13-Ph137	Okamoto,M., Sakamoto,M., Dapat,C., Saito,M., Saito-Obata,M., Tamaki,R., Lupisan,S.P., Quiambao,B.P. and Oshitani,H.	Complete Genome Sequences of Enterovirus D68 in the Philippines		Genbank
LC629441	Enterovirus D68	TBp-13-Ph209	Okamoto,M., Sakamoto,M., Dapat,C., Saito,M., Saito-Obata,M., Tamaki,R., Lupisan,S.P., Quiambao,B.P. and Oshitani,H.	Complete Genome Sequences of Enterovirus D68 in the Philippines		Genbank
LC629440	Enterovirus D68	TEv-13-Ph173	Okamoto,M., Sakamoto,M., Dapat,C., Saito,M., Saito-Obata,M., Tamaki,R., Lupisan,S.P., Quiambao,B.P. and Oshitani,H.	Complete Genome Sequences of Enterovirus D68 in the Philippines		Genbank
KT803588	Enterovirus D68	CHN/CQ5508/2013	Xiao,Q., Ren,L., Zheng,S., Wang,L., Xie,X., Deng,Y., Zhao,Y., Zhao,X., Luo,Z., Fu,Z., Huang,A. and Liu,E.	Prevalence and molecular characterizations of enterovirus D68 among children with acute respiratory infection in China between 2012 and 2014		Genbank
MK105982	Enterovirus D68	2123800027	Bal, A. et al.	Emergence of enterovirus D68 clade D1, France, August to November 2018		Genbank
KT306743	Enterovirus D68	2011-21286	Zhang,T.	Enterovirus D68 isolated from Beijing 2011-2014		Genbank
KT285319	Enterovirus D68	2012-12225	Zhang,T.	Enterovirus D68 isolated from Beijing 2011-2014		Genbank
KY767821	Enterovirus D68	V13-2245157	Yip,C.C.Y., Lo,J.Y.C., Sridhar,S., Lung,D.C., Luk,S., Chan,K.H., Chan,J.F.W., Cheng,V.C.C., Woo,P.C.Y., Yuen,K.Y. and Lau,S.K.P.	First Report of a Fatal Case Associated with EV-D68 Infection in Hong Kong and Emergence of an Interclade Recombinant in China Revealed by Genome Analysis		Genbank
KT280501	Enterovirus D68	2013-1017-26	Zhang,T.	Enterovirus D68 isolated from Beijing 2011-2014		Genbank
KT280502	Enterovirus D68	2013-0825-6	Zhang,T.	Enterovirus D68 isolated from Beijing 2011-2014		Genbank
KT764078	Enterovirus D68	CQ5313	Lu,Q.-B. and Liu,W.	Complete genome of enterovirus D68 in a children with pneumonia		Genbank
MW567161	Enterovirus D68	S0408QHG	Shi,M., Zhao,S., Yu,B., Wu,W.-C., Hu,Y., Tian,J.-H., Yin,W., Ni,F., Hu,H.-L., Geng,S., Tan,L., Peng,Y., Wu,F., Song,Z.-G., Chen,Y.-M., Wang,W., Holmes,E.C. and Zhang,Y.-Z.	Characterization of Total Respiratory Infectomes in pre-COVID-19 Wuhan, China		Genbank
MN726801	Enterovirus D68	NL_06_2019	Midgley et al.	Co-circulation of multiple enterovirus D68 subclades, including a novel B3 cluster, across Europe in a season of expected low prevalence, 2019/20		Genbank
MK105986	Enterovirus D68	VRES189550	Bal, A. et al.	Emergence of enterovirus D68 clade D1, France, August to November 2018		Genbank
MW697455	Enterovirus D68	SHFD6992	Shen,J., Tan,W.J. and Ru,R.J.	Direct Submission		Genbank
MW567157	Enterovirus D68	S0003LXT	Shi,M., Zhao,S., Yu,B., Wu,W.-C., Hu,Y., Tian,J.-H., Yin,W., Ni,F., Hu,H.-L., Geng,S., Tan,L., Peng,Y., Wu,F., Song,Z.-G., Chen,Y.-M., Wang,W., Holmes,E.C. and Zhang,Y.-Z.	Characterization of Total Respiratory Infectomes in pre-COVID-19 Wuhan, China		Genbank
MW567162	Enterovirus D68	S0368RJC	Shi,M., Zhao,S., Yu,B., Wu,W.-C., Hu,Y., Tian,J.-H., Yin,W., Ni,F., Hu,H.-L., Geng,S., Tan,L., Peng,Y., Wu,F., Song,Z.-G., Chen,Y.-M., Wang,W., Holmes,E.C. and Zhang,Y.-Z.	Characterization of Total Respiratory Infectomes in pre-COVID-19 Wuhan, China		Genbank
MW567158	Enterovirus D68	S0045ZHW	Shi,M., Zhao,S., Yu,B., Wu,W.-C., Hu,Y., Tian,J.-H., Yin,W., Ni,F., Hu,H.-L., Geng,S., Tan,L., Peng,Y., Wu,F., Song,Z.-G., Chen,Y.-M., Wang,W., Holmes,E.C. and Zhang,Y.-Z.	Characterization of Total Respiratory Infectomes in pre-COVID-19 Wuhan, China		Genbank
MW567160	Enterovirus D68	S0092GHZ	Shi,M., Zhao,S., Yu,B., Wu,W.-C., Hu,Y., Tian,J.-H., Yin,W., Ni,F., Hu,H.-L., Geng,S., Tan,L., Peng,Y., Wu,F., Song,Z.-G., Chen,Y.-M., Wang,W., Holmes,E.C. and Zhang,Y.-Z.	Characterization of Total Respiratory Infectomes in pre-COVID-19 Wuhan, China		Genbank
MW567159	Enterovirus D68	S0127XFS	Shi,M., Zhao,S., Yu,B., Wu,W.-C., Hu,Y., Tian,J.-H., Yin,W., Ni,F., Hu,H.-L., Geng,S., Tan,L., Peng,Y., Wu,F., Song,Z.-G., Chen,Y.-M., Wang,W., Holmes,E.C. and Zhang,Y.-Z.	Characterization of Total Respiratory Infectomes in pre-COVID-19 Wuhan, China		Genbank
MH341726	Enterovirus D68	2016-R4150	Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.	Upsurge of Enterovirus D68 and Circulation of the New Subclade D3 and Subclade B3 in Beijing, China, 2016		Genbank
MH341727	Enterovirus D68	2016-R4523	Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.	Upsurge of Enterovirus D68 and Circulation of the New Subclade D3 and Subclade B3 in Beijing, China, 2016		Genbank
MH341729	Enterovirus D68	2016-R4607	Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.	Upsurge of Enterovirus D68 and Circulation of the New Subclade D3 and Subclade B3 in Beijing, China, 2016		Genbank
MH341728	Enterovirus D68	2016-R4559	Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.	Upsurge of Enterovirus D68 and Circulation of the New Subclade D3 and Subclade B3 in Beijing, China, 2016		Genbank
MH341733	Enterovirus D68	2016-R6143	Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.	Upsurge of Enterovirus D68 and Circulation of the New Subclade D3 and Subclade B3 in Beijing, China, 2016		Genbank
MH341734	Enterovirus D68	2017-R1150	Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.	Upsurge of Enterovirus D68 and Circulation of the New Subclade D3 and Subclade B3 in Beijing, China, 2016		Genbank
MH341730	Enterovirus D68	2016-R5080	Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.	Upsurge of Enterovirus D68 and Circulation of the New Subclade D3 and Subclade B3 in Beijing, China, 2016		Genbank
MH341731	Enterovirus D68	2016-R5147	Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.	Upsurge of Enterovirus D68 and Circulation of the New Subclade D3 and Subclade B3 in Beijing, China, 2016		Genbank
MH341732	Enterovirus D68	2016-R6058	Shen,L., Gong,C., Xiang,Z., Zhang,T., Li,M., Li,A., Luo,M. and Huang,F.	Upsurge of Enterovirus D68 and Circulation of the New Subclade D3 and Subclade B3 in Beijing, China, 2016		Genbank
MK105987	Enterovirus D68	VRES189560	Bal, A. et al.	Emergence of enterovirus D68 clade D1, France, August to November 2018		Genbank
MK105989	Enterovirus D68	VRES189781	Bal, A. et al.	Emergence of enterovirus D68 clade D1, France, August to November 2018		Genbank
MN245406	Enterovirus D68	EVD68_CHE_001_180829_NFLG	Hodcroft, E. B. et al.	Evolution, geographic spreading, and demographic distribution of Enterovirus D68		Genbank
