strain	strain_name	segment	date	host	country	subtype	virus_species	hpiv_subtype
KJ638487	PHP8010	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638501	PHP5187	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
JQ905101	FLI2411	NA	2010-06-XX	Human	Argentina	NA	Human_parainfluenza_virus_4	HPIV4
KJ638499	PHP10282	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608680	12	NA	2004-08-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KF878965	4a_variant	NA	2008-04-02	Human	Australia	NA	Human_parainfluenza_virus_4	HPIV4
KJ638493	PHP6952	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638497	PHP6717	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
JQ905100	FLI3410	NA	2010-09-XX	Human	Peru	NA	Human_parainfluenza_virus_4	HPIV4
KJ187028	cb27	NA	2013-07-19	Human	Thailand	NA	Human_parainfluenza_virus_4	HPIV4
KJ638502	PHP6662	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608671	3	NA	2004-04-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608699	31	NA	2005-02-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608691	23	NA	2004-11-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KJ638519	PHP5412	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608698	30	NA	2005-02-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608685	17	NA	2004-11-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
EU627591	SKPIV4	NA	2004-XX-XX	Unknown	Canada	NA	Human_parainfluenza_virus_4	HPIV4
KJ187017	CU398	NA	2012-08-16	Human	Thailand	NA	Human_parainfluenza_virus_4	HPIV4
KJ638492	PHP5244	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608683	15	NA	2004-09-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KJ638514	PHP5987	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ187018	CU409	NA	2012-08-16	Human	Thailand	NA	Human_parainfluenza_virus_4	HPIV4
FJ608684	16	NA	2004-11-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KJ638498	PHP5650	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
JQ406189	QPID08_0013	NA	2008-05-07	Human	Australia	4A	Human_parainfluenza_virus_4	HPIV4
JQ905102	FLI3260	NA	2010-08-XX	Human	Peru	NA	Human_parainfluenza_virus_4	HPIV4
KJ638516	PHP5834	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ187031	cb83	NA	2013-08-12	Human	Thailand	NA	Human_parainfluenza_virus_4	HPIV4
KJ638500	PHP5584	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608681	13	NA	2004-08-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608678	10	NA	2004-07-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608675	7	NA	2004-07-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KJ638489	PHP7852	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638485	PHP9984	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KF908238	QLD_01	NA	2008-08-XX	Human	Australia	NA	Human_parainfluenza_virus_4	HPIV4
FJ608673	5	NA	2004-05-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608702	34	NA	2005-03-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608696	28	NA	2005-01-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608674	6	NA	2004-07-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
JQ406191	QPID08_0006	NA	2006-09-08	Human	Australia	4B	Human_parainfluenza_virus_4	HPIV4
JQ406187	QPID08_0007	NA	2006-09-21	Human	Australia	4A	Human_parainfluenza_virus_4	HPIV4
KJ638508	PHP6000	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638515	PHP5970	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
JQ406185	QPID08_0003	NA	2007-12-07	Human	Australia	4A	Human_parainfluenza_virus_4	HPIV4
KJ638525	PHP4844	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638491	PHP7002	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638496	PHP5621	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608688	20	NA	2004-11-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KJ187019	CU422	NA	2012-08-27	Human	Thailand	NA	Human_parainfluenza_virus_4	HPIV4
KJ638494	PHP5289	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608669	1	NA	2004-04-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608690	22	NA	2004-11-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608676	8	NA	2004-07-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KJ638518	PHP5515	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608682	14	NA	2004-08-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
FJ608701	33	NA	2005-03-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
JQ406186	QPID08_0004	NA	2007-02-10	Human	Australia	4A	Human_parainfluenza_virus_4	HPIV4
JQ241176	04_13	NA	2004-XX-XX	Human	NA	NA	Human_parainfluenza_virus_4	HPIV4
KJ187024	CU489	NA	2012-10-25	Human	Thailand	NA	Human_parainfluenza_virus_4	HPIV4
KJ638524	PHP6818	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
KJ638523	PHP5242	NA	2011-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608687	19	NA	2004-11-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
JN651406	QPID08_0002	NA	2008-XX-XX	Human	Australia	NA	Human_parainfluenza_virus_4	HPIV4
KJ187030	cb62_1	NA	2013-08-12	Human	Thailand	NA	Human_parainfluenza_virus_4	HPIV4
KJ638520	PHP6714	NA	2012-XX-XX	Human	USA	NA	Human_parainfluenza_virus_4	HPIV4
FJ608672	4	NA	2004-05-XX	Human	China	NA	Human_parainfluenza_virus_4	HPIV4
KY986647	HPIV4b/Seattle/USA/SC3019/2015-XX-XX	NA	2015-XX-XX	Human	USA	NA	NA	HPIV4
LC486661	HPIV4s/SaitamaC.JPN/15_512	NA	2015-XX-XX	Human	Japan	NA	NA	HPIV4
MT118679	2019-XX-XX_0088	NA	2019-XX-XX	Human	USA	NA	NA	HPIV4
MZ576417	NUH_PF4_18/Nottingham/2016	NA	2016-01-11	Human	United_Kingdom	NA	NA	HPIV4
MZ576418	NUH_PF4_19/Nottingham/2016	NA	2016-02-11	Human	United_Kingdom	NA	NA	HPIV4
MT681675	Henan/292/2018	NA	2018-08-11	Unknown	China	NA	NA	HPIV4
LC706555	PIV4b_Fukushima_OR473_2022-XX-XX	NA	2022-XX-XX	Human	Japan	NA	NA	HPIV4
MH828709	vzhpiv42	NA	2015-06-03	Human	Viet_Nam	NA	NA	HPIV4
MN306027	HPIV4a/Seattle/USA/SC0377/2019-XX-XX	NA	2019-XX-XX	Human	USA	NA	NA	HPIV4
LC486660	HPIV4s/SaitamaC.JPN/14_631	NA	2014-XX-XX	Human	Japan	NA	NA	HPIV4
LC486656	HPIV4s/SaitamaC.JPN/13_302	NA	2013-XX-XX	Human	Japan	NA	NA	HPIV4
MZ576406	NUH_PF4_6/Nottingham/2014	NA	2014-12-02	Human	United_Kingdom	NA	NA	HPIV4
MZ576407	NUH_PF4_7/Nottingham/2014	NA	2014-12-02	Human	United_Kingdom	NA	NA	HPIV4
MW645222	GER/5207/14_15	NA	2015-07-06	Human	Germany	NA	NA	HPIV4
MW645224	GER/0147/15_16	NA	2015-10-16	Human	Germany	NA	NA	HPIV4
MW645225	GER/0348/15_16	NA	2015-11-05	Human	Germany	NA	NA	HPIV4
MN306033	HPIV4a/Seattle/USA/SC0620/2019-XX-XX	NA	2019-XX-XX	Human	USA	NA	NA	HPIV4
MT681670	Henan/029/2018	NA	2018-01-11	Unknown	China	NA	NA	HPIV4
MT681674	Henan/268/2018	NA	2018-06-30	Unknown	China	NA	NA	HPIV4
LC720882	PIV4b_Fukushima_O876_2018	NA	2019-XX-XX	Human	Japan	NA	NA	HPIV4
LC486663	HPIV4s/SaitamaC.JPN/15_754	NA	2015-XX-XX	Human	Japan	NA	NA	HPIV4
MT118684	2019-XX-XX_0532	NA	2019-XX-XX	Human	USA	NA	NA	HPIV4
MZ576402	NUH_PF4_1/Nottingham/2014	NA	2014-11-21	Human	United_Kingdom	NA	NA	HPIV4
LC706548	PIV4a_Fukushima_O113_2018-XX-XX	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV4
LC706557	PIV4b_Fukushima_OR487_2022-XX-XX	NA	2022-XX-XX	Human	Japan	NA	NA	HPIV4
LC486671	HPIV4s/SaitamaC.JPN/18_705	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV4
LC486667	HPIV4s/SaitamaC.JPN/17_469	NA	2017-XX-XX	Human	Japan	NA	NA	HPIV4
MW645223	GER/2104/14_15	NA	2015-01-26	Human	Germany	NA	NA	HPIV4
LC706552	PIV4a_Fukushima_H407_2018-XX-XX	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV4
MW645221	GER/3711/13_14	NA	2014-06-02	Human	Germany	NA	NA	HPIV4
LC706551	PIV4a_Fukushima_O755_2019-XX-XX	NA	2019-XX-XX	Human	Japan	NA	NA	HPIV4
MW052038	2018-XX-XX_0042	NA	2018-XX-XX	Human	USA	NA	NA	HPIV4
LC486673	HPIV4s/SaitamaC.JPN/18_899	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV4
LC486662	HPIV4s/SaitamaC.JPN/15_521	NA	2015-XX-XX	Human	Japan	NA	NA	HPIV4
MZ576423	NUH_PF4_24/Nottingham/2016	NA	2016-11-02	Human	United_Kingdom	NA	NA	HPIV4
LC486670	HPIV4s/SaitamaC.JPN/18_226	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV4
MZ576405	NUH_PF4_5/Nottingham/2014	NA	2014-11-29	Human	United_Kingdom	NA	NA	HPIV4
MZ576428	NUH_PF4_31/Nottingham/2016	NA	2016-12-29	Human	United_Kingdom	NA	NA	HPIV4
LC486668	HPIV4s/SaitamaC.JPN/17_618	NA	2017-XX-XX	Human	Japan	NA	NA	HPIV4
MZ576409	NUH_PF4_9/Nottingham/2014	NA	2014-12-17	Human	United_Kingdom	NA	NA	HPIV4
LC706549	PIV4a_Fukushima_O521_2019-XX-XX	NA	2019-XX-XX	Human	Japan	NA	NA	HPIV4
MZ576420	NUH_PF4_21/Nottingham/2016	NA	2016-10-09	Human	United_Kingdom	NA	NA	HPIV4
MZ576408	NUH_PF4_8/Nottingham/2014	NA	2014-12-16	Human	United_Kingdom	NA	NA	HPIV4
LC486672	HPIV4s/SaitamaC.JPN/18_876	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV4
MZ576410	NUH_PF4_10/Nottingham/2014	NA	2014-12-22	Human	United_Kingdom	NA	NA	HPIV4
MT681677	Henan/269/2018	NA	2018-07-03	Unknown	China	NA	NA	HPIV4
LC486666	HPIV4s/SaitamaC.JPN/17_468	NA	2017-XX-XX	Human	Japan	NA	NA	HPIV4
LC486659	HPIV4s/SaitamaC.JPN/14_489	NA	2014-XX-XX	Human	Japan	NA	NA	HPIV4
MZ576411	NUH_PF4_11/Nottingham/2014	NA	2014-12-22	Human	United_Kingdom	NA	NA	HPIV4
MZ576414	NUH_PF4_14/Nottingham/2015	NA	2015-01-01	Human	United_Kingdom	NA	NA	HPIV4
MZ576415	NUH_PF4_15/Nottingham/2015	NA	2015-01-02	Human	United_Kingdom	NA	NA	HPIV4
MZ576419	NUH_PF4_20/Nottingham/2016	NA	2016-09-27	Human	United_Kingdom	NA	NA	HPIV4
MW645226	GER/1192/17_18	NA	2017-12-12	Human	Germany	NA	NA	HPIV4
MZ576421	NUH_PF4_22/Nottingham/2016	NA	2016-10-18	Human	United_Kingdom	NA	NA	HPIV4
MT681673	Henan/265/2018	NA	2018-06-30	Unknown	China	NA	NA	HPIV4
MW645227	GER/5826/16_17	NA	2017-09-25	Human	Germany	NA	NA	HPIV4
LC706553	PIV4a_Fukushima_H725_2019-XX-XX	NA	2019-XX-XX	Human	Japan	NA	NA	HPIV4
LC486664	HPIV4s/SaitamaC.JPN/15_771	NA	2015-XX-XX	Human	Japan	NA	NA	HPIV4
MT118680	2019-XX-XX_0337	NA	2019-XX-XX	Human	USA	NA	NA	HPIV4
MT118682	2019-XX-XX_0407	NA	2019-XX-XX	Human	USA	NA	NA	HPIV4
MZ576403	NUH_PF4_2/Nottingham/2014	NA	2014-11-21	Human	United_Kingdom	NA	NA	HPIV4
MZ576424	NUH_PF4_27/Nottingham/2016	NA	2016-11-21	Human	United_Kingdom	NA	NA	HPIV4
MZ576427	NUH_PF4_30/Nottingham/2016	NA	2016-12-24	Human	United_Kingdom	NA	NA	HPIV4
MZ576429	NUH_PF4_32/Nottingham/2017	NA	2017-02-14	Human	United_Kingdom	NA	NA	HPIV4
LC706550	PIV4a_Fukushima_O660_2019-XX-XX	NA	2019-XX-XX	Human	Japan	NA	NA	HPIV4
MW052040	2018-XX-XX_9318	NA	2018-XX-XX	Human	USA	NA	NA	HPIV4
MT681671	Henan/247/2018	NA	2018-06-05	Unknown	China	NA	NA	HPIV4
MT681676	Henan/303/2018	NA	2018-09-15	Unknown	China	NA	NA	HPIV4
ON729324	SC3768	NA	2017-XX-XX	Human	USA	NA	NA	HPIV4
LC486669	HPIV4s/SaitamaC.JPN/17_677	NA	2017-XX-XX	Human	Japan	NA	NA	HPIV4
MZ576404	NUH_PF4_3/Nottingham/2014	NA	2014-11-23	Human	United_Kingdom	NA	NA	HPIV4
MN306032	HPIV4b/Seattle/USA/SC0496/2019-XX-XX	NA	2019-XX-XX	Human	USA	NA	NA	HPIV4
LC486674	HPIV4s/SaitamaC.JPN/18_958	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV4
MZ576412	NUH_PF4_12/Nottingham/2014	NA	2014-12-27	Human	United_Kingdom	NA	NA	HPIV4
MW645229	GER/3482/14_15	NA	2015-02-23	Human	Germany	NA	NA	HPIV4
MH828708	vzhpiv41	NA	2015-03-06	Human	Viet_Nam	NA	NA	HPIV4
MT118674	2018-XX-XX_9717	NA	2018-XX-XX	Human	USA	NA	NA	HPIV4
MZ576426	NUH_PF4_29/Nottingham/2016	NA	2016-12-02	Human	United_Kingdom	NA	NA	HPIV4
MT681672	Henan/251/2018	NA	2018-06-12	Unknown	China	NA	NA	HPIV4
MT681678	Henan/274/2018	NA	2018-07-05	Unknown	China	NA	NA	HPIV4
LC706556	PIV4b_Fukushima_OR476_2022-XX-XX	NA	2022-XX-XX	Human	Japan	NA	NA	HPIV4
LC486676	HPIV4s/SaitamaC.JPN/18_1014	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV4
LC486658	HPIV4s/SaitamaC.JPN/14_101	NA	2014-XX-XX	Human	Japan	NA	NA	HPIV4
MT118676	2018-XX-XX_9868	NA	2018-XX-XX	Human	USA	NA	NA	HPIV4
MZ576416	NUH_PF4_17/Nottingham/2015	NA	2015-09-15	Human	United_Kingdom	NA	NA	HPIV4
MZ576422	NUH_PF4_23/Nottingham/2016	NA	2016-11-03	Human	United_Kingdom	NA	NA	HPIV4
MZ576425	NUH_PF4_28/Nottingham/2016	NA	2016-11-24	Human	United_Kingdom	NA	NA	HPIV4
MZ576430	NUH_PF4_33/Nottingham/2017	NA	2017-02-23	Human	United_Kingdom	NA	NA	HPIV4
MW645220	GER/0087/15_16	NA	2015-10-12	Human	Germany	NA	NA	HPIV4
MW645228	GER/5848/16_17	NA	2017-09-25	Human	Germany	NA	NA	HPIV4
LC706554	PIV4b_Fukushima_O896_2019-XX-XX	NA	2019-XX-XX	Human	Japan	NA	NA	HPIV4
LC486665	HPIV4s/SaitamaC.JPN/15_811	NA	2015-XX-XX	Human	Japan	NA	NA	HPIV4
MZ576413	NUH_PF4_13/Nottingham/2014	NA	2014-12-29	Human	United_Kingdom	NA	NA	HPIV4
LC486675	HPIV4s/SaitamaC.JPN/18_1007	NA	2018-XX-XX	Human	Japan	NA	NA	HPIV4
ON729321	SC992	NA	2017-XX-XX	Human	USA	NA	NA	HPIV4
ON729323	SC1315	NA	2017-XX-XX	Human	USA	NA	NA	HPIV4
LC486657	HPIV4s/SaitamaC.JPN/13_415	NA	2013-XX-XX	Human	Japan	NA	NA	HPIV4
