virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,legible_rate_per_codon,legible_rate_per_gene,standard_gene,legible_gene_name
229e,,229e,S1,1.4210340397305468,0.8439145945532585,1.9624755424469749,"[0.8439145945532585, 1.9624755424469749]",545,0.7744635516531481,0.45993345403152586,1.0695491706336013,229E,Coronavirus,#76C7BE,RNA,Positive-sense RNA,True,Respiratory,Aminopeptidase N,Class I,1.42×10⁻³ muts per codon per year,0.77 muts per year,receptor_binding,S1 (Receptor-Binding)
nl63,,nl63,S1,0.10832089470097511,0.030639754483283668,0.3401949189631246,"[0.030639754483283668, 0.3401949189631246]",734,0.07950753671051573,0.02248957979073021,0.24970307051893345,NL63,Coronavirus,#BBE4D1,RNA,Positive-sense RNA,True,Respiratory,ACE2,Class I,0.11×10⁻³ muts per codon per year,0.08 muts per year,receptor_binding,S1 (Receptor-Binding)
dengue,denv1_V,dengue_denv1_V,E,0.0,0.0,0.0,"[0.0, 0.0]",495,0.0,0.0,0.0,Dengue 1-V,Flavivirus,#0db0d6,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,E (Receptor-Binding)
dengue,denv2_AA,dengue_denv2_AA,E,0.3365434924294212,0.02897896448003694,0.9332985721611615,"[0.02897896448003694, 0.9332985721611615]",495,0.16658902875256348,0.014344587417618284,0.4619827932197749,Dengue 2-AA,Flavivirus,#2cccf2,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.34×10⁻³ muts per codon per year,0.17 muts per year,receptor_binding,E (Receptor-Binding)
dengue,denv3_III,dengue_denv3_III,E,0.04864323869016478,0.0,0.15454889621814658,"[0.0, 0.15454889621814658]",493,0.023981116674251235,0.0,0.07619260583554627,Dengue 3-III,Flavivirus,#76def7,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.05×10⁻³ muts per codon per year,0.02 muts per year,receptor_binding,E (Receptor-Binding)
dengue,denv4_II,dengue_denv4_II,E,0.0854381164356964,0.0,0.1802522741957245,"[0.0, 0.1802522741957245]",495,0.04229186763566972,0.0,0.08922487572688363,Dengue 4-II,Flavivirus,#adebfa,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.09×10⁻³ muts per codon per year,0.04 muts per year,receptor_binding,E (Receptor-Binding)
rotavirusAg1p8,,rotavirusAg1p8,P,0.046128858959979833,0.0,0.1384687823552438,"[0.0, 0.1384687823552438]",777,0.035842123411904334,0.0,0.10759024389002442,Rotavirus A/P[8],Reovirus,#1a3da6,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,0.05×10⁻³ muts per codon per year,0.04 muts per year,receptor_binding,P (Receptor-Binding)
rotavirusAg1p4,,rotavirusAg1p4,P,0.0,0.0,0.0,"[0.0, 0.0]",777,0.0,0.0,0.0,Rotavirus A/P[4],Reovirus,#1f49c8,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,P (Receptor-Binding)
norovirus,,norovirus,VP1,1.7440432468784544,1.135071537342001,2.4124327464353064,"[1.135071537342001, 2.4124327464353064]",541,0.9435273965612438,0.6140737017020226,1.3051261158215006,Norovirus GII.4,Caliciviridae,#5700bc,RNA,Positive-sense RNA,False,Fecal-oral,CD300lf (in mice),N/A,1.74×10⁻³ muts per codon per year,0.94 muts per year,receptor_binding,VP1 (Receptor-Binding)
enterovirusd68,,enterovirusd68,VP1,1.3847942735202339,0.41290064557734424,2.328515785451782,"[0.41290064557734424, 2.328515785451782]",309,0.4279014305177523,0.12758629948339936,0.7195113777046007,Enterovirus D68,Picornavirus,#9779bd,RNA,Positive-sense RNA,False,Respiratory,Sialic acid,N/A,1.38×10⁻³ muts per codon per year,0.43 muts per year,receptor_binding,VP1 (Receptor-Binding)
hepatitisA_IA,,hepatitisA_IA,VP1,0.0,0.0,0.0,"[0.0, 0.0]",300,0.0,0.0,0.0,Hepatitis A-IA,Picornavirus,#b76ca9,RNA,Positive-sense RNA,Quasi-enveloped,"Fecal-oral, blood",HAVCR1,N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,VP1 (Receptor-Binding)
hepatitisB,A2,hepatitisB_A2,Large,0.0,0.0,0.0,"[0.0, 0.0]",401,0.0,0.0,0.0,Hepatitis B-A2,Hepadnavirus,#ffd8bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,Large (Receptor-Binding)
hepatitisB,D3,hepatitisB_D3,Large,0.005407616415492349,-0.13126523192584572,0.12781359455724953,"[-0.13126523192584572, 0.12781359455724953]",390,0.0021089704020420164,-0.05119344045107983,0.04984730187732731,Hepatitis B-D3,Hepadnavirus,#ffe9bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,0.01×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,Large (Receptor-Binding)
parvovirusB19,,parvovirusB19,VP1,0.0,0.0,0.0,"[0.0, 0.0]",782,0.0,0.0,0.0,Parvovirus B19-1A,Parvovirus,#BC0000,DNA,Single-stranded DNA,False,Respiratory,Erythrocyte P antigen (aka glycosphingolipid globoside),N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,VP1 (Receptor-Binding)
adenovirusB7,,adenovirusB7,Fiber,0.11313641628903806,0.0,0.39880586741885826,"[0.0, 0.39880586741885826]",326,0.03688247171022641,0.0,0.1300107127785478,Adenovirus B-7,Adenovirus,#ff6633,DNA,Double-stranded DNA,False,Respiratory,,N/A,0.11×10⁻³ muts per codon per year,0.04 muts per year,receptor_binding,Fiber (Receptor-Binding)
adenovirusB3,,adenovirusB3,Fiber,0.0,0.0,0.0,"[0.0, 0.0]",326,0.0,0.0,0.0,Adenovirus B-3,Adenovirus,#ff926e,DNA,Double-stranded DNA,False,Respiratory,,N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,Fiber (Receptor-Binding)
