virus,subtype,virus_and_subtype,gene,adaptive_subs_per_codon_per_year,lower_95ci,upper_95ci,ci,len_in_codons,adaptive_muts_per_year,lower_95ci_mutspergene,upper_95ci_mutspergene,legible_name,virus_family,color,rna_dna,genome_type,enveloped,transmission,cellular_receptor,fusion_protein_class,legible_rate_per_codon,legible_rate_per_gene,standard_gene,legible_gene_name,rb_rank
dengue,denv4_II,dengue_denv4_II,E,0.06472806327989802,0.0,0.18188515142413827,"[0.0, 0.18188515142413827]",495,0.03204039132354952,0.0,0.09003314995494845,Dengue 4-II,Flavivirus,#adebfa,RNA,Positive-sense RNA,True,Mosquito-borne,"Mannose-binding Receptor, DC-SIGN",Class II,0.06×10⁻³ muts per codon per year,0.03 muts per year,receptor_binding,E (Receptor-Binding),4
rotavirusAg1p8,,rotavirusAg1p8,P,0.1676798679504444,0.008493011217655685,0.37529072324916957,"[0.008493011217655685, 0.37529072324916957]",777,0.1302872573974953,0.006599069716118467,0.29160089196460476,Rotavirus A/P[8],Reovirus,#1a3da6,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,0.17×10⁻³ muts per codon per year,0.13 muts per year,receptor_binding,P (Receptor-Binding),2
rotavirusAg1p4,,rotavirusAg1p4,P,0.0,0.0,0.0,"[0.0, 0.0]",777,0.0,0.0,0.0,Rotavirus A/P[4],Reovirus,#1f49c8,RNA,"Double-stranded RNA, segmented",False,Fecal-Oral,"Sialic acid, others",N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,P (Receptor-Binding),6
norovirus,,norovirus,VP1,1.8001955625236288,1.1020524634491475,2.491125201544157,"[1.1020524634491475, 2.491125201544157]",541,0.9739057993252831,0.5962103827259888,1.347698734035389,Norovirus GII.4,Caliciviridae,#5700bc,RNA,Positive-sense RNA,False,Fecal-oral,CD300lf (in mice),N/A,1.8×10⁻³ muts per codon per year,0.97 muts per year,receptor_binding,VP1 (Receptor-Binding),1
enterovirusd68,,enterovirusd68,VP1,1.4004537634284957,0.5564178807578288,2.6120042814541296,"[0.5564178807578288, 2.6120042814541296]",309,0.4327402128994052,0.1719331251541691,0.8071093229693259,Enterovirus D68,Picornavirus,#9779bd,RNA,Positive-sense RNA,False,Respiratory,Sialic acid,N/A,1.4×10⁻³ muts per codon per year,0.43 muts per year,receptor_binding,VP1 (Receptor-Binding),1
hepatitisA_IA,,hepatitisA_IA,VP1,0.0,0.0,0.0,"[0.0, 0.0]",300,0.0,0.0,0.0,Hepatitis A-IA,Picornavirus,#b76ca9,RNA,Positive-sense RNA,Quasi-enveloped,"Fecal-oral, blood",HAVCR1,N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,VP1 (Receptor-Binding),3
hepatitisB,A2,hepatitisB_A2,Large,0.0,0.0,0.0,"[0.0, 0.0]",401,0.0,0.0,0.0,Hepatitis B-A2,Hepadnavirus,#ffd8bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,Large (Receptor-Binding),1
hepatitisB,D3,hepatitisB_D3,Large,-0.006852852000006894,-0.02399537405952966,0.0021686086863721772,"[-0.02399537405952966, 0.0021686086863721772]",390,-0.002672612280002689,-0.009358195883216567,0.0008457573876851491,Hepatitis B-D3,Hepadnavirus,#ffe9bc,DNA,"Partially-dsDNA, circular",True,Bodily fluids and blood-borne,Sodium Taurocholate Co-transporting Polypeptide (NTCP),Other,-0.01×10⁻³ muts per codon per year,-0.0 muts per year,receptor_binding,Large (Receptor-Binding),4
parvovirusB19,,parvovirusB19,VP1,0.0,0.0,0.0,"[0.0, 0.0]",782,0.0,0.0,0.0,Parvovirus B19-1A,Parvovirus,#BC0000,DNA,Single-stranded DNA,False,Respiratory,Erythrocyte P antigen (aka glycosphingolipid globoside),N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,VP1 (Receptor-Binding),3
adenovirusB7,,adenovirusB7,Fiber,0.11313641628903806,0.0,0.33940924886711427,"[0.0, 0.33940924886711427]",326,0.03688247171022641,0.0,0.11064741513067924,Adenovirus B-7,Adenovirus,#ff6633,DNA,Double-stranded DNA,False,Respiratory,,N/A,0.11×10⁻³ muts per codon per year,0.04 muts per year,receptor_binding,Fiber (Receptor-Binding),1
adenovirusB3,,adenovirusB3,Fiber,0.0,0.0,0.0,"[0.0, 0.0]",326,0.0,0.0,0.0,Adenovirus B-3,Adenovirus,#ff926e,DNA,Double-stranded DNA,False,Respiratory,,N/A,0.0×10⁻³ muts per codon per year,0.0 muts per year,receptor_binding,Fiber (Receptor-Binding),10
