strain	strain_name	date	country	host	genotype	subgenotype
KT749847	None	2004-XX-XX	Belgium	Homo sapiens	A	None
KT749848	None	1995-XX-XX	Belgium	Homo sapiens	A	None
KT749849	None	2007-XX-XX	Belgium	Homo sapiens	A	None
KT749850	None	2018-07-17	Belgium	Homo sapiens	A	None
KY886219	Hiroshima GtA CL2	2017-03-31	Japan	Homo sapiens	A	None
MF772344	None	2014-XX-XX	Cape Verde	Homo sapiens	A	A2
MF772345	None	2016-XX-XX	Cape Verde	Homo sapiens	A	A2
MF772346	None	2016-XX-XX	Cape Verde	Homo sapiens	A	A2
MF772347	None	2015-XX-XX	Cape Verde	Homo sapiens	A	A2
MF772349	None	2015-XX-XX	Cape Verde	Homo sapiens	A	A2
MF772350	None	2015-XX-XX	Cape Verde	Homo sapiens	A	A2
MF772351	None	2016-XX-XX	Cape Verde	Homo sapiens	A	A1
MF772352	None	2015-XX-XX	Cape Verde	Homo sapiens	A	A1
MF772353	None	2011-XX-XX	Cape Verde	Homo sapiens	A	A1
LC365288	A-1	2012-09-19	Japan:Tokyo	Homo sapiens	A	None
LC311241	None	2017-07-12	Japan:Nagoya	Homo sapiens	A	A2
LC311242	None	2017-07-12	Japan:Nagoya	Homo sapiens	A	A2
LC311243	None	2017-07-12	Japan:Nagoya	Homo sapiens	A	A2
KT366462	None	2017-12-27	India	Homo sapiens	A	None
KT366466	None	2017-12-27	India	Homo sapiens	A	None
KT366467	None	2017-12-27	India	Homo sapiens	A	None
KT366468	None	2017-12-27	India	Homo sapiens	A	None
KT366469	None	2017-12-27	India	Homo sapiens	A	None
KT366470	None	2017-12-27	India	Homo sapiens	A	None
KT366471	None	2017-12-27	India	Homo sapiens	A	None
MF925361	None	2015-06-08	Bangladesh	Homo sapiens; sex: female	A	None
MF925362	None	2015-06-09	Bangladesh	Homo sapiens; sex: male	A	None
MF925368	None	2015-06-22	Bangladesh	Homo sapiens; sex: female	A	None
MF925372	None	2015-06-28	Bangladesh	Homo sapiens; sex: male	A	None
MF925373	None	2015-06-29	Bangladesh	Homo sapiens; sex: male	A	None
MF925385	None	2015-07-16	Bangladesh	Homo sapiens; sex: male	A	None
MF925386	None	2015-07-19	Bangladesh	Homo sapiens; sex: male	A	None
MF925400	None	2015-08-11	Bangladesh	Homo sapiens; sex: male	A	None
MF925404	None	2015-08-18	Bangladesh	Homo sapiens; sex: male	A	None
MF925407	None	2015-08-26	Bangladesh	Homo sapiens; sex: male	A	None
KY382410	None	2017-05-14	Argentina	Homo sapiens	A	A2
KX827293	None	2010-02-01	USA	Homo sapiens	A	None
KX827294	None	2010-02-01	USA	Homo sapiens	A	None
KX827295	None	2010-02-01	USA	Homo sapiens	A	None
KX827296	None	2010-02-01	USA	Homo sapiens	A	None
KX827297	None	2010-02-01	USA	Homo sapiens	A	None
KX827298	None	2010-02-01	USA	Homo sapiens	A	None
KY003230	None	2016-11-26	None	None	A	A2)
KX357640	None	2013-XX-XX	Ethiopia	Homo sapiens	A	None
KX357642	None	2013-XX-XX	Ethiopia	Homo sapiens	A	None
KX357643	None	2013-XX-XX	Ethiopia	Homo sapiens	A	None
KX357644	None	2013-XX-XX	Ethiopia	Homo sapiens	A	None
KX357645	None	2013-XX-XX	Ethiopia	Homo sapiens	A	None
KX357646	None	2013-XX-XX	Ethiopia	Homo sapiens	A	None
KX357647	None	2013-XX-XX	Ethiopia	Homo sapiens	A	None
KX357648	None	2013-XX-XX	Ethiopia	Homo sapiens	A	None
KX357649	None	2013-XX-XX	Ethiopia	Homo sapiens	A	None
KU736918	None	2010-09-XX	Tanzania	Homo sapiens	A	A1
KU736919	None	2010-09-XX	Tanzania	Homo sapiens	A	A1
KU736920	None	2009-08-XX	Sudan	Homo sapiens	A	A1
KX648547	None	2014-09-01	Zimbabwe	Homo sapiens	A	A1
KX648548	None	2014-09-01	Zimbabwe	Homo sapiens	A	A1
KX648549	None	2014-09-01	Zimbabwe	Homo sapiens	A	A1
LC051141	None	2014-XX-XX	Japan:Gunma	Homo sapiens	A	A1
KX276769	CH055	2014-06-10	Malaysia	Homo sapiens	A	None
KU605532	None	2007-XX-XX	South Africa	Homo sapiens	A	A2
KU605533	None	2006-XX-XX	South Africa	Homo sapiens	A	A1
KU605534	None	2006-XX-XX	South Africa	Homo sapiens	A	A1
KU605535	None	2005-XX-XX	South Africa	Homo sapiens	A	A1
KU605536	None	2004-XX-XX	South Africa	Homo sapiens	A	A1
KU605537	None	2005-XX-XX	South Africa	Homo sapiens	A	A1
KU605538	None	2006-XX-XX	South Africa	Homo sapiens	A	A1
KU605539	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KU605540	None	2008-XX-XX	South Africa	Homo sapiens	A	A1
KP995108	None	2016-03-31	Venezuela	Homo sapiens	A	A2
LC074724	None	2016-03-30	Japan	Homo sapiens	A	A2
KT347087	None	2009-07-20	South Africa	Homo sapiens	A	A1
KT347088	None	2010-07-16	South Africa	Homo sapiens	A	A1
KT347091	None	2007-05-24	South Africa	Homo sapiens	A	A1
KT347092	None	2011-05-11	South Africa	Homo sapiens	A	A1
KP168422	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168423	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168424	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168425	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168426	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168427	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168428	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168429	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168430	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168431	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168432	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168433	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168434	None	2012-XX-XX	Kenya	Homo sapiens	A	A1
KP168435	None	2012-XX-XX	Kenya	Homo sapiens	A	None
KR905425	None	2015-11-01	India	Homo sapiens	A	None
KR905426	None	2015-11-01	India	Homo sapiens	A	None
KR905427	None	2015-11-01	India	Homo sapiens	A	None
KR905428	None	2015-11-01	India	Homo sapiens	A	None
KR905429	None	2015-11-01	India	Homo sapiens	A	None
KR905430	None	2015-11-01	India	Homo sapiens	A	None
KR905431	None	2015-11-01	India	Homo sapiens	A	None
KP274925	None	2001-XX-XX	Belgium	Homo sapiens	A	None
KP274927	None	2004-XX-XX	Belgium	Homo sapiens	A	None
KP274928	None	2006-XX-XX	Belgium	Homo sapiens	A	None
KT151611	None	2014-02-18	India: Lucknow	Homo sapiens	A	None
KT151612	None	2014-03-08	India: Lucknow	Homo sapiens	A	None
KT151613	None	2014-04-09	India: Lucknow	Homo sapiens	A	None
KT151614	None	2014-04-26	India: Lucknow	Homo sapiens	A	None
KT151615	None	2013-10-28	India: Lucknow	Homo sapiens	A	None
KT151616	None	2014-03-25	India: Lucknow	Homo sapiens	A	None
KT151617	None	2014-04-10	India: Lucknow	Homo sapiens	A	None
KT151618	None	2014-03-19	India: Lucknow	Homo sapiens	A	None
KJ586809	P18	2013-06-06	Uruguay	Homo sapiens	A	A2
KF214656	None	1963-XX-XX	India	Homo sapiens	A	None
KF214657	None	1963-XX-XX	India	Homo sapiens	A	None
KF214658	None	1963-XX-XX	India	Homo sapiens	A	None
KF214659	None	1963-XX-XX	India	Homo sapiens	A	None
KF214660	None	1963-XX-XX	India	Homo sapiens	A	None
KF214661	None	1963-XX-XX	India	Homo sapiens	A	None
KF214662	None	1963-XX-XX	India	Homo sapiens	A	None
KF214663	None	1963-XX-XX	India	Homo sapiens	A	None
KF214664	None	1963-XX-XX	India	Homo sapiens	A	None
KF214665	None	1963-XX-XX	India	Homo sapiens	A	None
KF214666	None	1963-XX-XX	India	Homo sapiens	A	None
KM606737	None	2015-03-15	Cuba	Homo sapiens	A	A4
KM606742	None	2015-03-15	Cuba	Homo sapiens	A	A2
KM606746	None	2015-03-15	Cuba	Homo sapiens	A	A2
KM606748	None	2015-03-15	Cuba	Homo sapiens	A	A1
KM606749	None	2015-03-15	Cuba	Homo sapiens	A	A2
KF922406	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922407	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922408	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922409	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922410	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922411	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922412	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922413	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922414	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922415	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922416	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922417	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922418	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922419	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922420	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922421	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922422	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922423	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922424	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922425	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922426	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922427	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922428	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922429	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922430	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922431	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922433	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922434	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922435	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922436	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KF922437	None	2007-XX-XX	South Africa	Homo sapiens	A	A1
KM519452	None	2014-12-21	South Africa	Homo sapiens	A	A1
KM519453	None	2014-12-21	South Africa	Homo sapiens	A	A1
KM519454	None	2014-12-21	Belgium	Homo sapiens	A	A1
KP234050	None	2013-11-XX	South Africa	Homo sapiens	A	None
KP234051	None	2013-11-XX	Belgium	Homo sapiens	A	None
KP234052	None	2013-11-XX	Cameroon	Homo sapiens	A	None
KP234053	None	2013-11-XX	Haiti	Homo sapiens	A	None
KM108588	None	2011-XX-XX	Sudan	Homo sapiens	A	A1
KM243029	None	2013-11-14	India: Lucknow	Homo sapiens	A	None
AB937791	None	2002-11-26	Japan:Mito	Homo sapiens	A	A1
AB937792	None	2008-05-22	Japan:Mito	Homo sapiens	A	A2
AB937793	None	2013-01-24	Japan:Mito	Homo sapiens	A	A2
AB937794	None	2013-02-17	Japan:Mito	Homo sapiens	A	A2
AB937795	None	1989-09-28	Japan:Mito	Homo sapiens	A	A1
AB937796	None	1999-12-08	Japan:Mito	Homo sapiens	A	A1
AB937797	None	2012-07-09	Japan:Mito	Homo sapiens	A	A2
AB937798	None	1988-02-17	Japan:Mito	Homo sapiens	A	A2
AB937799	None	2014-02-14	Japan:Mito	Homo sapiens	A	A2
KF779210	None	1998-XX-XX	USA	None	A	A2
KF779211	None	1999-XX-XX	USA	None	A	A2
KF779213	None	1999-XX-XX	USA	None	A	A2
KF779215	None	1999-XX-XX	USA	None	A	A2
KF779221	None	2001-XX-XX	USA	None	A	A2
KF779227	None	2003-XX-XX	USA	None	A	None
KF779231	None	2003-XX-XX	USA	None	A	None
KF779232	None	2003-XX-XX	USA	None	A	None
KF779234	None	2003-XX-XX	USA	None	A	None
KF779238	None	2004-XX-XX	USA	None	A	None
KF779239	None	2004-XX-XX	USA	None	A	None
KF779240	None	2004-XX-XX	USA	None	A	None
KF779243	None	2004-XX-XX	USA	None	A	None
KF779244	None	2004-XX-XX	USA	None	A	None
KF779245	None	2004-XX-XX	USA	None	A	None
KF779246	None	2004-XX-XX	USA	None	A	None
KF779247	None	2005-XX-XX	USA	None	A	None
KF779248	None	2005-XX-XX	USA	None	A	None
KF779249	None	2005-XX-XX	USA	None	A	None
KF779251	None	1998-XX-XX	USA	None	A	A2
KF779252	None	1998-XX-XX	USA	None	A	A2
KF779253	None	1998-XX-XX	USA	None	A	A2
KF779254	None	1998-XX-XX	USA	None	A	A2
KF779255	None	1998-XX-XX	USA	None	A	A2
KF779256	None	1998-XX-XX	USA	None	A	A2
KF779257	None	1999-XX-XX	USA	None	A	A2
KF779258	None	1999-XX-XX	USA	None	A	A2
KF779259	None	1999-XX-XX	USA	None	A	A2
KF779260	None	1999-XX-XX	USA	None	A	A2
KF779261	None	1999-XX-XX	USA	None	A	A2
KF779262	None	1999-XX-XX	USA	None	A	A2
KF779263	None	1999-XX-XX	USA	None	A	A2
KF779264	None	2000-XX-XX	USA	None	A	A2
KF779265	None	2000-XX-XX	USA	None	A	A2
KF779266	None	2000-XX-XX	USA	None	A	A2
KF779268	None	2000-XX-XX	USA	None	A	A2
KF779269	None	2003-XX-XX	USA	None	A	None
KF779270	None	2003-XX-XX	USA	None	A	None
KF779271	None	2003-XX-XX	USA	None	A	None
KF779272	None	2003-XX-XX	USA	None	A	None
KF779273	None	2003-XX-XX	USA	None	A	None
KF779274	None	2003-XX-XX	USA	None	A	None
KF779275	None	2003-XX-XX	USA	None	A	None
KF779276	None	2004-XX-XX	USA	None	A	None
KF779277	None	2004-XX-XX	USA	None	A	None
KF779278	None	2005-XX-XX	USA	None	A	None
KF779279	None	2005-XX-XX	USA	None	A	None
KF779280	None	2005-XX-XX	USA	None	A	None
KF779281	None	2005-XX-XX	USA	None	A	None
KF779282	None	2005-XX-XX	USA	None	A	None
KF779283	None	2005-XX-XX	USA	None	A	None
KF779284	None	1999-XX-XX	USA	None	A	A2
KF779286	None	1999-XX-XX	USA	None	A	A2
KF779287	None	1999-XX-XX	USA	None	A	A2
KF779290	None	2000-XX-XX	USA	None	A	A2
KF779291	None	2000-XX-XX	USA	None	A	A2
KF779293	None	2000-XX-XX	USA	None	A	A2
KF779294	None	2001-XX-XX	USA	None	A	A2
KF779295	None	2001-XX-XX	USA	None	A	A2
KF779297	None	2001-XX-XX	USA	None	A	A2
KF779298	None	2001-XX-XX	USA	None	A	A2
KF779299	None	2002-XX-XX	USA	None	A	A2
KF779304	None	2002-XX-XX	USA	None	A	A2
KF779305	None	2003-XX-XX	USA	None	A	None
KF779306	None	2003-XX-XX	USA	None	A	None
KF779307	None	2003-XX-XX	USA	None	A	None
KF779308	None	2004-XX-XX	USA	None	A	None
KF779309	None	2005-XX-XX	USA	None	A	None
KF779310	None	2005-XX-XX	USA	None	A	None
KF779311	None	1998-XX-XX	USA	None	A	A2
KF779312	None	1998-XX-XX	USA	None	A	A2
KF779313	None	1998-XX-XX	USA	None	A	A2
KF779314	None	1998-XX-XX	USA	None	A	A2
KF779315	None	1998-XX-XX	USA	None	A	A2
KF779316	None	1999-XX-XX	USA	None	A	A2
KF779317	None	2000-XX-XX	USA	None	A	A2
KF779319	None	2000-XX-XX	USA	None	A	A2
KF779320	None	2000-XX-XX	USA	None	A	A2
KF779321	None	2000-XX-XX	USA	None	A	A2
KF779322	None	2001-XX-XX	USA	None	A	A2
KF779323	None	2001-XX-XX	USA	None	A	A2
KF779324	None	2001-XX-XX	USA	None	A	A2
