Accession	Virus	Strain	Author	Publication_Title	Journal	Database
KF824902	Dengue (denv3)	YN01	Zhao et al	Direct Submission	Submitted (07-NOV-2013) Department of Virology, Beijing Institute of Microbiology and Epidemiology, 20 DongdaStreet, Fengtai District, Beijing 100071, China	Genbank
KF824903	Dengue (denv3)	YN02	Zhao et al	Direct Submission	Submitted (07-NOV-2013) Department of Virology, Beijing Institute of Microbiology and Epidemiology, 20 DongdaStreet, Fengtai District, Beijing 100071, China	Genbank
KR296744	Dengue (denv3)	YNSW2	Wang et al	Complete genome sequence of dengue virus serotype 3 cosmopolitan genotype strain in Yunnan, China	Unpublished	Genbank
KR296743	Dengue (denv3)	YNSW1	Wang et al	Complete genome sequence of dengue virus serotype 3 cosmopolitan genotype strain in Yunnan, China	Unpublished	Genbank
MF682973	Dengue (denv3)	JH967	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 3 virus strains isolated from dengue fever cases in southwestern border region of Yunnan province, China	Unpublished	Genbank
MF682972	Dengue (denv3)	JH250	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 3 virus strains isolated from dengue fever cases in southwestern border region of Yunnan province, China	Unpublished	Genbank
MF682971	Dengue (denv3)	JH88	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 3 virus strains isolated from dengue fever cases in southwestern border region of Yunnan province, China	Unpublished	Genbank
KJ622193	Dengue (denv3)	HN/2013/21	Ma et al	Molecular characterization of the complete genome sequences of dengue virus type 3 newly isolated in Henan, China, 2013	Unpublished	Genbank
KJ622192	Dengue (denv3)	HN/2013/20	Ma et al	Molecular characterization of the complete genome sequences of dengue virus type 3 newly isolated in Henan, China, 2013	Unpublished	Genbank
KJ622194	Dengue (denv3)	HN/2013/22	Ma et al	Molecular characterization of the complete genome sequences of dengue virus type 3 newly isolated in Henan, China, 2013	Unpublished	Genbank
KJ622191	Dengue (denv3)	HN/2013/11	Ma et al	Molecular characterization of the complete genome sequences of dengue virus type 3 newly isolated in Henan, China, 2013	Unpublished	Genbank
KJ622198	Dengue (denv3)	HN/2013/108	Ma et al	Molecular characterization of the complete genome sequences of dengue virus type 3 newly isolated in Henan, China, 2013	Unpublished	Genbank
KJ622197	Dengue (denv3)	HN/2013/107	Ma et al	Molecular characterization of the complete genome sequences of dengue virus type 3 newly isolated in Henan, China, 2013	Unpublished	Genbank
KJ622199	Dengue (denv3)	HN/2013/110	Ma et al	Molecular characterization of the complete genome sequences of dengue virus type 3 newly isolated in Henan, China, 2013	Unpublished	Genbank
KJ622195	Dengue (denv3)	HN/2013/50	Ma et al	Molecular characterization of the complete genome sequences of dengue virus type 3 newly isolated in Henan, China, 2013	Unpublished	Genbank
KJ622196	Dengue (denv3)	HN/2013/92	Ma et al	Molecular characterization of the complete genome sequences of dengue virus type 3 newly isolated in Henan, China, 2013	Unpublished	Genbank
AY676353	Dengue (denv3)	ThD3_0007_87	Zhang et al	Clade replacements in dengue virus serotypes 1 and 3 are associated with changing serotype prevalence	J. Virol. 79 (24), 15123-15130 (2005)	Genbank
DQ675520	Dengue (denv3)	98TW182	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
AY676350	Dengue (denv3)	ThD3_0104_93	Zhang et al	Clade replacements in dengue virus serotypes 1 and 3 are associated with changing serotype prevalence	J. Virol. 79 (24), 15123-15130 (2005)	Genbank
AY876494	Dengue (denv3)	C0331/94	Raekiansyah et al	Genetic variations and relationship among dengue virus type 3 strains isolated from patients with mild or severe form of dengue disease in Indonesia and Thailand	Southeast Asian J. Trop. Med. Public Health 36 (5), 1187-1197 (2005)	Genbank
AY676351	Dengue (denv3)	ThD3_0055_93	Zhang et al	Clade replacements in dengue virus serotypes 1 and 3 are associated with changing serotype prevalence	J. Virol. 79 (24), 15123-15130 (2005)	Genbank
FJ744740	Dengue (denv3)	DENV_3/TH/BID_V2329/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744739	Dengue (denv3)	DENV_3/TH/BID_V2328/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744729	Dengue (denv3)	DENV_3/TH/BID_V2315/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744726	Dengue (denv3)	DENV_3/TH/BID_V2312/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744728	Dengue (denv3)	DENV_3/TH/BID_V2314/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744727	Dengue (denv3)	DENV_3/TH/BID_V2313/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744730	Dengue (denv3)	DENV_3/TH/BID_V2316/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744732	Dengue (denv3)	DENV_3/TH/BID_V2320/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ687448	Dengue (denv3)	DENV_3/TH/BID_V2318/2001	Henn et al	Direct Submission	Submitted (29-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744731	Dengue (denv3)	DENV_3/TH/BID_V2317/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744734	Dengue (denv3)	DENV_3/TH/BID_V2323/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ810414	Dengue (denv3)	DENV_3/TH/BID_V2322/2001	Henn et al	Direct Submission	Submitted (09-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744733	Dengue (denv3)	DENV_3/TH/BID_V2321/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ810413	Dengue (denv3)	DENV_3/TH/BID_V2319/2001	Henn et al	Direct Submission	Submitted (09-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744736	Dengue (denv3)	DENV_3/TH/BID_V2325/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744737	Dengue (denv3)	DENV_3/TH/BID_V2326/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744738	Dengue (denv3)	DENV_3/TH/BID_V2327/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ744735	Dengue (denv3)	DENV_3/TH/BID_V2324/2001	Henn et al	Direct Submission	Submitted (11-FEB-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
AY923865	Dengue (denv3)	C0360/94	Raekiansyah et al	Genetic variations and relationship among dengue virus type 3 strains isolated from patients with mild or severe form of dengue disease in Indonesia and Thailand	Southeast Asian J. Trop. Med. Public Health 36 (5), 1187-1197 (2005)	Genbank
JN406514	Dengue (denv3)	Cairns_98	Ritchie et al	An Explosive Epidemic of DENV-3 in Cairns, Australia	PLoS ONE 8 (7), E68137 (2013)	Genbank
AY676349	Dengue (denv3)	ThD3_1283_98	Zhang et al	Clade replacements in dengue virus serotypes 1 and 3 are associated with changing serotype prevalence	J. Virol. 79 (24), 15123-15130 (2005)	Genbank
GQ868626	Dengue (denv3)	DENV_3/KH/BID_V2075/2001	?			Genbank
GQ868627	Dengue (denv3)	DENV_3/KH/BID_V2077/2002	?			Genbank
FJ639723	Dengue (denv3)	DENV_3/KH/BID_V2080/2003	Henn et al	Direct Submission	Submitted (13-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639719	Dengue (denv3)	DENV_3/KH/BID_V2071/2000	Henn et al	Direct Submission	Submitted (13-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639720	Dengue (denv3)	DENV_3/KH/BID_V2073/2001	Henn et al	Direct Submission	Submitted (13-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KF955332	Dengue (denv3)	DENV_3/KH/BID_V2072/2000	Zody et al	Direct Submission	Submitted (10-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955462	Dengue (denv3)	DENV_3/KH/BID_V2074/2001	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
KF955463	Dengue (denv3)	DENV_3/KH/BID_V2076/2001	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
FJ639721	Dengue (denv3)	DENV_3/KH/BID_V2078/2002	Henn et al	Direct Submission	Submitted (13-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ639722	Dengue (denv3)	DENV_3/KH/BID_V2079/2002	Henn et al	Direct Submission	Submitted (13-JAN-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KU509284	Dengue (denv3)	DENV3_3847	Shihada et al	Genetic Diversity and New Lineages of Dengue Virus Serotypes 3 and 4 in Returning Travelers, Germany, 2006-2015	Emerging Infect. Dis. (2017) In press	Genbank
HG316483	Dengue (denv3)	KDH0010A	Fansiri et al	Genetic Mapping of Specific Interactions between Aedes aegypti Mosquitoes and Dengue Viruses	PLoS Genet. 9 (8), E1003621 (2013)	Genbank
HG316484	Dengue (denv3)	KDH0014A	Fansiri et al	Genetic Mapping of Specific Interactions between Aedes aegypti Mosquitoes and Dengue Viruses	PLoS Genet. 9 (8), E1003621 (2013)	Genbank
KC261634	Dengue (denv3)	GZ/10476/2012	Bai et al	Complete Genome Sequence of Dengue Virus Serotype 3 from Guangzhou, China	Genome Announc 1 (2), E00208-E00212 (2013)	Genbank
KU509280	Dengue (denv3)	DENV3_1631	?			Genbank
DQ675530	Dengue (denv3)	98TW434	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
DQ675522	Dengue (denv3)	98TW358	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
DQ675532	Dengue (denv3)	98TWmosq	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
DQ675527	Dengue (denv3)	98TW390	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
DQ675529	Dengue (denv3)	98TW414	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
DQ675531	Dengue (denv3)	98TW503	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
DQ675528	Dengue (denv3)	98TW407	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
DQ675526	Dengue (denv3)	98TW388	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
DQ675523	Dengue (denv3)	98TW360	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
DQ675521	Dengue (denv3)	98TW349	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
DQ675524	Dengue (denv3)	98TW364	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
DQ675525	Dengue (denv3)	98TW368	King et al	Comparative analysis of full genomic sequences among different genotypes of dengue virus type 3	Virol. J. 5, 63 (2008)	Genbank
AY676348	Dengue (denv3)	ThD3_1687_98	Zhang et al	Clade replacements in dengue virus serotypes 1 and 3 are associated with changing serotype prevalence	J. Virol. 79 (24), 15123-15130 (2005)	Genbank
KY670634	Dengue (denv3)	D3/Vietnam/9809aTw	Yang et al	Molecular epidemiology of dengue virus in Taiwan	Unpublished	Genbank
EU482457	Dengue (denv3)	DENV_3/VN/BID_V1013/2006	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU482454	Dengue (denv3)	DENV_3/VN/BID_V1010/2006	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU482456	Dengue (denv3)	DENV_3/VN/BID_V1012/2006	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU660409	Dengue (denv3)	DENV_3/VN/BID_V1329/2006	Henn et al	Direct Submission	Submitted (17-APR-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU482452	Dengue (denv3)	DENV_3/VN/BID_V1008/2006	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU660411	Dengue (denv3)	DENV_3/VN/BID_V1331/2006	Henn et al	Direct Submission	Submitted (17-APR-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU660407	Dengue (denv3)	DENV_3/VN/BID_V1326/2006	Henn et al	Direct Submission	Submitted (17-APR-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ432743	Dengue (denv3)	DENV_3/VN/BID_V1817/2007	Henn et al	Direct Submission	Submitted (29-OCT-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU482453	Dengue (denv3)	DENV_3/VN/BID_V1009/2006	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU482462	Dengue (denv3)	DENV_3/VN/BID_V1018/2007	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU660410	Dengue (denv3)	DENV_3/VN/BID_V1330/2006	Henn et al	Direct Submission	Submitted (17-APR-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU482458	Dengue (denv3)	DENV_3/VN/BID_V1014/2006	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU482455	Dengue (denv3)	DENV_3/VN/BID_V1011/2006	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ461338	Dengue (denv3)	DENV_3/VN/BID_V1953/2008	Henn et al	Direct Submission	Submitted (07-NOV-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ461322	Dengue (denv3)	DENV_3/VN/BID_V1874/2008	Henn et al	Direct Submission	Submitted (07-NOV-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ562103	Dengue (denv3)	DENV_3/VN/BID_V1957/2008	Henn et al	Direct Submission	Submitted (16-DEC-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KF955460	Dengue (denv3)	DENV_3/VN/BID_V1933/2008	Zody et al	Direct Submission	Submitted (03-DEC-2013) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Genbank
EU482460	Dengue (denv3)	DENV_3/VN/BID_V1016/2006	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU482461	Dengue (denv3)	DENV_3/VN/BID_V1017/2007	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU482459	Dengue (denv3)	DENV_3/VN/BID_V1015/2006	Henn et al	Direct Submission	Submitted (11-FEB-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU660408	Dengue (denv3)	DENV_3/VN/BID_V1327/2006	Henn et al	Direct Submission	Submitted (17-APR-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ562100	Dengue (denv3)	DENV_3/VN/BID_V1824/2007	Henn et al	Direct Submission	Submitted (16-DEC-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ461337	Dengue (denv3)	DENV_3/VN/BID_V1946/2008	Henn et al	Direct Submission	Submitted (07-NOV-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ461329	Dengue (denv3)	DENV_3/VN/BID_V1897/2007	Henn et al	Direct Submission	Submitted (07-NOV-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
