Strain	Author	Accession	Originating_Lab	Submitting_Lab	Genbank_Accession	Database	Virus
hCoV-19/Argentina/PAIS-D0511/2022	Gramundi et al	EPI_ISL_12175213	Laboratorio del Hospital Regional Ushuaia Gdor. Ernesto Campos	Nodo de Secuenciación Tierra del Fuego - Hospital Regional Ushuaia - Centro Austral De Investigaciones Científicas - Universidad Nacional De Tierra Del Fuego on behalf Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium) and ANLIS-Malbran		GISAID	sars2_21L
hCoV-19/Argentina/PAIS-D0519/2022	Gramundi et al	EPI_ISL_12175220	Laboratorio del Hospital Regional Ushuaia Gdor. Ernesto Campos	Nodo de Secuenciación Tierra del Fuego - Hospital Regional Ushuaia - Centro Austral De Investigaciones Científicas - Universidad Nacional De Tierra Del Fuego on behalf Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium) and ANLIS-Malbran		GISAID	sars2_21L
hCoV-19/Argentina/PAIS-D0517/2022	Gramundi et al	EPI_ISL_12175218	Laboratorio del Hospital Regional Ushuaia Gdor. Ernesto Campos	Nodo de Secuenciación Tierra del Fuego - Hospital Regional Ushuaia - Centro Austral De Investigaciones Científicas - Universidad Nacional De Tierra Del Fuego on behalf Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium) and ANLIS-Malbran		GISAID	sars2_21L
hCoV-19/SriLanka/aicbu5138/2022	Chandima Jeewandara et al	EPI_ISL_10994040	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)		GISAID	sars2_21L
hCoV-19/Guinea/CERFIG-36928/2022	Haby DIALLO et al	EPI_ISL_14578529	CERFIG	CERFIG		GISAID	sars2_21L
hCoV-19/Brazil/SC-FIOCRUZ-9892/2022	Paola Resende et al	EPI_ISL_13019458	Laboratorio Central de Saude Publica do Estado de Santa Catarina (LACEN/SC)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ		GISAID	sars2_21L
hCoV-19/Afghanistan/barcode11/2022	Momin Khan Murad et al	EPI_ISL_15063856	Central Public Health Lab	Central Public Health Lab		GISAID	sars2_21L
hCoV-19/SriLanka/aicbu4179/2022	Chandima Jeewandara et al	EPI_ISL_9285948	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)		GISAID	sars2_21L
hCoV-19/Montenegro/116865/2022	Danijela Vujošević et al	EPI_ISL_9798872	Laboratory for Molecular Diagnostics,IPHMN	Laboratory for Molecular Diagnostics,IPHMN		GISAID	sars2_21L
hCoV-19/BosniaandHerzegovina/AGC2165/2022	Selma Durgut et al	EPI_ISL_11629389	Alea Gentic Centre	Alea Genetic Centre		GISAID	sars2_21L
hCoV-19/Kazakhstan/VOS-NRL-S2467/2022	Madina Tleubergenova et al	EPI_ISL_13257836	National Center of Expertise in East Kazakhstan region	Reference laboratory for the control of viral infections		GISAID	sars2_21L
hCoV-19/USA/AZ-CDC-ASC210738377/2022	Dakota Howard et al	EPI_ISL_11759310	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON145263.1	GISAID	sars2_21L
hCoV-19/Belgium/CHUNamur14064362/2022	Lauranne Vermeersch et al	EPI_ISL_10816877	Plateforme de testing Namuroise	Plateforme de testing Namuroise		GISAID	sars2_21L
hCoV-19/Lesotho/N47909/2022	Maphalala G et al	EPI_ISL_14952352	National Reference Laboratories	National Institute for Communicable Diseases of the National Health Laboratory Service		GISAID	sars2_21L
hCoV-19/Malawi/CERI-KRISP-K044972/2022	Maponga T et al	EPI_ISL_13986514	Barc Bio Banking Repository	CERI, Centre for Epidemic Response and Innovation, Stellenbosch University and KRISP, KZN Research Innovation and Sequencing Platform, UKZN.		GISAID	sars2_21L
hCoV-19/NewZealand/22CV3008/2022	Sarah Cockerton et al	EPI_ISL_11331422	Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Nepal/EPN-K2558/2022	Epidemic Intelligence Team et al	EPI_ISL_13330079	Koshi Hospital	Center for Molecular Dynamics Nepal		GISAID	sars2_21L
hCoV-19/Djibouti/NAMRU3_F211/2022	J. Alexander Chitty et al	EPI_ISL_15091056	Naval Medical Research Unit No. 3	Naval Medical Research Center Biological Defense Research Directorate	OP508824.1	GISAID	sars2_21L
hCoV-19/Slovenia/5C-024968-KP/2022	Sandra Janezic et al	EPI_ISL_12918687	National Laboratory for Health, Environment and Food, OMM, Koper	NLZOH (National Laboratory for Health, Environment and Food)		GISAID	sars2_21L
hCoV-19/Mexico/COA_CIAD-IMSS_202201022000/2022	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	EPI_ISL_12533190	Centro de Investigación Biomédica del Noreste (CIBIN)	Microbial Genomics Laboratory		GISAID	sars2_21L
hCoV-19/NewZealand/22MV1875/2022	Sarah Cockerton et al	EPI_ISL_12546522	LabPLUS	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/Serbia/445568_0903/2022	Knezevic et al	EPI_ISL_17222304	"Institute of Virology, Vaccines and Sera ""Torlak"""	Institute of microbiology and Immunology, Faculty of Medicine, University of Belgrade		GISAID	sars2_21L
hCoV-19/Venezuela/Bar6474/2022	Rossana C Jaspe et al	EPI_ISL_14818633	INHRR	Laboratorio de Virologia Molecular		GISAID	sars2_21L
hCoV-19/Qatar/QA.QU.18.36.H10/2022	BRC: Heba A. Al-Khatib et al	EPI_ISL_10008435	Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)		GISAID	sars2_21L
hCoV-19/Mongolia/GS-33874/2022	Bayasgalan Namuutsetseg et al	EPI_ISL_14807742	National Center for Communicable Diseases (NCCD) National Influenza Center	National Center for Communicable Diseases (NCCD) National Influenza Center		GISAID	sars2_21L
hCoV-19/Portugal/PT32390/2022	Borges et al	EPI_ISL_12127703	H Guimaraes	Instituto Nacional de Saude Doutor Ricardo Jorge (INSA)		GISAID	sars2_21L
hCoV-19/Luxembourg/LNS1929170/2022	Anke Wienecke-Baldacchino et al	EPI_ISL_9851485	Laboratoire national de sante, Microbiology, Virology	Laboratoire national de sante, Microbiology, Microbial Genomics Platform		GISAID	sars2_21L
hCoV-19/Bulgaria/22BG-EU_017226_Pl162/2022	Alexiev et al	EPI_ISL_11734610	National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases		GISAID	sars2_21L
hCoV-19/Peru/LIM-UPCH-2660/2022	Alejandra Dávila-Barclay et al	EPI_ISL_9822533	Instituto de Medicina Tropical Alexander von Humboldt, Universidad Peruana Cayetano Heredia	Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia		GISAID	sars2_21L
hCoV-19/Indonesia/JI-GS-ITD-54544NT/2022	Kazufumi Shimizu et al	EPI_ISL_11190605	RSUD Dr. Soetomo	Institute of Tropical Disease, Universitas Airlangga		GISAID	sars2_21L
hCoV-19/Colombia/DC-UNIANDES-CVU9258/2022	David González et al	EPI_ISL_13839127	Gencore - Universidad de los Andes	Gencore - Universidad de los Andes		GISAID	sars2_21L
hCoV-19/Kenya/SS6309/2022	Githinji G. et al	EPI_ISL_11260186	Aga Khan University Hospital Nairobi	KEMRI-Wellcome Trust Research Programme,Kilifi	ON198660.1	GISAID	sars2_21L
hCoV-19/Greece/331612/2022	Emmanouil Athanasiadis et al	EPI_ISL_11070761	Laboratory of Hygiene and Epidemiology, Department of Medicine, University of Thessaly	Greek Genome Center, Biomedical Research Foundation of the Academy of Athens (BRFAA)		GISAID	sars2_21L
hCoV-19/Guatemala/INC-LNS-297/2022	César Conde et al	EPI_ISL_12543211	Laboratorio Nacional de Salud (LNS), Guatemala	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud		GISAID	sars2_21L
hCoV-19/Libya/84332-8/2022	Abdulla Bashein et al	EPI_ISL_14327798	Trioli Center Surveillance	Public Health Reference Laboratory NCDC		GISAID	sars2_21L
hCoV-19/Panama/1335-GMI/2022	Claudia Gonzalez et al	EPI_ISL_15224252	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Australia/VIC44393/2022	Seemann et al	EPI_ISL_11176149	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)		GISAID	sars2_21L
hCoV-19/Uruguay/DLSP_1915/2022	Cortinas et al	EPI_ISL_17227699	Departamento Laboratorios de Salud Publica (DLSP) Ministerio de Salud Publica	Departamento Laboratorios de Salud Publica (DLSP) Ministerio de Salud Publica		GISAID	sars2_21L
hCoV-19/Denmark/DCGC-399059/2022	Danish Covid-19 Genome Consortium et al	EPI_ISL_10637491	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	Statens Serum Institut Bioinformatics and Microbial Genomics	OX009910.1	GISAID	sars2_21L
hCoV-19/Taiwan/TSGH-68/2022	Cherng-Lih Perng et al	EPI_ISL_11903002	TSGH-CP molecular lab	TSGH-CP molecular lab		GISAID	sars2_21L
hCoV-19/Taiwan/NTU-HCH-083/2022	Pei-Lan Shao et al	EPI_ISL_14189445	Department of Laboratory Medicine, National Taiwan University Hospital Hsin-Chu Hospital, Taiwan	Research Center for Emerging Viral Infections, Chang Gung University, Taiwan		GISAID	sars2_21L
hCoV-19/Djibouti/NAMRU3_C585/2022	Catherine E. Arnold et al	EPI_ISL_13719639	Naval Medical Research Unit No. 3	Naval Medical Research Center Biological Defense Research Directorate	ON951982.1	GISAID	sars2_21L
hCoV-19/Peru/LIM-INS-17613/2022	Carlos Padilla Rojas et al	EPI_ISL_13142251	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/Ecuador/USFQ-3338/2022	Mateo Carvajal et al	EPI_ISL_12590934	Institute of Microbiology, Universidad San Francisco de Quito	Institute of Microbiology, Universidad San Francisco de Quito		GISAID	sars2_21L
hCoV-19/Argentina/INEI120343/2022	Baumeister E. et al	EPI_ISL_13223750	Servicio Virosis Respiratorias-Departamento Virología-INEI	Instituto Nacional Enfermedades Infecciosas C.G.Malbran		GISAID	sars2_21L
hCoV-19/Oman/7229469/2022	Samiha Al Kharusi et al	EPI_ISL_14241493	Oman-NIC	Oman-NIC		GISAID	sars2_21L
hCoV-19/Tunisia/8021/2022	Sana Ferjani et al	EPI_ISL_10863109	Laboratory of Microbiology, National Reference Lab, Charles Nicolle Hospital; 2-University of Tunis ElManar, Faculty of Medicine of Tunis, LR99ES09, Tunis, Tunisia	Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia		GISAID	sars2_21L
hCoV-19/Romania/IL_514343/2022	Luiza Ustea et al	EPI_ISL_13134501	Cantacuzino National Military-Medical Institute, Viral Respiratory Infections Laboratory	Cantacuzino National Military-Medical Institute, Viral Respiratory Infections Laboratory		GISAID	sars2_21L
hCoV-19/Kazakhstan/AST-NRL-S2669/2022	Madina Tleubergenova et al	EPI_ISL_13257869	National Center of Expertise in Nur-Sultan city	Reference laboratory for the control of viral infections		GISAID	sars2_21L
hCoV-19/Sudan/SS5891/2022	Githinji G. et al	EPI_ISL_14620401	National Public Health Laboratory - Sudan	KEMRI-Wellcome Trust Research Programme,Kilifi		GISAID	sars2_21L
hCoV-19/Japan/PG-259823/2022	Tsuyoshi Sekizuka et al	EPI_ISL_14116708	Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases		GISAID	sars2_21L
hCoV-19/Niger/CE-OIM_661/2022	Lagare Adamou et al	EPI_ISL_13285205	CERMES	CERMES		GISAID	sars2_21L
hCoV-19/Bonaire/BQ-RIVM-101149/2022	Adam Meijer et al	EPI_ISL_12954075	Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)		GISAID	sars2_21L
hCoV-19/Algeria/27453/2022	Zahida Mehdi et al	EPI_ISL_13080453	Service microbiologie - EHU Oran	Virology Departement		GISAID	sars2_21L
hCoV-19/Azerbaijan/un-ChVir28824/2022	Victor M Corman et al	EPI_ISL_15714256	Xususi Tehlukeli Infeksiyalara Nezaret Merkezi	Charité Universitätsmedizin Berlin, Institut für Virologie		GISAID	sars2_21L
hCoV-19/Portugal/PT30148/2022	Borges et al	EPI_ISL_11218310	UNILABS	Instituto Nacional de Saude (INSA)		GISAID	sars2_21L
hCoV-19/Portugal/PT28797/2022	Borges et al	EPI_ISL_10742055	ABC Algarve	Instituto Nacional de Saude (INSA)		GISAID	sars2_21L
hCoV-19/Chile/RM-91032/2022	Constanza Campano et al	EPI_ISL_14187084	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Jordan/JUST-MBV-20/2022	Mohammad Alboom et al	EPI_ISL_12977285	Molecular Biology and Virology	Molecular Biology and Virology		GISAID	sars2_21L
hCoV-19/Colombia/DC-INS-VG-19425/2022	Katherine Laiton-Donato et al	EPI_ISL_12838823	ALIFE HEALTH	Instituto Nacional de Salud- Dirección de Investigación en Salud Pública		GISAID	sars2_21L
hCoV-19/Russia/MOW-PMVL-DZ-26354231200/2022	Vladimir A. Gushchin et al	EPI_ISL_15886185	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department	N.F. Gamaleya National Research Center for Epidemiology and Microbiology of the Ministry of Health of the Russian Federation / Moscow Healthcare Department		GISAID	sars2_21L
hCoV-19/Panama/M223384-GMI/2022	Claudia Gonzalez et al	EPI_ISL_13105280	Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies		GISAID	sars2_21L
hCoV-19/Guatemala/4714-LNS/2022	Mendoza L et al	EPI_ISL_13096599	Laboratorio Nacional de Salud (LNS), Guatemala	Laboratorio Nacional de Salud (LNS), Guatemala		GISAID	sars2_21L
hCoV-19/Australia/TAS002166/2022	J Williamson et al	EPI_ISL_12899477	Royal Hobart Hospital	Royal Hobart Hospital		GISAID	sars2_21L
hCoV-19/Montenegro/CO-00688-1404842202/2022	Danijela Vujošević et al	EPI_ISL_12236195	Laboratory for Molecular Diagnostics,IPHMN	Eurofins Genomics Europe Sequencing GmbH		GISAID	sars2_21L
hCoV-19/Colombia/CUN-I528/2022	Marina Muñoz et al	EPI_ISL_13506097		Centro de Investigaciones en Microbiología y Biotecnología-UR (CIMBIUR), Facultad de Ciencias Naturales, Universidad del Rosario, Bogotá, Colombia		GISAID	sars2_21L
hCoV-19/Venezuela/Voy1420/2022	Rossana C Jaspe et al	EPI_ISL_15165709	IVIC	Laboratorio de Virologia Molecular		GISAID	sars2_21L
hCoV-19/SriLanka/aicbu5474/2022	Chandima Jeewandara et al	EPI_ISL_12099552	Allergy, Immunology and Cell Biology Unit (AICBU)	Allergy, Immunology and Cell Biology Unit (AICBU)		GISAID	sars2_21L
hCoV-19/Peru/LIM-INS-18899/2022	Carlos Padilla Rojas et al	EPI_ISL_13409995	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.		GISAID	sars2_21L
hCoV-19/Iraq/BG-USAFSAM-S20132/2022	Anthony Fries et al	EPI_ISL_15889755	US Air Force School of Aerospace Medicine	US Air Force School of Aerospace Medicine		GISAID	sars2_21L
hCoV-19/USA/MI-CDC-QDX35776719/2022	Dakota Howard et al	EPI_ISL_12272334	Quest Diagnostics Incorporated	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON334987.1	GISAID	sars2_21L
hCoV-19/Sweden/5054454235/2022	Maximilian Riess et al	EPI_ISL_10593994	Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden		GISAID	sars2_21L
hCoV-19/Lebanon/A2/2022	Nada M. Melhem et al	EPI_ISL_16583633	Ain Wazein Hospital	Melhem/Matar lab		GISAID	sars2_21L
hCoV-19/Saint-Martin/IPP06984/2022	Marion Barbet et al	EPI_ISL_9878180	Hopital	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris		GISAID	sars2_21L
hCoV-19/NewZealand/22CV3558/2022	Sarah Cockerton et al	EPI_ISL_12545489	Whangarei Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV1057/2022	Sarah Cockerton et al	EPI_ISL_9636586	Hawkes Bay Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV1567/2022	Sarah Cockerton et al	EPI_ISL_10188391	Whangarei Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV1059/2022	Sarah Cockerton et al	EPI_ISL_9636589	MedLab Central Ltd	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV3290/2022	Sarah Cockerton et al	EPI_ISL_11865656	Hawkes Bay Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV3881/2022	Sarah Cockerton et al	EPI_ISL_12546014	Whangarei Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22MV2090/2022	Sarah Cockerton et al	EPI_ISL_12545999	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22MV1716/2022	Sarah Cockerton et al	EPI_ISL_12545180	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22MV1447/2022	Sarah Cockerton et al	EPI_ISL_11865969	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV3575/2022	Sarah Cockerton et al	EPI_ISL_12546005	Waikato Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV4813/2022	Sarah Cockerton et al	EPI_ISL_13436979	Wellington SCL (WN)	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV1790/2022	Sarah Cockerton et al	EPI_ISL_10187646	MedLab Central Ltd	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CH1150/2022	Sarah Cockerton et al	EPI_ISL_10626171	Southern Community Labs Chch	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV3447/2022	Sarah Cockerton et al	EPI_ISL_11865799	Waikato Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22MV3361/2022	Sarah Cockerton et al	EPI_ISL_13764112	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR), Kenepuru Science Centre		GISAID	sars2_21L
hCoV-19/NewZealand/22CV7473/2022	Sarah Cockerton et al	EPI_ISL_13764394	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR), Kenepuru Science Centre		GISAID	sars2_21L
hCoV-19/NewZealand/22MV2971/2022	Sarah Cockerton et al	EPI_ISL_13436968	North Shore Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22MV1887/2022	Sarah Cockerton et al	EPI_ISL_12545207	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV4226/2022	Sarah Cockerton et al	EPI_ISL_12806012	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22MV2667/2022	Sarah Cockerton et al	EPI_ISL_13437136	Waikato Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22MV2641/2022	Sarah Cockerton et al	EPI_ISL_13438847	Whangarei Hospital	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CV4117/2022	Sarah Cockerton et al	EPI_ISL_12545578	LabPLUS	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/NewZealand/22CH3015/2022	Sarah Cockerton et al	EPI_ISL_12545617	Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)		GISAID	sars2_21L
hCoV-19/USA/MD-CDC-ASC210682932/2022	Dakota Howard et al	EPI_ISL_9635488	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	OM564751.1	GISAID	sars2_21L
hCoV-19/U.S.VirginIslands/VI-CDC-2-5772668/2022	Mili Sheth et al	EPI_ISL_12718237	VI-US Virgin Islands Department of Health	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON521621.1	GISAID	sars2_21L
hCoV-19/Sweden/5787039659/2022	Maximilian Riess et al	EPI_ISL_10604822	Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden		GISAID	sars2_21L
hCoV-19/Chile/BI-35385/2022	Karen Orostica et al	EPI_ISL_11565204	Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile		GISAID	sars2_21L
hCoV-19/Estonia/RC0681966/2022	Abroi A. et al	EPI_ISL_12449929	Synlab Eesti OÜ	18. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH		GISAID	sars2_21L
hCoV-19/PuertoRico/PR-ASC-210726067/2022	Cyndi Clark et al	EPI_ISL_14956371	Aegis Sciences Corporation	Aegis Sciences Corporation		GISAID	sars2_21L
hCoV-19/Latvia/4121943/2022	Reinis Vangravs et al	EPI_ISL_13629679	Centrālā Laboratorija	Riga East Clinical University Hospital, National Microbiology Reference Laboratory		GISAID	sars2_21L
hCoV-19/PuertoRico/PR-ASC-210728207/2022	Cyndi Clark et al	EPI_ISL_15047731	Aegis Sciences Corporation	Aegis Sciences Corporation		GISAID	sars2_21L
hCoV-19/Australia/TAS001243/2022	J Williamson et al	EPI_ISL_11834323	Royal Hobart Hospital	Royal Hobart Hospital		GISAID	sars2_21L
hCoV-19/USA/MA-Broad-CRSP_UCLDYMEYD3QN4Q35/2022	Siddle et al	EPI_ISL_11388050	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	ON066408.1	GISAID	sars2_21L
hCoV-19/TrinidadandTobago/142585/2022	Carlos Rampersad on behalf of CARPHA et al	EPI_ISL_13223788	Trinidad Public Health Laboratory	CARPHA		GISAID	sars2_21L
hCoV-19/USA/KS-CDC-2-5776657/2022	Mili Sheth et al	EPI_ISL_12718060	KS Health and Environmental Laboratories	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	ON521546.1	GISAID	sars2_21L
hCoV-19/Slovenia/190649/2022	Alen Suljič et al	EPI_ISL_13272103	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana	Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana		GISAID	sars2_21L
hCoV-19/Hungary/MBL-13473/2022	Csaba István Pereszlényi et al	EPI_ISL_17033613	Hungarian Defence Forces Medical Centre COVID Laboratory	Hungarian Defence Forces Medical Centre Epidemiological and Scientific Research Institute		GISAID	sars2_21L
hCoV-19/Mexico/BCN_CIAD-IMSS_202201050913/2022	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	EPI_ISL_12533151	Laboratorio Central de Epidemiología (LCE)	Microbial Genomics Laboratory		GISAID	sars2_21L
