Accession	Virus	Strain	Author	Publication_Title	Journal	Database
KY672944	Dengue (denv1)	DENV_1/China/YN/YNH22_2013_	Hu et al	Molecular characteristics of the full-length genome of dengue serotype 1 virus strains isolated from dengue fever cases in Sino-Myanmar border region in Yunnan province, China	Unpublished	Genbank
JF960211	Dengue (denv1)	SG_EHI_D1/0091Y09	Lee et al	Dengue virus surveillance in Singapore reveals high viral diversity through multiple introductions and in situ evolution	Infect. Genet. Evol. 12 (1), 77-85 (2012)	Genbank
JN544407	Dengue (denv1)	SG_EHI_D1/15834Y11	Lo et al	Envelope gene sequences of Dengue viruses in Singapore	Unpublished	Genbank
KR779783	Dengue (denv1)	SG_EHI_D1/44614Y11	Hapuarachchi et al	DENV diversity in Singapore	Unpublished	Genbank
MF033198	Dengue (denv1)	V18806	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
KX380796	Dengue (denv1)	D1/SG/CT1/2012	?			Genbank
MG097875	Dengue (denv1)	SG_EHI_D1/18640Y12	Koo et al	Transmission success of dengue virus is highly selective despite repeated introduction of different viral strains with similar evolutionary rate	Unpublished	Genbank
MF033200	Dengue (denv1)	V29368	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
JQ917404	Dengue (denv1)	RR57	Dash et al	Direct Submission	Submitted (10-APR-2012) Virology Division, Defence Research & Development Establishment, Jhansi Road, Gwalior, MP 474002, India	Genbank
MF033243	Dengue (denv1)	V3720	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033255	Dengue (denv1)	V31808	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
KU666943	Dengue (denv1)	TM242	?			Genbank
KX452066	Dengue (denv1)	TM301	?			Genbank
MF033205	Dengue (denv1)	V49862	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
KM403585	Dengue (denv1)	SGEHI_D1_14150Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403584	Dengue (denv1)	SGEHI_D1_05722Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KX380799	Dengue (denv1)	D1/SG/CT11/2012	?			Genbank
KM403596	Dengue (denv1)	SGEHI_D1_23469Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403581	Dengue (denv1)	SGEHI_D1_19711Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KX380801	Dengue (denv1)	D1/SG/CT17/2012	Sung et al	Extended evaluation of virological, immunological and pharmacokinetic endpoints of CELADEN: a randomized, placebo-controlled trial of celgosivir in dengue fever patients	PLoS Negl Trop Dis (2016)	Genbank
KX380802	Dengue (denv1)	D1/SG/CT25/2012	Sung et al	Extended evaluation of virological, immunological and pharmacokinetic endpoints of CELADEN: a randomized, placebo-controlled trial of celgosivir in dengue fever patients	PLoS Negl Trop Dis (2016)	Genbank
KX380800	Dengue (denv1)	D1/SG/CT16/2012	Sung et al	Extended evaluation of virological, immunological and pharmacokinetic endpoints of CELADEN: a randomized, placebo-controlled trial of celgosivir in dengue fever patients	PLoS Negl Trop Dis (2016)	Genbank
KM403575	Dengue (denv1)	SGEHI_D1_44259Y12	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403614	Dengue (denv1)	SGEHI_D1_23537Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403594	Dengue (denv1)	SGEHI_D1_41081Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403592	Dengue (denv1)	SGEHI_D1_10152Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403578	Dengue (denv1)	SGEHI_D1_05022Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403587	Dengue (denv1)	SGEHI_D1_09119Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403599	Dengue (denv1)	SGEHI_D1_15005Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403580	Dengue (denv1)	SGEHI_D1_07074Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403619	Dengue (denv1)	SGEHI_D1_23018Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403618	Dengue (denv1)	SGEHI_D1_10689Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403608	Dengue (denv1)	SGEHI_D1_19725Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403609	Dengue (denv1)	SGEHI_D1_21469Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403605	Dengue (denv1)	SGEHI_D1_16120Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403607	Dengue (denv1)	SGEHI_D1_18736Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403626	Dengue (denv1)	SGEHI_D1_50837Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403621	Dengue (denv1)	SGEHI_D1_40160Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KM403624	Dengue (denv1)	SGEHI_D1_46841Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KR024708	Dengue (denv1)	Wenzhou_1	Wang et al	Reemergence and Autochthonous Transmission of Dengue Virus, Eastern China, 2014	Emerging Infect. Dis. 21 (9), 1670-1673 (2015)	Genbank
KM403625	Dengue (denv1)	SGEHI_D1_50688Y13	?			Genbank
MF033229	Dengue (denv1)	V6038	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033251	Dengue (denv1)	V13085	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033227	Dengue (denv1)	V3329	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
KY921903	Dengue (denv1)	SG_EHI_D1/03329Y15	Hapuarachchi et al	Dengue virus diversity in Singapore	Unpublished	Genbank
MF033234	Dengue (denv1)	V5044	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033242	Dengue (denv1)	V30014	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033241	Dengue (denv1)	V52742	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033238	Dengue (denv1)	V29793	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
MF033252	Dengue (denv1)	V15628	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
KM403635	Dengue (denv1)	SGEHI_D1_40115Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
MF033213	Dengue (denv1)	V5538	Koo et al	Highly Selective Transmission Success of Dengue Virus Type 1 Lineages in a Dynamic Virus Population: An Evolutionary and Fitness Perspective	iScience 6, 38-51 (2018)	Genbank
KM403631	Dengue (denv1)	SGEHI_D1_50722Y13	Hapuarachchi et al	Intra-epidemic evolutionary dynamics of a Dengue virus type 1 population reveal mutant spectra that correlate with disease transmission	Sci Rep 6, 22592 (2016)	Genbank
KT187563	Dengue (denv1)	DENV1/CN/GZDF696/2014	Li et al	Direct Submission	Submitted (20-JUN-2015) Department of Microbiology, Zhongshan School of Medicine, Sun Yat-Sen University, Key Laboratory of Tropical Disease Control, Ministry of Education, W1334, Science & Technology Building, 74 Zhongshan Road Ii, Guangzhou, Guangdong 510080, China	Genbank
KX621249	Dengue (denv1)	GZ_4/M/GZ/2014/DEV1	?			Genbank
KT827375	Dengue (denv1)	GZ/31358/D1/2014	Bai et al	Direct Submission	Submitted (25-SEP-2015) Department of Virology & Immunology, Guangzhou Center for Diseases Control and Prevention, 1 Qide Road, Baiyun District, Guangzhou, Guangdong 510440, China	Genbank
KT187560	Dengue (denv1)	DENV1/CN/GZDF874/2014	Zhan et al	Direct Submission	Submitted (17-JUN-2015) Department of Microbiology, Zhongshan School of Medicine, Sun Yat-Sen University, Key Laboratory of Tropical Disease Control, Ministry of Education, W1334, Science & Technology Building, 74 Zhongshan Road Ii, Guangzhou, Guangdong 510080, China	Genbank
MH271405	Dengue (denv1)	DV1D/China/GDfs/14264/2014	Zou et al	Virulence difference of five type I dengue viruses and the intrinsic molecular mechanism	PLoS Negl Trop Dis 13 (3), e0007202 (2019)	Genbank
KX459389	Dengue (denv1)	GZ8_44/S/Tianhe/2014/DEV1	Zhao et al	Direct Submission	Submitted (29-JUN-2016) Institute of Infectious Disease, Guangzhou Eighth People's Hospital, 627 East Dongfeng Road, Guangzhou, Guangdong 231567, China	Genbank
MH271406	Dengue (denv1)	DV1E/China/GDgz/14243/2014	Zou et al	Virulence difference of five type I dengue viruses and the intrinsic molecular mechanism	PLoS Negl Trop Dis 13 (3), e0007202 (2019)	Genbank
KX459388	Dengue (denv1)	Gz_7/M/GZ/2014/DEV1	Zhao et al	Direct Submission	Submitted (29-JUN-2016) Institute of Infectious Disease, Guangzhou Eighth People's Hospital, 627 East Dongfeng Road, Guangzhou, Guangdong 231567, China	Genbank
KT827378	Dengue (denv1)	GZ/13986/D1/2015	?			Genbank
KX459392	Dengue (denv1)	GZ8_81/S/Panyu/2014/DEV1	?			Genbank
KR024707	Dengue (denv1)	Wuhan_3	Wang et al	Reemergence and Autochthonous Transmission of Dengue Virus, Eastern China, 2014	Emerging Infect. Dis. 21 (9), 1670-1673 (2015)	Genbank
KR024706	Dengue (denv1)	Wuhan_2	Wang et al	Reemergence and Autochthonous Transmission of Dengue Virus, Eastern China, 2014	Emerging Infect. Dis. 21 (9), 1670-1673 (2015)	Genbank
KR024705	Dengue (denv1)	Wuhan_1	Wang et al	Reemergence and Autochthonous Transmission of Dengue Virus, Eastern China, 2014	Emerging Infect. Dis. 21 (9), 1670-1673 (2015)	Genbank
KT827377	Dengue (denv1)	GZ/33206/D1/2014	Bai et al	Direct Submission	Submitted (25-SEP-2015) Department of Virology & Immunology, Guangzhou Center for Diseases Control and Prevention, 1 Qide Road, Baiyun District, Guangzhou, Guangdong 510440, China	Genbank
KP686070	Dengue (denv1)	ww2014	Du et al	Direct Submission	Submitted (21-JAN-2015) Institute for Infectious Disease Control and Prevention, Henan Provincial Centers for Disease Control and Prevention, 105 East Agricultural Road, Zheng Dong New District, Zhengzhou, Henan 450016, China	Genbank
KX225483	Dengue (denv1)	GZ8_2/S/Yuexiu/2014/DEV1	Zhao et al	Complete genome sequencing of dengue virus isolate in Guangzhou, China	Unpublished	Genbank
KX225487	Dengue (denv1)	GZ8_53/S/Liwan/2013/DEV1	?			Genbank
KX459390	Dengue (denv1)	GZ8_48/S/Yuexiu/2014/DEV1	?			Genbank
KT187561	Dengue (denv1)	DENV1/CN/GZDF876/2014	Zhan et al	Direct Submission	Submitted (17-JUN-2015) Department of Microbiology, Zhongshan School of Medicine, Sun Yat-Sen University, Key Laboratory of Tropical Disease Control, Ministry of Education, W1334, Science & Technology Building, 74 Zhongshan Road Ii, Guangzhou, Guangdong 510080, China	Genbank
KT187559	Dengue (denv1)	DENV1/CN/GZDF780/2014	Li et al	Direct Submission	Submitted (17-JUN-2015) Department of Microbiology, Zhongshan School of Medicine, Sun Yat-Sen University, Key Laboratory of Tropical Disease Control, Ministry of Education, W1334, Science & Technology Building, 74 Zhongshan Road Ii, Guangzhou, Guangdong 510080, China	Genbank
KX225484	Dengue (denv1)	GZ8_9/S/Yuexiu/2014/DEV1	?			Genbank
KF289073	Dengue (denv1)	P23086	Dash et al	Direct Submission	Submitted (24-JUN-2013) Virology Division, Defence Research & Development Establishment, Jhansi Road, Gwalior, MP 474002, India	Genbank
JQ922544	Dengue (denv1)	DENV_1/IND/631288/1963	Jayashri et al	Evolutionary Dynamics of Dengue Virus in India	Unpublished	Genbank
DQ285559	Dengue (denv1)	Reunion_191/04	Schuffenecker et al	Dengue fever, Reunion and the Seychelles islands, 2003-2004	Unpublished	Genbank
JN903578	Dengue (denv1)	RGCB294	Anoop et al	Complete genome sequencing and evolutionary analysis of dengue virus serotype 1 isolates from an outbreak in Kerala, South India	Virus Genes 45 (1), 1-13 (2012)	Genbank
GQ868601	Dengue (denv1)	DENV_1/VG/BID_V2937/1985	?			Genbank
FJ850075	Dengue (denv1)	DENV_1/BR/BID_V2381/2002	Henn et al	Direct Submission	Submitted (20-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ850070	Dengue (denv1)	DENV_1/BR/BID_V2374/2000	Henn et al	Direct Submission	Submitted (20-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ850081	Dengue (denv1)	DENV_1/BR/BID_V2389/2004	Henn et al	Direct Submission	Submitted (20-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ850077	Dengue (denv1)	DENV_1/BR/BID_V2384/2003	Henn et al	Direct Submission	Submitted (20-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ850084	Dengue (denv1)	DENV_1/BR/BID_V2392/2005	Henn et al	Direct Submission	Submitted (20-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ850090	Dengue (denv1)	DENV_1/BR/BID_V2398/2007	Henn et al	Direct Submission	Submitted (20-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ850071	Dengue (denv1)	DENV_1/BR/BID_V2375/2000	Henn et al	Direct Submission	Submitted (20-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ850087	Dengue (denv1)	DENV_1/BR/BID_V2395/2006	Henn et al	Direct Submission	Submitted (20-MAR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KC692513	Dengue (denv1)	HNRG27213	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
GU131863	Dengue (denv1)	DENV_1/BR/BID_V3490/2008	Henn et al	Direct Submission	Submitted (22-OCT-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
KC692511	Dengue (denv1)	HNRG24827	Tittarelli et al	Dengue virus 1 in Buenos Aires from 1999 to 2010: towards local spread	PLoS ONE 9 (10), E111017 (2014)	Genbank
JX669464	Dengue (denv1)	13671/BR_PE/10	Silva et al	Molecular characterization of dengue virus circulating in Pernambuco - Brazil: epidemiological implications	Unpublished	Genbank
KP188539	Dengue (denv1)	DENV1_BR/SJRP/17/2010	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
JX669465	Dengue (denv1)	13861/BR_PE/10	Silva et al	Molecular characterization of dengue virus circulating in Pernambuco - Brazil: epidemiological implications	Unpublished	Genbank
JX669461	Dengue (denv1)	9808/BR_PE/10	Silva et al	Molecular characterization of dengue virus circulating in Pernambuco - Brazil: epidemiological implications	Unpublished	Genbank
KP188548	Dengue (denv1)	BR/SJRP/885/2013	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
KP188567	Dengue (denv1)	BR/SJRP/1107/2013	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
KP188546	Dengue (denv1)	DENV1_BR/SJRP/778/2013	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
KP188547	Dengue (denv1)	DENV1_BR/SJRP/807/2013	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
KF672759	Dengue (denv1)	242/2010/BR/RJ/2010	Nogueira et al	Twenty-five years of DENV-1 in Brazil: virological and molecular surveillance of strains isolated between 1986 and 2011	Unpublished	Genbank
KP188544	Dengue (denv1)	DENV1_BR/SJRP/509/2012	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
KP188543	Dengue (denv1)	DENV1_BR/SJRP/484/2012	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
KP188568	Dengue (denv1)	BR/SJRP/2271/2014	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
KP188545	Dengue (denv1)	BR/SJRP/709/2013	Vedovello et al	Molecular Surveillance of Dengue virus (serotypes 1 to 4) and its several genotypes in a medium size city of southeastern Brazil, during nine epidemics years (2006 to 2014)	Unpublished	Genbank
JN819417	Dengue (denv1)	DENV_1/SV/BID_V2938/1993	Henn et al	Direct Submission	Submitted (05-OCT-2011) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
FJ410188	Dengue (denv1)	DENV_1/US/BID_V2139/1996	Henn et al	Direct Submission	Submitted (22-OCT-2008) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
