Accession	Virus	Strain	Author	Publication_Title	Journal	Database
KT732221	Measles	London.GBR/3.14/3/B3	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732224	Measles	NewcastleuponTyne.GBR/9.14/B3	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732222	Measles	Luton.GBR/4.14/B3	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KY969481	Measles	Alabama.USA/13.14/B3	Scott et al	Direct Submission	Submitted (20-APR-2017) Wisconsin State Laboratory of Hygiene, University of Wisconsin-Madison, 2601 Agriculture Dr., Madison, WI 53718, USA	Genbank
KT732223	Measles	London.GBR/4.14/2/B3	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KY969477	Measles	California.USA/05.14/B3	Espinosa et al	Direct Submission	Submitted (20-APR-2017) Viral and Rickettsial Disease Laboratory, California Department of Public Health, 850 Marina Bay Parkway, Richmond, CA 94804, USA	Genbank
KT732215	Measles	Manchester.GBR/31.13/B3	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
MZ031258	Measles	Marseille.FRA/27.19/6/B3	Aherfi et al	Direct Submission	Submitted (19-APR-2021) MEPHI, IHU, 19-21 bd Jean Moulin, Marseille 13005, France	Genbank
MZ031229	Measles	Marseille.FRA/19.19/5/D8	Aherfi et al	Direct Submission	Submitted (19-APR-2021) MEPHI, IHU, 19-21 bd Jean Moulin, Marseille 13005, France	Genbank
MZ031231	Measles	Marseille.FRA/19.19/19/B3	Aherfi et al	Direct Submission	Submitted (19-APR-2021) MEPHI, IHU, 19-21 bd Jean Moulin, Marseille 13005, France	Genbank
MZ031241	Measles	Marseille.FRA/21.19/1/B3	Aherfi et al	Direct Submission	Submitted (19-APR-2021) MEPHI, IHU, 19-21 bd Jean Moulin, Marseille 13005, France	Genbank
MN893225	Measles	Tours.FRA/49.18_B3___MIBE_	Ar Gouilh et al	Fatal Measles Inclusion-Body Encephalitis Detected and Characterized by Standardized and Validated Shotgun Metagenomic Approach	Unpublished	Genbank
MK513610	Measles	Padova.ITA/16.17/1/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513614	Measles	Padova.ITA/16.17/5/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513605	Measles	Padova.ITA/14.17/4/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513612	Measles	Padova.ITA/16.17/3/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513619	Measles	Padova.ITA/20.17/1/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513621	Measles	Padova.ITA/21.17/2/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513618	Measles	Padova.ITA/19.17/2/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513620	Measles	Padova.ITA/21.17/1/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513601	Measles	Padova.ITA/13.17/2/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513598	Measles	Padova.ITA/11.17/1/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513622	Measles	Padova.ITA/24.17/1/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513611	Measles	Padova.ITA/16.17/2/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513613	Measles	Padova.ITA/16.17/4/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513604	Measles	Padova.ITA/14.17/3/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513617	Measles	Padova.ITA/19.17/1/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513607	Measles	Padova.ITA/14.17/7/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513616	Measles	Padova.ITA/17.17/3/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513609	Measles	Padova.ITA/15.17/2/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513608	Measles	Padova.ITA/15.17/1/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513606	Measles	Padova.ITA/14.17/5/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513600	Measles	Padova.ITA/13.17/1/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513602	Measles	Padova.ITA/14.17/1/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513599	Measles	Padova.ITA/12.17/1/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513603	Measles	Padova.ITA/14.17/2/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MK513615	Measles	Padova.ITA/16.17/6/B3	Pacenti et al	Measles Virus Infection and Immunity in a Suboptimal Vaccination Coverage Setting	Vaccines (Basel) 7 (4), E199 (2019)	Genbank
MF775733	Measles	Alberta.CAN/22.14_D6__SSPE_	Pabbaraju et al	Genetic characterization of Subacute Sclerosing Panencephalitis measles virus strain from Calgary, Canada	J. Neurovirol. (2018) In press	Genbank
JN635406	Measles	Arizona.USA/11.08/2	Kirkness et al	Direct Submission	Submitted (30-AUG-2011) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Genbank
JN635409	Measles	California.USA/8.04	Kirkness et al	Direct Submission	Submitted (30-AUG-2011) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Genbank
MN630022	Measles	Gyeongnam.KOR/27.11/1/D9	Kim et al	Direct Submission	Submitted (30-OCT-2019) Pathogen Resource TF, Center for Infectious Diseases Research, Korea National Institute of Health, Korea Centers for Disease Control and Prevention, #200 Osongsaengmyeong 2-ro, Osong-eup, Heungdeok-gu, Cheongju-si, Chungcheongbuk-do 28160, South Korea	Genbank
KY969476	Measles	California.USA/19.10/D9	Espinosa et al	Direct Submission	Submitted (20-APR-2017) Viral and Rickettsial Disease Laboratory, California Department of Public Health, 850 Marina Bay Parkway, Richmond, CA 94804, USA	Genbank
MW916929	Measles	Jamnagar.IND/4.17/1/D4	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
MW916928	Measles	Pune.IND/16.14/D4	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
MW916933	Measles	Perambalur.Ind/17.07/D4	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
KC164757	Measles	Treviso.ITA/03.10/1/D4	Franchin et al	Measles virus in Veneto region, Italy	Unpublished	Genbank
JN635403	Measles	Florida.USA/19.09	Kirkness et al	Direct Submission	Submitted (30-AUG-2011) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Genbank
JN635402	Measles	New_York.USA/26.09/3	Kirkness et al	Direct Submission	Submitted (30-AUG-2011) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Genbank
MF449469	Measles	Paris.FRA/18.11/D4	Mura et al	Non-encapsidated 5' copy-back defective-interfering genomes produced by recombinant measles viruses are recognized by RIG-I and LGP2 but not MDA5	J. Virol. (2017) In press	Genbank
MK388918	Measles	Ontario.CAN/4.15/12/D4	Isabel et al	Direct Submission	Submitted (08-JAN-2019) Public Health Ontario Laboratory, 661 University Avenue, Toronto, Ontario M5G 1M1, Canada	Genbank
KT732225	Measles	London.GBR/19.11/5/D4	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732226	Measles	London.GBR/20.11/2/D4	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KY969479	Measles	California.USA/47.13/D4	Espinosa et al	Direct Submission	Submitted (20-APR-2017) Viral and Rickettsial Disease Laboratory, California Department of Public Health, 850 Marina Bay Parkway, Richmond, CA 94804, USA	Genbank
KT732227	Measles	Brighton.GBR/49.11/D4	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732228	Measles	Brighton.GBR/12.12/7/D4	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732229	Measles	London.GBR/20.12/D4	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KY656518	Measles	California.USA/16.12/D4	Espinosa et al	Direct Submission	Submitted (24-FEB-2017) Viral and Rickettsial Disease Laboratory, California Department of Public Health, 850 Marina Bay Parkway, Richmond, CA 94804, USA	Genbank
JN635410	Measles	California.USA/16.03	Kirkness et al	Direct Submission	Submitted (30-AUG-2011) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	Genbank
MN017369	Measles	Menglian.CHN/47.09_D11_	Song et al	Whole genome sequences analyses of variant genotypes within Measles virus D clade	Unpublished	Genbank
KC117298	Measles	Vicenza.ITA/12.10/2/D8	Franchin et al	Measles virus in Veneto region, Italy	Unpublished	Genbank
MW916930	Measles	Krishnagiri.Ind/12.06/D8	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
MW916931	Measles	Villupuram.Ind/13.06/D8	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
MW916932	Measles	Villupuram.Ind/03.07/D8	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
KT732230	Measles	Llandudno.GBR/7.12/2/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KJ018971	Measles	BritishColumbia.CAN/13.10/1/D8	Gardy et al	Whole-Genome Sequencing of Measles Virus Genotypes H1 and D8 During Outbreaks of Infection Following the 2010 Olympic Winter Games Reveals Viral Transmission Routes	J. Infect. Dis. (2015) In press	Genbank
MW916921	Measles	Sundargarh.IND/10.14/D8	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
MN125018	Measles	Anand.IND/50.15/D8	Vaidya et al	Measles Virus Complete genome sequencing from India	Unpublished	Genbank
MN125019	Measles	Bijapur.IND/50.15/2/D8	Vaidya et al	Measles Virus Complete genome sequencing from India	Unpublished	Genbank
MN125028	Measles	Udupi.IND/7.15/7	Vaidya et al	Measles Virus Complete genome sequencing from India	Unpublished	Genbank
MN125023	Measles	Gr.Mumbai.IND/10.15/D8	Vaidya et al	Measles Virus Complete genome sequencing from India	Unpublished	Genbank
MN125021	Measles	Bhavnagar.IND/03.15/D8	Vaidya et al	Measles Virus Complete genome sequencing from India	Unpublished	Genbank
MW916926	Measles	Jamnagar.IND/18.15/2/D8	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
MW916920	Measles	Jamnagar.IND/23.15/D8	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
MW916925	Measles	Jamnagar.IND/18.15/D8	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
MN125027	Measles	Haridwar.IND/06.14/5/D8	Vaidya et al	Measles Virus Complete genome sequencing from India	Unpublished	Genbank
MW916922	Measles	Haridwar.IND/06.14/3/D8	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
MN125030	Measles	Haridwar.IND/06.14/2/D8	Vaidya et al	Measles Virus Complete genome sequencing from India	Unpublished	Genbank
MW916927	Measles	Anand.IND/33.15/2/D8	Bhattad et al	Genome Sequences of Measles Virus D4 and D8 Genotypes from India	Microbiol Resour Announc 10 (28), e0053821 (2021)	Genbank
MN125024	Measles	Kutch.IND/06.15/D8	Vaidya et al	Measles Virus Complete genome sequencing from India	Unpublished	Genbank
KT732232	Measles	London.GBR/28.12/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KJ410048	Measles	Muenchen.DEU/19.13/D8	Sparrer et al	Complete Genome Sequence of a Wild-Type Measles Virus Isolated during the Spring 2013 Epidemic in Germany	Genome Announc 2 (2), e00157-14 (2014)	Genbank
KU728743	Measles	DongThap.VNM/08.14/D8	Oude Munnink et al	Complete Genome Characterization of Two Wild-Type Measles Viruses from Vietnamese Infants during the 2014 Outbreak	Genome Announc 4 (2) (2016)	Genbank
KU728742	Measles	DongThap.VNM/06.14/D8	Oude Munnink et al	Complete Genome Characterization of Two Wild-Type Measles Viruses from Vietnamese Infants during the 2014 Outbreak	Genome Announc 4 (2) (2016)	Genbank
MK142915	Measles	DongThap.VNM/06.14/2/D8	Lu et al	Epidemiology and molecular evolution of divergent viral pathogens associated with respiratory tract infections across Vietnam	Unpublished	Genbank
MK142914	Measles	DongThap.VNM/05.14/D8	Lu et al	Epidemiology and molecular evolution of divergent viral pathogens associated with respiratory tract infections across Vietnam	Unpublished	Genbank
MK142916	Measles	DongThap.VNM/07.14/D8	Lu et al	Epidemiology and molecular evolution of divergent viral pathogens associated with respiratory tract infections across Vietnam	Unpublished	Genbank
KT732240	Measles	Hull.GBR/47.12/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732233	Measles	Sheffield.GBR/32.12/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732241	Measles	Derby.GBR/47.12/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732234	Measles	Sheffield.GBR/32.12/3/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732237	Measles	Gloucester.GBR/46.12/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732238	Measles	Gloucester.GBR/46.12/2/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732243	Measles	Teeside.GBR/9.13/5/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732246	Measles	Teeside.GBR/9.13/4/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732254	Measles	NewcastleuponTyne.GBR/16.13/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732256	Measles	Lincoln.GBR/15.13/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732244	Measles	Teeside.GBR/9.13/3/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732253	Measles	Teeside.GBR/16.13/6/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732258	Measles	Teeside.GBR/18.13/2/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732261	Measles	Manchester.GBR/30.13/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732236	Measles	Coventry.GBR/42.12/2/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732235	Measles	Coventry.GBR/40.12/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732259	Measles	London.GBR/21.13/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732260	Measles	London.GBR/20.13/2/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732239	Measles	Crewe.GBR/46.12/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732242	Measles	Exeter.GBR/52.12/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732255	Measles	Swansea.GBR/16.13/5/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732245	Measles	Swansea.GBR/9.13/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732248	Measles	Swansea.GBR/13.13/4/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732247	Measles	Swansea.GBR/10.13/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732251	Measles	Swansea.GBR/16.13/2/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
KT732257	Measles	Swansea.GBR/17.13/9/D8	Penedos et al	Assessment of the Utility of Whole Genome Sequencing of Measles Virus in the Characterisation of Outbreaks	PLoS ONE 10 (11), E0143081 (2015)	Genbank
