Strain	Accession	Genbank_Accession	Originating_Lab	Submitting_Lab	Author	Database	Virus
hCoV-19/SriLanka/COV486/2020	EPI_ISL_428673	MT371050.1	Centre for Dengue Research	Centre for Dengue Research	Chandima Jeewandara et al A (https://dx.doi.org/10.21203/rs.3.rs-44134/v1)	GISAID	sars2
hCoV-19/NewZealand/20VR1900/2020	EPI_ISL_456301	MZ332063.1	PathLab Bay of Plenty	Institute of Environmental Science and Research (ESR)	Matt Storey et al	GISAID	sars2
hCoV-19/Curacao/CW-RIVM-10309/2020	EPI_ISL_636493		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al	GISAID	sars2
hCoV-19/Australia/NSW10/2020	EPI_ISL_413596		Centre for Infectious Diseases and Microbiology - Public Health	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	Rockett R et al (https://www.nature.com/articles/s41591-020-1000-7)	GISAID	sars2
hCoV-19/Finland/1/2020	EPI_ISL_407079	MT020781.1	Lapland Central Hospital	Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland	Teemu Smura et al A	GISAID	sars2
hCoV-19/Wuhan/HB-WH5-233/2020	EPI_ISL_454976		Wuhan Chain Medical Labs (CMLabs)	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al	GISAID	sars2
hCoV-19/Malaysia/0956/2020	EPI_ISL_501181		Department of Medical Microbiology, University Malaya Medical Centre	Department of Medical Microbiology, Faculty of Medicine, University of Malaya	Yoong Min CHONG et al	GISAID	sars2
hCoV-19/Thailand/63005380__2019/2020	EPI_ISL_12717948		Bamrasnaradura Infectious Disease Institute	Molecular HIV and EID, BIDI, DDC,Thai MOPH	Sumonmal Uttayamakul et al	GISAID	sars2
hCoV-19/Pakistan/JRCGR_SCV-54_IBGE-06/2020	EPI_ISL_2151350	MW960278.1	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research	Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research	Irfan et al	GISAID	sars2
hCoV-19/Australia/VIC15/2020	EPI_ISL_419735		Victorian Infectious Diseases Reference Laboratory (VIDRL)	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al	GISAID	sars2
hCoV-19/Iran/Ghilan-S1-32/2020	EPI_ISL_1014678		National Influenza Center, Virology Department	National Influenza Center	J Yavarian et al	GISAID	sars2
hCoV-19/Iran/2520/2020	EPI_ISL_15754874		Tabriz University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Ali Maleki et al	GISAID	sars2
hCoV-19/Iran/8514/2020	EPI_ISL_15754827		Mazandaran University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Zahra Fereydouni et al	GISAID	sars2
hCoV-19/Iran/6531/2020	EPI_ISL_15754908		Lorestan University of Medical Sciences	COVID-19 National Reference Laboratory, Pasteur Institute of Iran	Mahsa Tavakoli et al	GISAID	sars2
hCoV-19/Oman/RESP-20-837/2020	EPI_ISL_457704		Oman-NIC	Oman-NIC	Samira Al-Maruqi et al	GISAID	sars2
hCoV-19/Georgia/MM202082/2020	EPI_ISL_2896261	MT231248.1	Department of Virology, Molecular Biology and Genome Research	Department of Virology, Molecular Biology and Genome Research	Kotorashvili et al	GISAID	sars2
hCoV-19/Bahrain/BAH-06/2020	EPI_ISL_483547		Kingdom of Bahrein Ministry of Health	Erasmus Medical Center	Bas Oude Munnink et al	GISAID	sars2
hCoV-19/Brunei/4/2020	EPI_ISL_435676		National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al	GISAID	sars2
hCoV-19/Philippines/PH-RITM-0065/2020	EPI_ISL_3105872		Taguig City Health Office	Research Institute for Tropical Medicine	Lei Lanna Dancel et al	GISAID	sars2
hCoV-19/India/TN-CCMB-C2-13/2020	EPI_ISL_447585		Tamil Nadu Veterinary and Animal Sciences University	CSIR-Centre for Cellular and Molecular Biology	K Kaveri et al (https://dx.doi.org/10.1101/2020.05.31.126136)	GISAID	sars2
hCoV-19/PapuaNewGuinea/PNG3213/2020	EPI_ISL_6462260		Central Public Health Laboratory	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)	Kumbu et al	GISAID	sars2
hCoV-19/PapuaNewGuinea/11/2020	EPI_ISL_693481		Central Public Health Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al	GISAID	sars2
hCoV-19/Brunei/3/2020	EPI_ISL_435675		National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al	GISAID	sars2
hCoV-19/Brunei/1/2020	EPI_ISL_443187		National Virology Reference Laboratory	National Public Health Laboratory, National Centre for Infectious Diseases	Mak Tze Minn et al	GISAID	sars2
hCoV-19/Singapore/555/2020	EPI_ISL_483578		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al	GISAID	sars2
hCoV-19/Madagascar/VIRO-2722/2020	EPI_ISL_677635		Virology Unit, Institut Pasteur de Madagascar	Virology Unit, Institut Pasteur de Madagascar	Christian Ranaivoson et al	GISAID	sars2
hCoV-19/Timor-Leste/TL19/2020	EPI_ISL_456610	MT612292.1	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva et al	GISAID	sars2
hCoV-19/Timor-Leste/TL14/2020	EPI_ISL_456601	MT612285.1	National Health Laboratory, Timor-Leste	Microbiological Diagnostic Unit Public Health Laboratory, The Peter Doherty Institute for Infection and Immunity	Soares da Silva et al	GISAID	sars2
hCoV-19/Malaysia/IMR_WC99023/2020	EPI_ISL_490099		Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia	Suppiah J et al	GISAID	sars2
hCoV-19/Malaysia/MGI-MAEPS41/2020	EPI_ISL_582124		Malaysia Genome Institute	Malaysia Genome Institute	Mohd Noor Mat Isa et al	GISAID	sars2
hCoV-19/Malaysia/MGI-MAEPS54/2020	EPI_ISL_528743		Malaysia Genome Institute	Malaysia Genome Institute	Mohd Noor Mat Isa et al	GISAID	sars2
hCoV-19/Malaysia/MGI-MAEPS67/2020	EPI_ISL_528744		Malaysia Genome Institute	Malaysia Genome Institute	Mohd Noor Mat Isa et al	GISAID	sars2
hCoV-19/USA/ME-HETL-J0051/2020	EPI_ISL_513462	MT886336.1	Maine HETL	Tewhey Lab, The Jackson Laboratory	Matluk et al	GISAID	sars2
hCoV-19/England/02/2020	EPI_ISL_407073		Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Monica Galiano et al (https://virological.org/t/preliminary-analysis-of-sars-cov-2-importation-establishment-of-uk-transmission-lineages/507)	GISAID	sars2
hCoV-19/Mexico/CMX-InDRE_03/2020	EPI_ISL_424667		Laboratorio Estatal de Salud Publica del Estado de México	Instituto de Diagnóstico y Referencia Epidemiológicos	Irma López Martínez et al (https://dx.doi.org/10.1101/2020.05.27.120402)	GISAID	sars2
hCoV-19/Bolivia/26958/2020	EPI_ISL_837576		Centro Nacional de Enfermedades Tropicales (CENETROP)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al	GISAID	sars2
hCoV-19/SouthKorea/KCDC06/2020	EPI_ISL_412870	MT134007.1	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al	GISAID	sars2
hCoV-19/SouthKorea/KCDC07/2020	EPI_ISL_412871	MT134008.1	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al	GISAID	sars2
hCoV-19/Thailand/63015581__2019/2020	EPI_ISL_12717952		Bamrasnaradura Infectious Disease Institute	Molecular HIV and EID, BIDI, DDC,Thai MOPH	Sumonmal Uttayamakul et al	GISAID	sars2
hCoV-19/UnitedArabEmirates/L5630/2020	EPI_ISL_435137		Mohammed Bin Rashid University of Medicine and Health Sciences	Al Jalila Genomics Center	Ahmad Abou Tayoun et al A (https://dx.doi.org/10.1101/2020.05.06.080606)	GISAID	sars2
hCoV-19/UnitedArabEmirates/skmc-920568379/2020	EPI_ISL_582608		Sheikh Khalifa Medical City	Molecular/Surveillance lab Sheikh Khalifa Medical City	Amirtharaj Francis et al	GISAID	sars2
hCoV-19/USA/KY-KSPHL-100018/2020	EPI_ISL_965818		Kentucky State Public Health Lab	Kentucky State Public Health Lab	Stephanie Lunn et al	GISAID	sars2
hCoV-19/USA/WA-S46/2020	EPI_ISL_417099	MT627299.1	Washington State Department of Health	Seattle Flu Study	Chu etl al et al (https://doi.dx.org/10.1101/2020.04.02.20051417)	GISAID	sars2
hCoV-19/Taiwan/TSGH-34/2020	EPI_ISL_447593		TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng et al	GISAID	sars2
hCoV-19/Australia/NT39/2020	EPI_ISL_430497		Royal Darwin Hospital Pathology	Microbiological Diagnostic Unit Public Health Laboratory and Victorian Infectious Diseases Reference Laboratory, The Peter Doherty Institute for Infection and Immunity	Meumann et al	GISAID	sars2
hCoV-19/USA/OH-ODH-SC21892/2020	EPI_ISL_940553		Ohio Department of Health Laboratory	Ohio Department of Health Laboratory	Holmes et al	GISAID	sars2
hCoV-19/Spain/VC-FISABIO-4/2020	EPI_ISL_416483	MT233520.1	Servicio de Microbiología. Consorcio Hospital General Universitario de Valencia	Sequencing and Bioinformatics Service and Molecular Epidemiology Research Group. FISABIO-Public Health	Maria Alma Bracho et al	GISAID	sars2
hCoV-19/Australia/TAS258/2020	EPI_ISL_522685		Royal Hobart Hospital Microbiology Department	MDU-PHL	Cooley L. et al	GISAID	sars2
hCoV-19/Peru/LIM-INS-144/2020	EPI_ISL_536539		Instituto Nacional de Salud	Laboratorio de Infecciones Respiratorias Agudas	Eduardo Juscamayta Lopez et al	GISAID	sars2
hCoV-19/Kazakhstan/16173/2020	EPI_ISL_454497		"RSE ""National Center for Biotechnology"""	"RSE ""National Center for Biotechnology"""	Alexandr Shevtsov et al	GISAID	sars2
hCoV-19/Panama/334102/2020	EPI_ISL_496764		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Danilo Franco et al (https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1)	GISAID	sars2
hCoV-19/Panama/GMI-PA369146/2020	EPI_ISL_1225441		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al	GISAID	sars2
hCoV-19/Panama/GMI-PA369162/2020	EPI_ISL_1225450		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Yamilka Diaz et al	GISAID	sars2
hCoV-19/Panama/GMI-PA655071/2021	EPI_ISL_1502987		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al	GISAID	sars2
hCoV-19/Panama/GMI-PA700792/2021	EPI_ISL_1503092		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al	GISAID	sars2
hCoV-19/Panama/GMI-PACZ3583/2021	EPI_ISL_11681825		Gorgas Memorial Institute of Health Studies	Gorgas Memorial Institute of Health Studies	Claudia Gonzalez et al	GISAID	sars2
hCoV-19/Guatemala/ASI3054/2021	EPI_ISL_8468392		Laboratorio Nacional de Salud	"Asociación de Salud Integral / Clínica Familiar ""Luis Ángel García"""	Eduardo Arathon et al	GISAID	sars2
hCoV-19/CostaRica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-1939-649109/2021	EPI_ISL_7711739		Area De Salud Paraiso-Cervantes	Universidad de Costa Rica e Instituto Costarricense de Investigacion y Ensenanza en Nutricion y Salud	Brenes Hebleen et al	GISAID	sars2
hCoV-19/CostaRica/INC-0704/2021	EPI_ISL_2827974		HOSPITAL SAN JUAN DE DIOS	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al	GISAID	sars2
hCoV-19/Panama/GMI-PACNB22611/2021	EPI_ISL_4744537		Gorgas Memorial Laboratory of Health Studies	Gorgas Memorial Laboratory of Health Studies	Gonzalez Claudia et al	GISAID	sars2
hCoV-19/ElSalvador/INC-LNSP-009/2021	EPI_ISL_5158246		Laboratorio Nacional de Salud Publica	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Ruth Vasquez et al	GISAID	sars2
hCoV-19/CostaRica/CABANA-CR-UCR-INCIENSA-ITV-UBA-Uda-UGA-IMSS-UPC-2061-658858/2021	EPI_ISL_7711769		Hospital Escalante Pradilla	Universidad de Costa Rica e Instituto Costarricense de Investigacion y Ensenanza en Nutricion y Salud	Brenes Hebleen et al	GISAID	sars2
hCoV-19/Belize/CML-113/2021	EPI_ISL_4296417		Central Medical Laboratory	Baylor College of Medicine	Alexander Kneubehl et al	GISAID	sars2
hCoV-19/Guatemala/ASI2040/2021	EPI_ISL_5926906		Hospital General San Juan de Dios	"Asociación de Salud Integral / Clínica Familiar ""Luis Ángel García"""	Eduardo Arathon et al	GISAID	sars2
hCoV-19/Guatemala/ASI4363/2021	EPI_ISL_7740607		Laboratorio Nacional de Salud	"Asociación de Salud Integral / Clínica Familiar ""Luis Ángel García"""	Eduardo Arathon et al	GISAID	sars2
hCoV-19/UnitedArabEmirates/DU-A-S13-3_S8/2020	EPI_ISL_548966		Expo2020 Emergency Center	Agiomix	Walaa Allam et al	GISAID	sars2
hCoV-19/Australia/QLD02/2020	EPI_ISL_407896		Pathology Queensland	Public Health Virology Laboratory	Ben Huang et al	GISAID	sars2
hCoV-19/BurkinaFaso/2-039-1610/2020	EPI_ISL_660454		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al	GISAID	sars2
hCoV-19/Gabon/W0750/2021	EPI_ISL_11522786		Centre de Recherches Medicales de Lambarene	Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University	Haruka Abe et al	GISAID	sars2
hCoV-19/Gabon/W0475/2021	EPI_ISL_11522678		Centre de Recherches Medicales de Lambarene	Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University	Haruka Abe et al	GISAID	sars2
hCoV-19/Mali/UCRC-31/2020	EPI_ISL_812967	MW474741.1	University Clinical Research Center, University of Sciences	University Clinical Research Center, University of Sciences	Diarra et al	GISAID	sars2
hCoV-19/Egypt/MASRI-018/2020	EPI_ISL_483036		Medical Ain Shams Research Institute (MASRI), Ain Shams University	Medical Ain Shams Research Institute (MASRI), Ain Shams University	Hesham Elghazaly et al	GISAID	sars2
hCoV-19/Jordan/IR-ALSR-2578/2020	EPI_ISL_635777		Biolab Diagnostic Laboratories	Andersen lab at Scripps Research	Issa Abu-Dayyeh et al	GISAID	sars2
hCoV-19/Oman/7214790/2021	EPI_ISL_2921171		Oman-NIC	Oman-National Influenza Center	Laila Al Balushi et al	GISAID	sars2
hCoV-19/Egypt/ARMY-310/2021	EPI_ISL_1936249		Main Chemical Laboratories Egypt Army	Main Chemical Laboratories Egypt Army	Mohamed Seadawy et al	GISAID	sars2
hCoV-19/Sudan/N6762/2020	EPI_ISL_4739603		National Public Health Laboratory (NPHL)	National Institute for Communicable Diseases of the National Health Laboratory Service	Elham Rizgalla et al	GISAID	sars2
hCoV-19/Kyrgyzstan/NRL-455/2020	EPI_ISL_13283915		Republican Reference Laboratory, National TB center, Kyrgyzstan	Republican Reference Laboratory, National TB center, Kyrgyzstan	Gulmira Kalmambetova et al	GISAID	sars2
hCoV-19/Germany/HH-hpi-p2444/2020	EPI_ISL_776509		University Medical Center Hamburg Eppendorf	Heinrich Pette Institute, Leibniz Institute for Experimental Virology	Alexis Robitaille et al	GISAID	sars2
hCoV-19/Niger/1466A/2020	EPI_ISL_3804260		CERMES	Institut Pasteur de Dakar	Adamou Lagare et al	GISAID	sars2
hCoV-19/GuineaBissau/52LNSPGB/2020	EPI_ISL_2158598		Laboratório de Biologia Molecular Jean Piaget	MRCG at LSHTM, Genomics lab	Aladje Balde et al	GISAID	sars2
hCoV-19/Coted-Ivoire/COV-BKE1155-bc73/2020	EPI_ISL_1663604		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al	GISAID	sars2
hCoV-19/BurkinaFaso/1174/2020	EPI_ISL_660478		Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo et al	GISAID	sars2
hCoV-19/Niger/19030/2020	EPI_ISL_3804061		CERMES	Institut Pasteur de Dakar	Adamou Lagare et al	GISAID	sars2
hCoV-19/Togo/C6636/2021	EPI_ISL_1508990		Laboratoire Biolim/FSS/UL	Unité Mixte Internationale TransVIHMI (UMI 233 IRD – U1175 INSERM - Université de Montpellier) IRD (Institut de recherche pour le développement)	Mounerou SALOU et al	GISAID	sars2
hCoV-19/Tunisia/C-5524/2021	EPI_ISL_10141507		Institut Pasteur de Tunis	Institut Pasteur de Dakar	Chouikha Anissa et al	GISAID	sars2
hCoV-19/Coted-Ivoire/BKE3553-bc74/2021	EPI_ISL_3631588		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Chantal Akoua-Koffi et al	GISAID	sars2
hCoV-19/Gabon/211L/2020	EPI_ISL_8886181	OM731984.1	Centre Interdisciplinaire de Recherches Médicales de Franceville (CIRMF)	Institut Hospitalo-Universitaire - Méditerranée Infection	Sonia Etenna Lekana-Douki et al	GISAID	sars2
hCoV-19/Ghana/UHAS-G541/2020	EPI_ISL_648125		UHAS COVID-19 Lab	UHAS COVID-19 Lab	Kwabena O. Duedu et al	GISAID	sars2
hCoV-19/Coted-Ivoire/BKE0761/2020	EPI_ISL_681839		Molecular diagnostic unit for viral haemorrhagic fevers and emerging viruses, Bouaké CHU Laboratory	Project group Epidemology of Highly Pathogenic Microorganisms, Robert Koch-Institute	Chantal Akoua-Koffi et al	GISAID	sars2
hCoV-19/BurkinaFaso/CV1883/2021	EPI_ISL_4255110		Centre Hospitalier Universitaire Yalgado OUEDRAOGO	Africa Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al	GISAID	sars2
hCoV-19/Gabon/56/2020	EPI_ISL_8886132	OM731936.1	Centre Interdisciplinaire de Recherches Médicales de Franceville (CIRMF)	Institut Hospitalo-Universitaire - Méditerranée Infection	Sonia Etenna Lekana-Douki et al	GISAID	sars2
hCoV-19/Mali/M002616/2020	EPI_ISL_487448		CICM-Mali	Bundeswehr Institut of Microbiology	Kouriba et al	GISAID	sars2
hCoV-19/Sudan/SS1708/2020	EPI_ISL_14620348		Port Sudan RT PCR lab	KEMRI-Wellcome Trust Research Programme,Kilifi	Githinji G. et al	GISAID	sars2
hCoV-19/Pakistan/NIH-44905/2020	EPI_ISL_468159			Department of Virology, Public Health Laboratories Division, National Institute of Health	Massab Umair et al	GISAID	sars2
hCoV-19/Uganda/UG079/2020	EPI_ISL_737990		Uganda Central Public Health Lab and Uganda Virus Research Institute	MRC/UVRI & LSHTM Uganda Research Unit	Matthew Cotten et al	GISAID	sars2
hCoV-19/SouthSudan/UG578/2020	EPI_ISL_2928025		South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	MRC/UVRI & LSHTM Uganda Research Unit, South Sudan Ministry of Health, WHO South Sudan	Joseph Francis Wamala et al	GISAID	sars2
hCoV-19/Uganda/UG364/2020	EPI_ISL_1469430		MRC/UVRI & LSHTM Uganda Research Unit	Where sequence data have been generated and submitted to GISAID	Matthew Cotten et al	GISAID	sars2
hCoV-19/SouthSudan/UG307/2021	EPI_ISL_2450778		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al	GISAID	sars2
hCoV-19/SouthSudan/UG315/2021	EPI_ISL_2450772		National Public Health Laboratory, Ministry of Health, Ministry of Health, Republic of South Sudan	South Sudan Ministry of Health, WHO South Sudan, MRC/UVRI & LSHTM Uganda Research Unit	Joseph Francis Wamala et al	GISAID	sars2
hCoV-19/Uganda/UG329/2020	EPI_ISL_1469398		MRC/UVRI & LSHTM Uganda Research Unit	Where sequence data have been generated and submitted to GISAID	Matthew Cotten et al	GISAID	sars2
hCoV-19/Australia/WA11/2020	EPI_ISL_420456		PathWest Laboratory Medicine WA	PathWest Laboratory Medicine WA	Chisha Sikazwe et al	GISAID	sars2
hCoV-19/Australia/VPRL014/2020	EPI_ISL_455603		SA Pathology	VPRL	Beard et al	GISAID	sars2
hCoV-19/Poland/1110540/2020	EPI_ISL_450528		Hematology Laboratory, Section of Molecular Diagnostics, University Clinical Centre, Medical University of Gdansk	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Maciej Grzybek et al	GISAID	sars2
hCoV-19/Finland/FIN-25/2020	EPI_ISL_412971		HUS Diagnostiikkakeskus, Hallinto	Department of Virology Faculty of Medicine, Medicum University of Helsinki	Teemu Smura et al B (https://dx.doi.org/10.1002/jmv.25773)	GISAID	sars2
hCoV-19/Germany/BY-ChVir-929/2020	EPI_ISL_406862	MT270101.1	Charité Universitätsmedizin Berlin, Institute of Virology; Institut für Mikrobiologie der Bundeswehr, Munich	Charité Universitätsmedizin Berlin, Institute of Virology	Victor M Corman et al A (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)	GISAID	sars2
hCoV-19/Afghanistan/IMB07968/2020	EPI_ISL_1001003		Bundeswehr Institute of Microbiology	Bundeswehr Institute of Microbiology	Markus Antwerpen et al	GISAID	sars2
hCoV-19/Mexico/ROO-IBT-IMSS-427/2020	EPI_ISL_1301498		Laboratorio Central de Epidemiología IMSS	Instituto de Biotecnología de la UNAM	Authors from IBT et al	GISAID	sars2
hCoV-19/Spain/CL-ISCIII-201061/2020	EPI_ISL_418247		HOSPITAL GENERAL DE SEGOVIA	Instituto de Salud Carlos III	Iglesias-Caballero et al (https://dx.doi.org/10.1101/2020.04.20.050039)	GISAID	sars2
hCoV-19/CaboVerde/Mindelo_03419/2021	EPI_ISL_1123285		Virology Laboratory of São Vicente	Institut Pasteur de Dakar	Nadia Rodrigues et al	GISAID	sars2
hCoV-19/Morocco/ouar385/2020	EPI_ISL_978545		Centre de Virologie des Maladies infectueuses Tropicales	Functional Genomic Platform UATRS-biology, CNRST	Mly Abdelaziz ELALAOUI et al	GISAID	sars2
hCoV-19/Switzerland/VS-ETHZ-180053/2020	EPI_ISL_1130743		Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	GISAID	sars2
hCoV-19/Rwanda/NRLNAT2054/2020	EPI_ISL_960302		Nucleic Acid Testing, National Reference Laboratory	GIGA Medical Genomics	Yvan Butera et al	GISAID	sars2
hCoV-19/Uruguay/UY-182/2020	EPI_ISL_480333		Microbial Genomics Laboratory, Institut Pasteur de Montevideo	Microbial Genomics Laboratory, Institut Pasteur de Montevideo	Cecilia Salazar et al	GISAID	sars2
hCoV-19/Bulgaria/17/2020	EPI_ISL_480300		"National Reference Laboratory ""Influenza and acute respiratory diseases"""	NRL-HIV	Ivan Ivanov et al	GISAID	sars2
hCoV-19/Canada/AB-CV72/2020	EPI_ISL_3526026		University of Alberta	Evans Laboratory	David Evans et al	GISAID	sars2
